# {"t_start": 1641619762.732898, "env_id": "Office-v0"} 
r,l,t
0.0,5,0.000504
0.0,10,0.000815
0.0,4,0.001034
0.0,7,0.001312
0.0,43,0.002451
0.0,54,0.003821
0.0,20,0.004363
0.0,7,0.004587
0.0,16,0.005079
0.0,24,0.005696
0.0,4,0.00583
0.0,10,0.006108
0.0,25,0.0068
0.0,14,0.007184
0.0,88,0.010069
0.0,50,0.011403
0.0,34,0.01226
0.0,8,0.012492
0.0,18,0.013036
0.0,26,0.013866
0.0,5,0.014136
0.0,22,0.014711
0.0,9,0.014971
0.0,59,0.016467
0.0,40,0.01759
0.0,21,0.018245
0.0,48,0.019445
0.0,53,0.020786
0.0,22,0.021379
0.0,26,0.022071
0.0,9,0.022355
0.0,18,0.022882
0.0,26,0.023629
0.0,21,0.024175
0.0,6,0.024352
0.0,8,0.024583
0.0,81,0.026639
0.0,75,0.028768
0.0,12,0.029186
0.0,23,0.029786
0.0,25,0.030436
0.0,31,0.031209
0.0,74,0.033149
0.0,30,0.03392
0.0,20,0.034425
0.0,96,0.03695
0.0,61,0.038488
0.0,65,0.040195
0.0,4,0.040329
0.0,130,0.043686
0.0,79,0.045752
0.0,5,0.045916
0.0,53,0.047262
0.0,109,0.05003
0.0,33,0.050871
0.0,36,0.051799
1.0,140,0.056165
0.0,4,0.056309
0.0,10,0.056596
0.0,10,0.056906
0.0,41,0.057954
0.0,39,0.058951
0.0,130,0.062585
0.0,20,0.063108
1.0,80,0.065141
0.0,70,0.066952
0.0,44,0.068092
0.0,20,0.068625
1.0,31,0.069441
0.0,39,0.070428
0.0,47,0.071635
0.0,27,0.07236
0.0,46,0.073555
0.0,24,0.074213
0.0,92,0.076518
0.0,9,0.076799
0.0,59,0.078362
0.0,80,0.080394
0.0,83,0.082885
0.0,38,0.083866
1.0,30,0.084646
0.0,68,0.086472
0.0,25,0.087124
0.0,7,0.087333
0.0,38,0.088348
0.0,122,0.091569
0.0,20,0.092117
0.0,117,0.095246
0.0,18,0.095762
0.0,32,0.096613
0.0,74,0.098486
0.0,10,0.098766
1.0,67,0.100502
0.0,110,0.103347
0.0,78,0.105403
0.0,33,0.106252
1.0,32,0.107146
0.0,97,0.110323
0.0,49,0.111584
0.0,17,0.112035
0.0,86,0.114213
0.0,44,0.115479
0.0,64,0.117157
0.0,62,0.118739
0.0,24,0.119361
0.0,28,0.120092
0.0,8,0.120324
0.0,34,0.121249
1.0,106,0.123959
0.0,74,0.125879
0.0,50,0.127168
0.0,34,0.128049
1.0,21,0.128609
0.0,221,0.13451
0.0,60,0.136257
0.0,37,0.13723
1.0,67,0.138958
0.0,100,0.141501
0.0,37,0.142471
