episodes,steps,total reward
28,1000,0.0
49,2000,0.0
65,3000,0.0
78,4000,0.0
87,5000,0.0
99,6000,0.0
105,7000,0.0
113,8000,0.0
121,9000,0.0
128,10000,0.0
132,11000,0.0
146,12000,0.0
155,13000,0.0
164,14000,0.0
170,15000,0.0
183,16000,1.0
190,17000,0.0
200,18000,0.0
208,19000,0.0
214,20000,0.0
221,21000,0.0
228,22000,1.0
238,23000,0.0
248,24000,0.0
257,25000,2.0
261,26000,0.0
269,27000,1.0
271,28000,0.0
279,29000,0.0
285,30000,0.0
297,31000,0.0
304,32000,2.0
311,33000,0.0
317,34000,1.0
319,35000,0.0
326,36000,0.0
330,37000,0.0
341,38000,1.0
347,39000,1.0
354,40000,1.0
365,41000,0.0
371,42000,0.0
378,43000,1.0
385,44000,0.0
389,45000,1.0
394,46000,0.0
399,47000,0.0
403,48000,0.0
408,49000,1.0
413,50000,0.0
419,51000,2.0
424,52000,0.0
429,53000,1.0
430,54000,0.0
436,55000,2.0
448,56000,3.0
461,57000,1.0
468,58000,3.0
472,59000,1.0
482,60000,1.0
489,61000,2.0
498,62000,0.0
502,63000,2.0
508,64000,0.0
517,65000,1.0
527,66000,1.0
536,67000,4.0
544,68000,2.0
552,69000,0.0
556,70000,2.0
562,71000,0.0
569,72000,2.0
573,73000,0.0
588,74000,1.0
596,75000,3.0
599,76000,1.0
609,77000,1.0
618,78000,3.0
622,79000,1.0
632,80000,3.0
645,81000,3.0
664,82000,6.0
673,83000,2.0
679,84000,2.0
687,85000,2.0
693,86000,1.0
698,87000,2.0
705,88000,2.0
717,89000,1.0
728,90000,4.0
740,91000,4.0
742,92000,0.0
757,93000,8.0
764,94000,1.0
767,95000,2.0
776,96000,2.0
789,97000,6.0
808,98000,11.0
823,99000,7.0
852,100000,21.0
