episodes,steps,total reward
27,1000,0.0
44,2000,0.0
58,3000,0.0
71,4000,0.0
75,5000,0.0
87,6000,0.0
92,7000,0.0
100,8000,0.0
110,9000,0.0
119,10000,0.0
129,11000,0.0
135,12000,0.0
144,13000,0.0
156,14000,0.0
162,15000,0.0
169,16000,0.0
176,17000,0.0
184,18000,0.0
191,19000,1.0
200,20000,0.0
205,21000,0.0
214,22000,0.0
218,23000,0.0
229,24000,0.0
236,25000,0.0
248,26000,0.0
258,27000,0.0
264,28000,0.0
274,29000,1.0
286,30000,0.0
290,31000,0.0
297,32000,0.0
303,33000,0.0
312,34000,1.0
317,35000,1.0
324,36000,1.0
329,37000,0.0
342,38000,1.0
347,39000,0.0
349,40000,0.0
358,41000,0.0
366,42000,0.0
369,43000,1.0
378,44000,0.0
386,45000,1.0
392,46000,0.0
395,47000,1.0
397,48000,0.0
403,49000,0.0
405,50000,0.0
411,51000,1.0
417,52000,0.0
425,53000,1.0
426,54000,0.0
432,55000,0.0
442,56000,1.0
454,57000,1.0
459,58000,0.0
466,59000,0.0
475,60000,1.0
484,61000,1.0
488,62000,0.0
492,63000,2.0
495,64000,1.0
503,65000,1.0
508,66000,1.0
517,67000,0.0
526,68000,1.0
534,69000,2.0
544,70000,2.0
550,71000,0.0
560,72000,1.0
568,73000,3.0
573,74000,0.0
577,75000,1.0
585,76000,1.0
594,77000,2.0
601,78000,2.0
611,79000,2.0
616,80000,3.0
619,81000,0.0
625,82000,0.0
635,83000,2.0
641,84000,1.0
648,85000,2.0
661,86000,2.0
669,87000,1.0
679,88000,0.0
687,89000,1.0
696,90000,3.0
704,91000,2.0
708,92000,1.0
715,93000,3.0
724,94000,1.0
729,95000,1.0
734,96000,0.0
743,97000,3.0
751,98000,3.0
756,99000,1.0
766,100000,3.0
