# {"t_start": 1641621853.6094682, "env_id": "Office-single-v0"} 
r,l,t
0.0,13,0.000767
0.0,4,0.000909
0.0,48,0.002073
0.0,57,0.003433
0.0,19,0.003935
0.0,33,0.004872
0.0,4,0.005006
0.0,24,0.005603
0.0,58,0.007005
0.0,10,0.007274
0.0,20,0.00777
0.0,20,0.008261
0.0,100,0.010625
0.0,7,0.010823
0.0,20,0.011367
0.0,2,0.011458
0.0,57,0.012898
0.0,8,0.013115
0.0,41,0.014086
0.0,47,0.015278
0.0,35,0.016102
0.0,29,0.01684
0.0,38,0.017729
0.0,98,0.019989
0.0,102,0.022385
0.0,33,0.023165
0.0,44,0.024266
0.0,31,0.025199
0.0,5,0.025409
0.0,27,0.026076
0.0,32,0.026934
0.0,36,0.027797
0.0,133,0.030935
0.0,52,0.032169
0.0,41,0.033165
0.0,74,0.034948
0.0,71,0.036611
0.0,90,0.038759
0.0,59,0.04019
0.0,40,0.041192
0.0,149,0.044718
0.0,48,0.045917
0.0,117,0.048805
0.0,25,0.049498
0.0,60,0.051063
0.0,27,0.051759
0.0,42,0.052813
0.0,82,0.054793
0.0,53,0.05602
0.0,35,0.056908
0.0,39,0.057827
0.0,124,0.060796
0.0,127,0.063711
0.0,122,0.066575
0.0,50,0.067764
0.0,118,0.07061
0.0,214,0.07588
0.0,21,0.076497
0.0,20,0.077005
0.0,34,0.077804
0.0,34,0.078612
0.0,40,0.079578
0.0,94,0.081733
0.0,13,0.082062
0.0,38,0.082949
0.0,42,0.083923
0.0,61,0.085342
0.0,715,0.102192
0.0,210,0.107124
0.0,43,0.108129
0.0,62,0.109603
0.0,244,0.115458
0.0,100,0.117913
0.0,496,0.129324
0.0,117,0.132063
0.0,78,0.133863
0.0,35,0.134767
0.0,503,0.146531
0.0,20,0.147023
0.0,93,0.149153
0.0,86,0.151123
0.0,104,0.153599
0.0,53,0.15503
0.0,37,0.15598
0.0,233,0.161339
0.0,85,0.16331
0.0,131,0.166378
0.0,33,0.167241
0.0,33,0.168142
0.0,327,0.175848
0.0,70,0.178007
0.0,62,0.179447
0.0,504,0.191109
0.0,235,0.196793
0.0,58,0.198191
0.0,268,0.20472
0.0,164,0.208806
0.0,6,0.208984
0.0,106,0.211434
0.0,75,0.213266
0.0,140,0.216646
0.0,47,0.217785
0.0,23,0.218343
0.0,16,0.218738
0.0,6,0.218907
0.0,57,0.220218
0.0,43,0.221262
0.0,38,0.222153
0.0,39,0.223077
0.0,496,0.234962
0.0,10,0.235231
0.0,62,0.236675
0.0,9,0.236934
0.0,40,0.237887
0.0,658,0.253675
0.0,53,0.254936
0.0,151,0.258568
0.0,324,0.26643
0.0,23,0.267003
0.0,228,0.272392
0.0,176,0.277019
0.0,60,0.278604
0.0,28,0.279279
0.0,48,0.280466
0.0,125,0.283362
0.0,37,0.284237
0.0,74,0.285963
0.0,26,0.286607
0.0,29,0.287321
0.0,14,0.28767
0.0,236,0.293506
0.0,56,0.294835
0.0,71,0.296476
