episodes,steps,total reward
33,1000,0.0
58,2000,2.0
74,3000,1.0
96,4000,3.0
109,5000,3.0
121,6000,1.0
133,7000,1.0
146,8000,3.0
161,9000,2.0
175,10000,2.0
189,11000,2.0
204,12000,2.0
214,13000,3.0
229,14000,2.0
245,15000,5.0
257,16000,3.0
268,17000,3.0
275,18000,3.0
283,19000,1.0
290,20000,2.0
305,21000,6.0
314,22000,4.0
319,23000,3.0
323,24000,1.0
330,25000,2.0
341,26000,3.0
352,27000,2.0
365,28000,5.0
371,29000,1.0
377,30000,3.0
387,31000,4.0
393,32000,2.0
399,33000,3.0
406,34000,3.0
417,35000,4.0
423,36000,2.0
427,37000,1.0
439,38000,5.0
446,39000,3.0
454,40000,6.0
466,41000,5.0
469,42000,1.0
483,43000,5.0
492,44000,3.0
499,45000,3.0
512,46000,3.0
523,47000,3.0
531,48000,4.0
540,49000,2.0
555,50000,5.0
569,51000,3.0
585,52000,5.0
594,53000,4.0
609,54000,8.0
614,55000,2.0
626,56000,5.0
634,57000,5.0
646,58000,3.0
657,59000,3.0
674,60000,9.0
687,61000,2.0
696,62000,2.0
707,63000,6.0
720,64000,5.0
734,65000,6.0
748,66000,7.0
758,67000,6.0
771,68000,6.0
786,69000,6.0
802,70000,10.0
811,71000,4.0
822,72000,4.0
831,73000,4.0
839,74000,5.0
850,75000,6.0
864,76000,6.0
875,77000,5.0
894,78000,8.0
906,79000,4.0
919,80000,5.0
931,81000,5.0
943,82000,5.0
954,83000,6.0
977,84000,9.0
995,85000,7.0
1007,86000,5.0
1020,87000,6.0
1043,88000,9.0
1055,89000,7.0
1075,90000,10.0
1091,91000,8.0
1103,92000,4.0
1114,93000,5.0
1130,94000,8.0
1147,95000,11.0
1157,96000,5.0
1175,97000,6.0
1199,98000,11.0
1210,99000,6.0
1227,100000,9.0
