episodes,steps,total reward
23,1000,0.0
31,2000,1.0
38,3000,3.0
49,4000,3.0
57,5000,2.0
67,6000,3.0
79,7000,3.0
91,8000,4.0
98,9000,3.0
103,10000,3.0
107,11000,2.0
121,12000,6.0
133,13000,6.0
147,14000,7.0
157,15000,6.0
159,16000,1.0
177,17000,11.0
201,18000,15.0
212,19000,7.0
227,20000,10.0
250,21000,12.0
275,22000,17.0
283,23000,6.0
291,24000,6.0
314,25000,13.0
339,26000,16.0
350,27000,7.0
351,28000,1.0
367,29000,11.0
379,30000,7.0
399,31000,14.0
427,32000,17.0
459,33000,21.0
471,34000,8.0
475,35000,3.0
507,36000,20.0
551,37000,33.0
595,38000,31.0
630,39000,29.0
663,40000,31.0
687,41000,20.0
723,42000,32.0
757,43000,22.0
794,44000,34.0
838,45000,34.0
879,46000,33.0
918,47000,31.0
961,48000,33.0
1005,49000,32.0
1048,50000,33.0
1089,51000,32.0
1132,52000,32.0
1166,53000,24.0
1207,54000,35.0
1248,55000,35.0
1292,56000,33.0
1334,57000,34.0
1375,58000,36.0
1418,59000,34.0
1459,60000,35.0
1503,61000,33.0
1547,62000,32.0
1591,63000,34.0
1633,64000,34.0
1676,65000,32.0
1715,66000,33.0
1762,67000,35.0
1803,68000,32.0
1843,69000,33.0
1884,70000,35.0
1929,71000,30.0
1972,72000,32.0
2014,73000,35.0
2051,74000,35.0
2093,75000,34.0
2135,76000,31.0
2179,77000,31.0
2223,78000,37.0
2265,79000,35.0
2312,80000,34.0
2359,81000,37.0
2402,82000,34.0
2445,83000,34.0
2490,84000,34.0
2529,85000,33.0
2576,86000,32.0
2618,87000,34.0
2660,88000,35.0
2703,89000,31.0
2743,90000,35.0
2784,91000,32.0
2825,92000,33.0
2869,93000,35.0
2911,94000,34.0
2952,95000,35.0
2992,96000,32.0
3031,97000,33.0
3075,98000,33.0
3117,99000,33.0
3159,100000,34.0
