episodes,steps,total reward
24,1000,0.0
43,2000,0.0
49,3000,0.0
57,4000,0.0
59,5000,0.0
70,6000,0.0
77,7000,0.0
83,8000,0.0
92,9000,0.0
94,10000,0.0
105,11000,0.0
107,12000,0.0
111,13000,0.0
115,14000,0.0
120,15000,0.0
124,16000,0.0
127,17000,0.0
138,18000,0.0
142,19000,0.0
148,20000,0.0
154,21000,0.0
161,22000,0.0
165,23000,0.0
172,24000,0.0
177,25000,0.0
180,26000,0.0
184,27000,0.0
193,28000,0.0
200,29000,0.0
206,30000,0.0
211,31000,1.0
217,32000,0.0
218,33000,0.0
222,34000,1.0
228,35000,0.0
241,36000,7.0
258,37000,15.0
283,38000,19.0
312,39000,19.0
337,40000,18.0
362,41000,14.0
381,42000,14.0
409,43000,17.0
437,44000,17.0
463,45000,18.0
488,46000,14.0
517,47000,18.0
545,48000,15.0
572,49000,19.0
603,50000,16.0
627,51000,16.0
655,52000,18.0
682,53000,17.0
711,54000,18.0
738,55000,19.0
767,56000,17.0
799,57000,12.0
828,58000,16.0
860,59000,15.0
884,60000,18.0
911,61000,14.0
942,62000,15.0
968,63000,17.0
993,64000,18.0
1019,65000,17.0
1045,66000,18.0
1070,67000,18.0
1097,68000,17.0
1123,69000,18.0
1150,70000,17.0
1177,71000,15.0
1204,72000,17.0
1230,73000,18.0
1259,74000,20.0
1286,75000,17.0
1310,76000,20.0
1338,77000,20.0
1364,78000,16.0
1388,79000,21.0
1414,80000,16.0
1440,81000,15.0
1468,82000,17.0
1493,83000,19.0
1519,84000,16.0
1545,85000,18.0
1576,86000,16.0
1601,87000,19.0
1630,88000,17.0
1658,89000,17.0
1685,90000,17.0
1712,91000,16.0
1742,92000,17.0
1768,93000,20.0
1796,94000,17.0
1822,95000,20.0
1851,96000,17.0
1876,97000,20.0
1905,98000,17.0
1935,99000,17.0
1961,100000,17.0
