# {"t_start": 1643181296.7788014, "env_id": "Office-v0"} 
r,l,t
0.0,15,0.007081
0.0,60,0.03107
0.0,6,0.033421
0.0,32,0.047153
0.0,21,0.055393
0.0,13,0.060698
0.0,16,0.067314
0.0,18,0.074317
0.0,24,0.083621
0.0,11,0.088163
0.0,29,0.099839
0.0,42,0.116633
0.0,36,0.130942
0.0,93,0.168197
0.0,16,0.174837
0.0,16,0.181233
1.0,100,0.220668
0.0,81,0.252909
0.0,15,0.258805
0.0,52,0.279711
0.0,65,0.305986
0.0,100,0.346499
0.0,43,0.364006
0.0,63,0.389622
0.0,74,0.419924
0.0,14,0.425699
0.0,58,0.448594
0.0,61,0.472875
0.0,17,0.480019
0.0,50,0.500529
0.0,113,0.545578
0.0,82,0.580132
0.0,10,0.584246
0.0,162,0.649809
0.0,12,0.654665
0.0,16,0.661164
0.0,75,0.691393
0.0,87,0.726096
0.0,100,0.766073
0.0,84,0.800481
0.0,60,0.824329
0.0,41,0.84068
0.0,66,0.86728
0.0,235,0.963473
1.0,34,0.977248
0.0,17,0.984036
1.0,237,1.079845
0.0,139,1.13551
1.0,70,1.16361
0.0,56,1.186234
0.0,124,1.236403
0.0,16,1.242769
1.0,34,1.256725
0.0,77,1.287502
0.0,20,1.29546
0.0,44,1.313175
1.0,52,1.333939
0.0,7,1.336754
0.0,30,1.348908
0.0,80,1.381419
1.0,81,1.41383
1.0,169,1.482589
0.0,8,1.48583
0.0,94,1.523911
1.0,26,1.534366
0.0,21,1.543191
0.0,69,1.571961
0.0,92,1.609488
1.0,13,1.614899
0.0,152,1.677167
0.0,269,1.78603
0.0,2,1.786839
1.0,34,1.800633
1.0,469,1.991977
0.0,190,2.070285
0.0,75,2.100754
1.0,44,2.118386
1.0,78,2.149848
0.0,166,2.216873
0.0,28,2.228143
0.0,18,2.23558
0.0,31,2.247969
0.0,167,2.315583
0.0,126,2.366847
1.0,11,2.371423
1.0,97,2.410595
0.0,88,2.44708
0.0,726,2.742111
1.0,13,2.747499
0.0,23,2.756737
0.0,142,2.814101
0.0,298,2.936184
1.0,12,2.94111
1.0,170,3.010386
0.0,221,3.100279
0.0,221,3.189964
1.0,11,3.194708
0.0,77,3.226166
0.0,11,3.230774
0.0,239,3.328001
0.0,7,3.330865
1.0,160,3.396948
0.0,143,3.455584
0.0,49,3.475457
1.0,16,3.481902
1.0,122,3.531075
0.0,86,3.566553
0.0,53,3.588136
1.0,11,3.592551
1.0,112,3.63809
0.0,160,3.702837
0.0,208,3.787504
1.0,11,3.792075
0.0,13,3.797297
0.0,42,3.814392
0.0,451,3.999303
1.0,11,4.003892
1.0,46,4.022745
0.0,38,4.038424
0.0,44,4.056339
1.0,11,4.060859
1.0,114,4.109874
0.0,262,4.217144
0.0,29,4.228893
1.0,12,4.233866
1.0,157,4.297409
1.0,51,4.318039
0.0,45,4.336399
1.0,11,4.340887
1.0,114,4.387371
1.0,305,4.511575
0.0,304,4.635661
1.0,11,4.640127
1.0,62,4.665451
0.0,216,4.753546
0.0,146,4.812786
0.0,6,4.815205
1.0,47,4.834265
1.0,101,4.875905
0.0,31,4.888999
1.0,13,4.894292
0.0,34,4.908374
0.0,93,4.946465
0.0,99,4.986984
1.0,15,4.993041
1.0,32,5.006209
1.0,94,5.044192
0.0,7,5.047575
1.0,11,5.052122
1.0,52,5.074028
0.0,55,5.096547
0.0,194,5.175942
1.0,11,5.180409
1.0,35,5.194558
0.0,67,5.221843
0.0,82,5.25526
1.0,11,5.259791
1.0,67,5.287142
1.0,60,5.311366
0.0,143,5.369215
1.0,13,5.374472
1.0,82,5.407842
0.0,48,5.428246
0.0,48,5.447684
1.0,16,5.454127
1.0,34,5.468091
0.0,29,5.479907
0.0,281,5.595064
0.0,9,5.598856
1.0,48,5.618425
0.0,22,5.627338
0.0,6,5.629747
0.0,10,5.633851
1.0,48,5.65327
1.0,34,5.667042
0.0,83,5.700993
1.0,13,5.706445
1.0,74,5.736826
1.0,36,5.751621
0.0,27,5.762574
0.0,9,5.7665
0.0,20,5.774989
1.0,37,5.790016
0.0,978,6.188368
1.0,11,6.192833
1.0,31,6.205425
0.0,11,6.209917
0.0,161,6.27546
1.0,12,6.280308
1.0,45,6.298606
0.0,6,6.301059
0.0,146,6.360313
1.0,13,6.365579
1.0,23,6.374943
1.0,58,6.398256
0.0,186,6.474445
1.0,11,6.478943
1.0,25,6.489083
0.0,75,6.519325
0.0,68,6.547007
0.0,4,6.548619
1.0,38,6.564478
0.0,13,6.569774
0.0,10,6.573883
1.0,11,6.57832
0.0,19,6.586007
1.0,39,6.601942
0.0,588,6.840366
0.0,6,6.842777
1.0,25,6.852858
1.0,31,6.865371
0.0,203,6.948042
1.0,11,6.952529
0.0,23,6.961779
0.0,44,6.979542
0.0,217,7.067815
1.0,11,7.07228
1.0,25,7.082478
1.0,27,7.093633
0.0,44,7.11167
0.0,11,7.116148
1.0,26,7.126689
0.0,14,7.132308
0.0,52,7.153149
0.0,4,7.154761
1.0,25,7.164976
1.0,24,7.174802
0.0,61,7.199389
0.0,4,7.201104
1.0,24,7.210922
1.0,24,7.220574
0.0,235,7.315392
1.0,12,7.32024
1.0,23,7.329577
1.0,24,7.339253
0.0,58,7.36302
1.0,11,7.367509
1.0,25,7.377776
1.0,27,7.388972
0.0,63,7.414375
1.0,11,7.418819
1.0,29,7.431028
1.0,30,7.443361
0.0,55,7.465856
1.0,14,7.471462
1.0,26,7.481884
1.0,25,7.491957
0.0,48,7.511681
1.0,11,7.516083
1.0,27,7.526963
1.0,23,7.536242
0.0,724,7.831063
1.0,11,7.835548
0.0,18,7.842776
1.0,25,7.853075
0.0,312,7.980763
1.0,11,7.985269
1.0,24,7.995192
1.0,25,8.005475
0.0,189,8.082302
1.0,11,8.086869
1.0,25,8.097097
1.0,25,8.107252
0.0,167,8.176474
1.0,11,8.180902
1.0,26,8.192052
1.0,25,8.202104
0.0,148,8.26201
0.0,9,8.265656
1.0,26,8.276074
1.0,28,8.287396
0.0,114,8.333867
1.0,11,8.338594
1.0,25,8.348855
1.0,23,8.358231
0.0,43,8.375715
0.0,4,8.377358
1.0,27,8.388218
1.0,25,8.398349
0.0,160,8.464225
0.0,6,8.466659
0.0,6,8.469104
0.0,14,8.474784
0.0,54,8.496836
1.0,11,8.501356
0.0,13,8.506619
1.0,30,8.518702
0.0,456,8.704815
1.0,11,8.709275
1.0,27,8.720416
0.0,23,8.729705
0.0,265,8.837031
1.0,11,8.84154
0.0,12,8.846404
1.0,23,8.855659
0.0,34,8.869798
0.0,2,8.870592
1.0,27,8.881584
1.0,23,8.890906
0.0,60,8.915361
1.0,11,8.91978
1.0,31,8.932311
1.0,27,8.943406
0.0,317,9.072402
1.0,15,9.078475
1.0,30,9.090795
0.0,25,9.101076
0.0,547,9.323677
1.0,11,9.328133
1.0,27,9.339036
1.0,28,9.350344
0.0,580,9.587729
1.0,11,9.592366
1.0,28,9.603765
0.0,8,9.607011
0.0,85,9.641408
1.0,14,9.647176
0.0,21,9.655604
1.0,24,9.665537
0.0,51,9.686322
1.0,11,9.690775
1.0,25,9.701086
1.0,37,9.716025
0.0,52,9.737198
1.0,13,9.742545
1.0,25,9.752704
1.0,27,9.763545
0.0,375,9.917302
1.0,13,9.923002
1.0,31,9.93597
0.0,12,9.940836
0.0,69,9.968894
1.0,12,9.973702
0.0,23,9.983237
1.0,23,9.992513
0.0,391,10.152528
1.0,12,10.157455
