# {"t_start": 1643171182.4139316, "env_id": "Office-single-v0"} 
r,l,t
0.0,4,0.001342
0.0,25,0.007367
0.0,51,0.020013
0.0,2,0.0205
0.0,17,0.024535
0.0,46,0.035135
0.0,21,0.040485
0.0,5,0.041664
0.0,38,0.05055
0.0,21,0.05552
0.0,114,0.082284
0.0,8,0.08428
0.0,22,0.089492
0.0,25,0.095518
0.0,21,0.100483
0.0,81,0.119816
0.0,53,0.13246
0.0,33,0.140383
0.0,129,0.170834
0.0,16,0.174612
0.0,65,0.190065
0.0,87,0.210655
0.0,184,0.254288
0.0,56,0.267602
0.0,38,0.276812
0.0,64,0.291925
0.0,101,0.315859
0.0,88,0.33664
0.0,103,0.360991
0.0,75,0.378492
0.0,124,0.407696
0.0,6,0.409138
0.0,41,0.418817
0.0,158,0.456364
0.0,19,0.460996
0.0,58,0.474677
0.0,146,0.509198
0.0,220,0.561325
0.0,611,0.705938
0.0,184,0.74948
0.0,374,0.838238
0.0,4,0.839217
0.0,180,0.881992
0.0,22,0.887232
0.0,180,0.93002
0.0,79,0.948789
0.0,40,0.958421
0.0,236,1.014833
0.0,460,1.124623
0.0,392,1.218344
0.0,22,1.223583
0.0,459,1.333345
0.0,58,1.347175
0.0,29,1.354063
0.0,520,1.478354
0.0,158,1.516006
0.0,230,1.570767
0.0,81,1.590066
0.0,35,1.598472
0.0,123,1.627573
0.0,178,1.66997
0.0,63,1.685094
0.0,32,1.692724
0.0,20,1.697515
0.0,70,1.714246
0.0,317,1.789789
0.0,126,1.819908
0.0,176,1.861661
0.0,76,1.879827
0.0,17,1.8839
0.0,56,1.897194
0.0,49,1.90888
0.0,555,2.041069
0.0,327,2.118822
0.0,121,2.147746
0.0,823,2.343975
0.0,86,2.364468
0.0,216,2.418271
0.0,288,2.486924
0.0,22,2.492251
0.0,82,2.511791
0.0,346,2.594406
0.0,66,2.609982
0.0,99,2.633553
0.0,233,2.689183
0.0,399,2.78415
0.0,130,2.815114
0.0,43,2.825292
0.0,226,2.879239
0.0,291,2.948709
0.0,327,3.026668
0.0,46,3.037683
0.0,576,3.175129
0.0,137,3.208152
0.0,16,3.211984
0.0,11,3.214623
0.0,652,3.369838
0.0,378,3.459844
0.0,775,3.644139
0.0,103,3.668372
0.0,934,3.890719
0.0,143,3.924362
0.0,40,3.933805
0.0,9,3.935944
0.0,52,3.94829
0.0,11,3.950896
0.0,137,3.983347
0.0,125,4.012882
0.0,6,4.014329
0.0,32,4.021936
0.0,345,4.103938
0.0,43,4.11408
0.0,6,4.115517
0.0,134,4.147305
0.0,245,4.205262
0.0,13,4.20837
0.0,9,4.210523
0.0,130,4.241286
0.0,110,4.267462
0.0,194,4.314032
0.0,315,4.38896
0.0,89,4.410168
0.0,24,4.415836
0.0,6,4.417276
0.0,26,4.423452
0.0,202,4.471961
0.0,2,4.472465
0.0,111,4.498783
0.0,427,4.601435
0.0,90,4.622984
0.0,276,4.688758
0.0,255,4.749561
0.0,101,4.773939
0.0,42,4.785016
0.0,334,4.867619
0.0,200,4.915247
0.0,95,4.93793
0.0,396,5.032444
0.0,312,5.107415
0.0,507,5.228519
0.0,101,5.252351
0.0,45,5.263122
0.0,254,5.323479
0.0,150,5.359091
0.0,36,5.367577
0.0,231,5.422664
0.0,41,5.432331
0.0,462,5.541982
0.0,8,5.543913
0.0,1000,5.781381
0.0,7,5.783087
0.0,32,5.79064
0.0,163,5.829166
0.0,11,5.8318
0.0,152,5.867818
0.0,471,5.98021
