# {"t_start": 1641686983.2448401, "env_id": "Office-v0"} 
r,l,t
0.0,23,0.008625
0.0,19,0.015638
0.0,63,0.036759
0.0,20,0.044169
0.0,10,0.047608
0.0,51,0.065307
0.0,19,0.071997
0.0,23,0.079935
0.0,45,0.095315
0.0,38,0.108242
0.0,68,0.131882
0.0,36,0.144245
0.0,152,0.196204
0.0,50,0.213738
0.0,56,0.232868
0.0,64,0.25463
0.0,82,0.283063
0.0,138,0.330506
0.0,38,0.343566
0.0,113,0.382621
1.0,91,0.413563
0.0,127,0.457178
0.0,54,0.475929
0.0,72,0.500628
0.0,116,0.540618
0.0,103,0.57585
0.0,10,0.579272
0.0,47,0.595303
1.0,64,0.617152
0.0,6,0.619216
0.0,165,0.675742
0.0,43,0.690714
0.0,21,0.697903
0.0,166,0.754988
0.0,48,0.771507
0.0,201,0.841023
0.0,34,0.852694
0.0,4,0.854078
0.0,10,0.857503
0.0,448,1.01135
1.0,24,1.019619
0.0,9,1.022737
0.0,576,1.222129
0.0,346,1.341757
1.0,34,1.353607
0.0,167,1.411612
0.0,208,1.48375
0.0,18,1.490322
0.0,4,1.49171
0.0,6,1.493803
0.0,68,1.517276
0.0,4,1.518679
1.0,23,1.526637
0.0,109,1.564274
1.0,289,1.664173
0.0,152,1.716828
0.0,55,1.736164
1.0,235,1.818297
0.0,153,1.872002
0.0,64,1.894149
1.0,20,1.901033
0.0,122,1.943403
0.0,64,1.965567
0.0,23,1.973806
1.0,54,1.992674
0.0,65,2.015119
0.0,78,2.042075
0.0,12,2.046276
1.0,11,2.050099
1.0,129,2.095883
0.0,105,2.132533
0.0,176,2.19349
1.0,11,2.197354
0.0,106,2.234002
1.0,223,2.311805
0.0,440,2.464707
1.0,12,2.468873
1.0,52,2.487021
0.0,54,2.506113
0.0,210,2.578948
1.0,13,2.58347
0.0,42,2.597994
0.0,377,2.728753
0.0,6,2.730869
1.0,11,2.734705
0.0,75,2.760655
1.0,104,2.797912
0.0,535,2.984277
1.0,11,2.988316
0.0,87,3.018545
0.0,51,3.036271
0.0,12,3.040486
1.0,12,3.044676
1.0,100,3.079392
1.0,105,3.115918
0.0,718,3.366123
1.0,12,3.370351
1.0,111,3.408736
0.0,21,3.41601
0.0,338,3.534169
1.0,11,3.537981
0.0,190,3.603678
1.0,142,3.653062
0.0,117,3.693544
1.0,11,3.697375
0.0,69,3.721259
0.0,95,3.754224
0.0,22,3.761843
1.0,13,3.766339
0.0,71,3.791324
0.0,249,3.87816
0.0,108,3.915568
1.0,13,3.920086
1.0,44,3.935439
0.0,26,3.944779
0.0,150,3.998177
0.0,4,3.99959
1.0,45,4.015244
1.0,50,4.032691
0.0,243,4.116976
1.0,12,4.121146
1.0,80,4.148902
1.0,162,4.205635
0.0,38,4.218817
1.0,13,4.223352
0.0,25,4.232017
0.0,38,4.245248
0.0,37,4.258045
0.0,6,4.260134
1.0,67,4.283778
1.0,57,4.303884
0.0,80,4.331807
1.0,15,4.337071
1.0,46,4.353187
0.0,70,4.377458
0.0,243,4.461528
1.0,11,4.465397
1.0,40,4.479448
0.0,40,4.493517
0.0,31,4.504258
1.0,11,4.508069
1.0,55,4.527451
1.0,59,4.548013
0.0,444,4.701755
1.0,11,4.70559
1.0,34,4.717387
1.0,46,4.733364
0.0,95,4.766258
1.0,14,4.771119
1.0,49,4.788374
1.0,61,4.80983
0.0,116,4.850027
1.0,13,4.854559
1.0,29,4.864823
1.0,39,4.878491
0.0,149,4.9304
1.0,12,4.934805
0.0,2,4.935511
0.0,151,4.988346
0.0,5,4.990204
1.0,11,4.994065
1.0,44,5.009239
0.0,25,5.017911
0.0,113,5.057453
1.0,17,5.063375
1.0,36,5.076153
1.0,34,5.087946
0.0,31,5.098697
1.0,11,5.102525
0.0,50,5.119744
1.0,36,5.132235
0.0,373,5.262206
1.0,13,5.266726
1.0,41,5.281272
1.0,23,5.28928
0.0,814,5.572215
0.0,2,5.572935
1.0,30,5.583322
1.0,56,5.602788
0.0,42,5.617293
1.0,11,5.621119
1.0,33,5.632625
0.0,89,5.66352
0.0,141,5.712475
1.0,12,5.716653
1.0,30,5.727055
1.0,31,5.737809
0.0,355,5.861345
1.0,13,5.865875
1.0,23,5.873898
0.0,48,5.890579
0.0,460,6.05157
1.0,14,6.056427
0.0,19,6.063021
0.0,22,6.070649
0.0,621,6.286836
1.0,13,6.291559
0.0,4,6.292949
1.0,28,6.302632
0.0,375,6.432375
0.0,4,6.433787
1.0,23,6.442039
0.0,14,6.446891
0.0,11,6.450703
0.0,6,6.452787
1.0,25,6.461438
1.0,24,6.46978
0.0,55,6.48916
1.0,13,6.493751
1.0,23,6.501714
1.0,26,6.510733
0.0,15,6.515922
0.0,7,6.518358
1.0,25,6.527015
0.0,6,6.529107
0.0,143,6.578423
1.0,14,6.583274
1.0,31,6.594004
1.0,25,6.602912
0.0,113,6.642264
1.0,11,6.64609
1.0,30,6.656505
1.0,26,6.665536
0.0,82,6.693845
0.0,12,6.69801
1.0,27,6.707374
0.0,16,6.712955
0.0,40,6.726813
1.0,12,6.730994
1.0,27,6.740342
1.0,27,6.74969
0.0,108,6.787297
1.0,11,6.791321
1.0,30,6.801726
1.0,23,6.809761
0.0,234,6.89141
1.0,11,6.895255
1.0,23,6.90323
0.0,14,6.908076
0.0,437,7.060518
1.0,11,7.06435
1.0,29,7.074418
1.0,25,7.083096
0.0,76,7.109297
0.0,7,7.111742
1.0,23,7.119787
1.0,23,7.127747
0.0,13,7.132288
1.0,14,7.13712
1.0,25,7.145873
1.0,23,7.15383
0.0,205,7.224785
1.0,13,7.229311
1.0,25,7.238009
1.0,27,7.247348
0.0,125,7.29085
1.0,11,7.294902
1.0,24,7.303506
1.0,26,7.312644
0.0,712,7.560355
1.0,11,7.564184
1.0,25,7.572939
1.0,26,7.581948
0.0,8,7.584708
1.0,12,7.588871
1.0,33,7.600319
1.0,23,7.608344
0.0,167,7.666546
1.0,14,7.671421
1.0,23,7.679581
1.0,23,7.687604
0.0,132,7.733321
1.0,13,7.737836
1.0,23,7.745814
0.0,19,7.752436
0.0,21,7.75975
1.0,13,7.764257
1.0,27,7.77362
1.0,24,7.782217
0.0,115,7.822325
1.0,12,7.826542
1.0,29,7.836605
0.0,19,7.843207
0.0,48,7.859865
0.0,9,7.863041
1.0,33,7.874469
1.0,25,7.883138
0.0,103,7.918792
1.0,11,7.922633
1.0,25,7.931314
1.0,26,7.940554
0.0,235,8.023091
0.0,4,8.024499
1.0,26,8.033529
0.0,15,8.038737
0.0,227,8.11753
1.0,12,8.121713
1.0,27,8.131128
1.0,29,8.141193
0.0,119,8.182389
1.0,13,8.186911
1.0,23,8.194884
1.0,25,8.203573
0.0,77,8.230166
1.0,11,8.233998
1.0,25,8.24269
1.0,25,8.251339
0.0,35,8.263504
1.0,11,8.267333
1.0,28,8.277277
1.0,30,8.287725
0.0,543,8.476531
1.0,11,8.480362
1.0,27,8.490013
0.0,4,8.491432
0.0,12,8.495608
1.0,11,8.499431
1.0,33,8.510872
1.0,23,8.51884
0.0,341,8.636638
1.0,12,8.640819
0.0,14,8.645691
1.0,26,8.65468
0.0,13,8.659237
1.0,15,8.664424
1.0,25,8.673096
1.0,25,8.681746
0.0,245,8.767178
1.0,11,8.771037
0.0,16,8.777014
0.0,8,8.779795
0.0,64,8.802114
1.0,15,8.807359
1.0,23,8.815339
1.0,23,8.823323
0.0,320,8.934384
1.0,12,8.938562
0.0,17,8.944436
1.0,25,8.953102
0.0,393,9.090225
1.0,11,9.09406
1.0,23,9.102037
1.0,25,9.11077
0.0,1000,9.457969
1.0,11,9.461809
1.0,26,9.470801
1.0,25,9.479734
0.0,299,9.583391
1.0,11,9.587228
0.0,4,9.588633
1.0,23,9.596613
0.0,400,9.735507
1.0,11,9.739355
1.0,37,9.752303
1.0,23,9.7603
0.0,54,9.779442
0.0,16,9.785024
1.0,23,9.793242
1.0,24,9.801578
0.0,283,9.899713
1.0,13,9.904267
1.0,25,9.912964
1.0,29,9.923004
0.0,122,9.965723
1.0,14,9.97074
1.0,23,9.979074
1.0,27,9.988499
1.0,87,10.018983
1.0,11,10.02283
1.0,23,10.030814
1.0,23,10.038802
0.0,84,10.068283
1.0,13,10.07319
1.0,28,10.083167
1.0,25,10.091946
0.0,288,10.192657
1.0,11,10.196533
1.0,25,10.205221
1.0,23,10.213218
0.0,12,10.217402
1.0,13,10.221911
0.0,23,10.229867
1.0,24,10.238197
0.0,55,10.257317
1.0,12,10.2615
1.0,23,10.269503
1.0,29,10.27991
0.0,484,10.448559
1.0,11,10.452408
1.0,25,10.461198
1.0,25,10.469893
0.0,38,10.483476
1.0,14,10.488316
1.0,23,10.496525
1.0,25,10.505296
0.0,23,10.513361
1.0,11,10.517231
1.0,23,10.525208
1.0,23,10.53319
0.0,206,10.604641
1.0,11,10.608487
1.0,27,10.617846
1.0,27,10.62731
0.0,282,10.72496
1.0,13,10.729491
0.0,4,10.730886
1.0,26,10.740203
0.0,254,10.829761
1.0,11,10.833611
1.0,23,10.841623
0.0,6,10.843714
0.0,83,10.872486
1.0,11,10.876327
1.0,27,10.885709
1.0,25,10.894453
0.0,77,10.921081
1.0,13,10.925636
1.0,30,10.936055
1.0,27,10.94559
0.0,392,11.081942
1.0,13,11.08649
1.0,31,11.097249
0.0,18,11.103507
0.0,154,11.157569
1.0,11,11.161427
1.0,23,11.169426
1.0,23,11.177429
0.0,48,11.194058
1.0,18,11.200307
1.0,23,11.208316
1.0,30,11.21872
0.0,19,11.225353
0.0,6,11.227451
0.0,4,11.228846
1.0,25,11.237522
0.0,52,11.255526
1.0,11,11.259352
1.0,23,11.267381
1.0,27,11.277097
0.0,59,11.297777
1.0,12,11.301986
1.0,25,11.310673
0.0,4,11.312063
