episodes,steps,total reward
77,10000,0.0
141,20000,0.0
188,30000,0.0
247,40000,0.0
288,50000,0.0
339,60000,0.0
393,70000,0.0
452,80000,0.0
505,90000,0.0
552,100000,0.0
598,110000,0.0
666,120000,0.0
712,130000,0.0
766,140000,0.0
820,150000,0.0
864,160000,0.0
912,170000,0.0
966,180000,0.0
1017,190000,0.0
1067,200000,0.0
1115,210000,0.0
1160,220000,0.0
1219,230000,0.0
1265,240000,0.0
1304,250000,0.0
1355,260000,0.0
1407,270000,0.0
1452,280000,0.0
1496,290000,0.0
1539,300000,0.0
1591,310000,0.0
1631,320000,0.0
1672,330000,0.0
1720,340000,0.0
1768,350000,0.0
1799,360000,0.0
1843,370000,0.0
1893,380000,0.0
1939,390000,0.0
2001,400000,0.0
2044,410000,0.0
2091,420000,0.0
2141,430000,0.0
2197,440000,0.0
2242,450000,0.0
2275,460000,0.0
2317,470000,0.0
2363,480000,0.0
2402,490000,0.0
2447,500000,0.0
2497,510000,0.0
2545,520000,0.0
2584,530000,0.0
2631,540000,0.0
2679,550000,0.0
2717,560000,0.0
2766,570000,0.0
2808,580000,0.0
2855,590000,0.0
2887,600000,0.0
2939,610000,0.0
2997,620000,0.0
3046,630000,0.0
3092,640000,0.0
3133,650000,0.0
3187,660000,0.0
3231,670000,0.0
3273,680000,0.0
3325,690000,0.0
3368,700000,0.0
3411,710000,0.0
3461,720000,0.0
3498,730000,0.0
3545,740000,0.0
3600,750000,0.0
3653,760000,0.0
3691,770000,0.0
3731,780000,0.0
3765,790000,0.0
3809,800000,0.0
3848,810000,0.0
3884,820000,0.0
3931,830000,0.0
3975,840000,0.0
4017,850000,0.0
4059,860000,0.0
4095,870000,0.0
4130,880000,0.0
4172,890000,0.0
4222,900000,0.0
4269,910000,0.0
4320,920000,0.0
4372,930000,0.0
4421,940000,0.0
4473,950000,0.0
4515,960000,0.0
4548,970000,0.0
4609,980000,0.0
4650,990000,0.0
4698,1000000,0.0
