episodes,steps,total reward
111,10000,28.0
231,20000,71.0
371,30000,87.0
511,40000,82.0
675,50000,106.0
807,60000,88.0
962,70000,95.0
1103,80000,94.0
1247,90000,83.0
1364,100000,70.0
1495,110000,82.0
1643,120000,91.0
1771,130000,80.0
1911,140000,87.0
2035,150000,77.0
2179,160000,83.0
2315,170000,83.0
2475,180000,104.0
2631,190000,96.0
2791,200000,105.0
2919,210000,83.0
3055,220000,82.0
3186,230000,83.0
3331,240000,85.0
3515,250000,110.0
3683,260000,114.0
3838,270000,101.0
4003,280000,102.0
4167,290000,102.0
4339,300000,109.0
4491,310000,98.0
4607,320000,66.0
4751,330000,94.0
4927,340000,113.0
5059,350000,79.0
5239,360000,109.0
5402,370000,95.0
5591,380000,113.0
5743,390000,91.0
5915,400000,109.0
6050,410000,88.0
6223,420000,109.0
6375,430000,93.0
6523,440000,93.0
6687,450000,105.0
6887,460000,129.0
7035,470000,82.0
7187,480000,87.0
7375,490000,118.0
7523,500000,94.0
7671,510000,96.0
7832,520000,102.0
8007,530000,112.0
8187,540000,112.0
8331,550000,94.0
8507,560000,108.0
8663,570000,98.0
8831,580000,111.0
8967,590000,81.0
9139,600000,104.0
9263,610000,76.0
9419,620000,98.0
9553,630000,87.0
9687,640000,77.0
9851,650000,101.0
9989,660000,86.0
10143,670000,90.0
10283,680000,92.0
10443,690000,93.0
10603,700000,95.0
10755,710000,87.0
10891,720000,87.0
11019,730000,73.0
11163,740000,87.0
11315,750000,96.0
11495,760000,111.0
11631,770000,81.0
11799,780000,104.0
11987,790000,116.0
12115,800000,80.0
12271,810000,95.0
12407,820000,80.0
12591,830000,117.0
12703,840000,72.0
12871,850000,103.0
13076,860000,127.0
13243,870000,107.0
13415,880000,97.0
13587,890000,101.0
13759,900000,105.0
13895,910000,82.0
14032,920000,88.0
14207,930000,97.0
14351,940000,92.0
14515,950000,106.0
14643,960000,86.0
14783,970000,92.0
14971,980000,123.0
15111,990000,91.0
15255,1000000,92.0
