# {"t_start": 1641688797.4491591, "env_id": "Office-single-v0"} 
r,l,t
0.0,17,0.003666
0.0,6,0.005371
0.0,59,0.017454
0.0,27,0.022613
0.0,16,0.025696
0.0,9,0.027782
0.0,12,0.030648
0.0,45,0.039361
0.0,33,0.045664
0.0,21,0.049703
0.0,21,0.053713
0.0,54,0.06406
0.0,57,0.075267
0.0,22,0.079535
0.0,66,0.09237
0.0,109,0.11373
0.0,34,0.120351
0.0,103,0.140406
0.0,58,0.151816
0.0,52,0.161918
0.0,52,0.172076
0.0,28,0.177536
0.0,73,0.191765
0.0,91,0.210015
0.0,55,0.220685
0.0,121,0.244376
0.0,21,0.248451
0.0,54,0.258889
0.0,111,0.281019
0.0,187,0.317695
0.0,13,0.32023
0.0,15,0.323161
0.0,128,0.34804
0.0,181,0.383294
0.0,47,0.392478
0.0,99,0.412288
0.0,918,0.592219
0.0,376,0.666238
0.0,63,0.67859
0.0,60,0.690388
0.0,99,0.709858
0.0,108,0.731141
0.0,81,0.747033
0.0,429,0.832406
0.0,174,0.866605
0.0,171,0.900087
0.0,56,0.91121
0.0,39,0.918864
0.0,12,0.921237
0.0,11,0.923423
0.0,74,0.937884
0.0,166,0.970547
0.0,117,0.993868
0.0,234,1.040541
0.0,182,1.076454
0.0,28,1.081974
0.0,84,1.098798
0.0,27,1.104387
0.0,22,1.108762
0.0,315,1.170688
0.0,312,1.232825
0.0,312,1.294704
0.0,29,1.300703
0.0,32,1.307025
0.0,17,1.310474
0.0,86,1.327405
0.0,114,1.349714
0.0,64,1.362399
0.0,145,1.391166
0.0,19,1.395059
0.0,649,1.523212
0.0,161,1.555092
0.0,180,1.59098
0.0,64,1.603544
0.0,709,1.743134
0.0,263,1.795822
0.0,47,1.80519
0.0,551,1.913626
0.0,13,1.9162
0.0,612,2.037773
0.0,188,2.074635
0.0,20,2.078685
0.0,14,2.081452
0.0,101,2.101303
0.0,80,2.117093
0.0,194,2.155144
0.0,24,2.159852
0.0,371,2.233335
0.0,62,2.245548
0.0,238,2.292609
0.0,501,2.39189
0.0,16,2.395048
0.0,656,2.524177
0.0,182,2.560929
0.0,36,2.568409
0.0,506,2.668579
0.0,33,2.675078
0.0,60,2.687115
0.0,323,2.750773
0.0,54,2.761486
0.0,15,2.76447
0.0,253,2.815492
0.0,150,2.844946
0.0,201,2.884708
0.0,41,2.892749
0.0,93,2.911458
0.0,325,2.97567
0.0,554,3.085222
0.0,183,3.121401
0.0,141,3.149118
0.0,336,3.215478
0.0,591,3.33239
0.0,17,3.335755
0.0,71,3.349606
0.0,40,3.357462
0.0,144,3.386149
0.0,20,3.39009
0.0,30,3.396314
0.0,203,3.436258
0.0,646,3.564084
0.0,547,3.67228
0.0,562,3.78317
0.0,59,3.794838
0.0,102,3.815076
0.0,169,3.848148
0.0,301,3.907158
0.0,195,3.945485
