episodes,steps,total reward
21,1000,0.0
33,2000,0.0
40,3000,0.0
43,4000,0.0
48,5000,0.0
55,6000,0.0
65,7000,0.0
72,8000,0.0
79,9000,0.0
83,10000,0.0
85,11000,0.0
93,12000,0.0
105,13000,0.0
108,14000,0.0
112,15000,0.0
119,16000,0.0
125,17000,0.0
129,18000,0.0
133,19000,0.0
142,20000,0.0
148,21000,0.0
155,22000,1.0
161,23000,0.0
164,24000,0.0
167,25000,0.0
172,26000,0.0
180,27000,0.0
182,28000,0.0
190,29000,0.0
193,30000,0.0
194,31000,0.0
200,32000,0.0
207,33000,0.0
210,34000,0.0
214,35000,0.0
221,36000,0.0
226,37000,0.0
230,38000,1.0
235,39000,1.0
237,40000,0.0
244,41000,2.0
253,42000,4.0
264,43000,4.0
274,44000,5.0
297,45000,14.0
325,46000,15.0
347,47000,13.0
369,48000,15.0
389,49000,14.0
411,50000,14.0
436,51000,14.0
458,52000,14.0
481,53000,12.0
505,54000,14.0
526,55000,12.0
548,56000,16.0
569,57000,16.0
592,58000,14.0
611,59000,16.0
635,60000,13.0
657,61000,15.0
679,62000,15.0
700,63000,18.0
721,64000,14.0
745,65000,13.0
766,66000,15.0
789,67000,17.0
813,68000,13.0
837,69000,15.0
858,70000,13.0
884,71000,12.0
905,72000,15.0
929,73000,15.0
951,74000,14.0
974,75000,14.0
995,76000,15.0
1017,77000,15.0
1040,78000,15.0
1065,79000,14.0
1086,80000,16.0
1111,81000,10.0
1134,82000,15.0
1156,83000,14.0
1179,84000,13.0
1202,85000,17.0
1221,86000,13.0
1243,87000,17.0
1264,88000,16.0
1289,89000,12.0
1310,90000,15.0
1333,91000,13.0
1354,92000,15.0
1380,93000,14.0
1409,94000,14.0
1428,95000,17.0
1451,96000,12.0
1473,97000,15.0
1494,98000,14.0
1518,99000,15.0
1542,100000,13.0
