# {"t_start": 1641742684.4900084, "env_id": "Office-v0"} 
r,l,t
0.0,4,0.001574
0.0,11,0.005239
0.0,13,0.009189
0.0,64,0.029798
0.0,9,0.032638
0.0,52,0.048908
0.0,23,0.057787
0.0,35,0.068739
0.0,72,0.091202
0.0,41,0.103917
0.0,61,0.122489
0.0,104,0.154014
1.0,27,0.162176
0.0,26,0.170178
0.0,159,0.218544
0.0,75,0.241278
0.0,101,0.272044
0.0,86,0.298574
0.0,107,0.332169
0.0,6,0.333981
0.0,141,0.377786
0.0,169,0.429433
0.0,4,0.43066
0.0,77,0.454579
0.0,5,0.456235
0.0,163,0.506231
0.0,129,0.546606
0.0,5,0.548208
1.0,75,0.57154
0.0,17,0.576793
0.0,9,0.579544
0.0,31,0.589253
1.0,53,0.606104
0.0,228,0.678357
0.0,98,0.709006
0.0,95,0.738706
1.0,53,0.755548
1.0,183,0.812802
1.0,231,0.885116
0.0,132,0.926512
1.0,83,0.953295
0.0,64,0.97384
1.0,242,1.049238
0.0,191,1.109236
1.0,23,1.1163
0.0,12,1.120184
0.0,253,1.200868
0.0,25,1.208844
1.0,40,1.221566
0.0,69,1.24375
1.0,252,1.324676
0.0,37,1.336471
1.0,37,1.348289
0.0,47,1.363139
0.0,15,1.367991
0.0,267,1.453093
1.0,43,1.466475
0.0,33,1.476613
0.0,121,1.515064
0.0,178,1.572655
0.0,7,1.574818
0.0,26,1.583239
0.0,44,1.597379
0.0,12,1.601221
1.0,13,1.606047
0.0,309,1.704011
0.0,19,1.709981
0.0,44,1.723818
1.0,26,1.731974
1.0,128,1.772721
1.0,404,1.902248
0.0,266,1.987697
1.0,11,1.99118
0.0,116,2.02738
0.0,197,2.089864
0.0,69,2.11188
1.0,13,2.115969
0.0,12,2.119709
0.0,105,2.153399
0.0,39,2.165748
1.0,13,2.169774
0.0,73,2.193138
0.0,542,2.366075
0.0,10,2.36919
1.0,19,2.375212
1.0,122,2.414049
1.0,215,2.482819
0.0,318,2.585028
1.0,13,2.589228
0.0,90,2.617746
0.0,214,2.685018
0.0,351,2.795877
0.0,4,2.797141
0.0,53,2.813889
1.0,297,2.90962
0.0,33,2.920214
1.0,11,2.923718
1.0,60,2.94258
0.0,50,2.958243
0.0,254,3.038659
1.0,11,3.042112
0.0,71,3.064775
0.0,153,3.113506
0.0,56,3.131284
1.0,13,3.135492
1.0,90,3.164528
0.0,78,3.189666
0.0,28,3.198961
1.0,11,3.202408
1.0,135,3.245335
0.0,308,3.341809
0.0,28,3.350733
1.0,11,3.354325
1.0,79,3.379341
0.0,40,3.392033
0.0,24,3.399726
1.0,11,3.403262
0.0,52,3.419891
0.0,8,3.422496
0.0,130,3.463557
1.0,11,3.467119
0.0,10,3.47038
0.0,186,3.530796
0.0,672,3.74334
1.0,11,3.746917
0.0,43,3.760634
1.0,202,3.825958
0.0,18,3.831754
1.0,12,3.835726
0.0,32,3.846371
1.0,60,3.865344
0.0,25,3.873219
1.0,11,3.876698
1.0,66,3.897267
1.0,75,3.920723
0.0,157,3.970199
1.0,13,3.974431
0.0,130,4.015696
0.0,44,4.029724
0.0,101,4.061776
1.0,12,4.0657
1.0,32,4.075705
1.0,63,4.094841
0.0,7,4.097014
1.0,13,4.101168
1.0,86,4.129083
0.0,81,4.155056
0.0,68,4.176686
1.0,13,4.1808
1.0,37,4.192731
1.0,52,4.209628
0.0,342,4.316106
1.0,15,4.320838
0.0,26,4.329173
1.0,58,4.34747
0.0,458,4.493401
1.0,11,4.496958
1.0,58,4.515332
1.0,53,4.531891
0.0,12,4.535637
1.0,13,4.539773
1.0,30,4.549185
1.0,30,4.558886
0.0,1000,4.875563
1.0,11,4.879069
1.0,29,4.88822
1.0,47,4.903165
0.0,87,4.930823
1.0,13,4.935067
0.0,16,4.940187
1.0,36,4.951614
0.0,93,4.981263
1.0,11,4.984846
0.0,36,4.996269
0.0,75,5.019967
0.0,179,5.076467
1.0,11,5.080239
1.0,34,5.091272
1.0,32,5.101712
0.0,290,5.193343
1.0,11,5.196913
1.0,23,5.204287
0.0,41,5.217447
0.0,26,5.225626
1.0,13,5.229774
1.0,25,5.237818
0.0,31,5.247723
0.0,19,5.253649
1.0,11,5.257205
0.0,8,5.259884
1.0,41,5.272917
0.0,318,5.373793
1.0,11,5.37741
1.0,29,5.386861
0.0,11,5.390409
0.0,77,5.415377
0.0,9,5.418235
1.0,31,5.428642
0.0,46,5.442958
0.0,13,5.447027
1.0,13,5.451178
0.0,19,5.457173
1.0,25,5.465037
0.0,217,5.532763
1.0,11,5.536202
1.0,25,5.544216
1.0,25,5.552173
0.0,18,5.557927
1.0,11,5.561496
1.0,25,5.569489
0.0,20,5.575821
0.0,107,5.609532
1.0,11,5.613019
1.0,27,5.621813
0.0,8,5.624468
0.0,100,5.656124
1.0,12,5.659953
1.0,25,5.667898
0.0,20,5.674328
0.0,138,5.71907
0.0,7,5.721308
0.0,25,5.729529
0.0,19,5.735611
0.0,4,5.736953
1.0,13,5.741037
1.0,26,5.749278
1.0,25,5.757373
0.0,193,5.818019
1.0,13,5.822167
0.0,24,5.829845
1.0,28,5.839221
0.0,113,5.875218
1.0,11,5.878834
1.0,23,5.886109
0.0,17,5.89161
0.0,2,5.892272
1.0,15,5.897026
1.0,23,5.904307
1.0,27,5.912893
0.0,608,6.104862
1.0,11,6.108446
1.0,27,6.11698
1.0,23,6.124438
0.0,300,6.219551
1.0,13,6.223671
1.0,25,6.231535
1.0,26,6.239604
0.0,267,6.323107
1.0,13,6.327219
1.0,23,6.334604
1.0,25,6.342707
0.0,114,6.37904
1.0,13,6.383198
1.0,23,6.390665
1.0,31,6.400644
0.0,89,6.428866
1.0,11,6.432308
1.0,25,6.440117
1.0,25,6.448002
0.0,315,6.546626
1.0,12,6.550553
0.0,6,6.552432
0.0,12,6.556314
0.0,105,6.589687
0.0,9,6.59262
1.0,25,6.600733
1.0,25,6.609194
0.0,187,6.668489
1.0,12,6.6724
1.0,29,6.682013
1.0,26,6.690163
0.0,112,6.725938
1.0,17,6.73127
0.0,14,6.73576
1.0,25,6.74358
0.0,175,6.799038
0.0,6,6.800972
1.0,25,6.808911
1.0,29,6.818173
0.0,24,6.825924
1.0,14,6.830327
1.0,25,6.83825
1.0,27,6.846886
0.0,1000,7.164519
1.0,11,7.168019
1.0,27,7.176347
1.0,23,7.18339
0.0,47,7.197797
1.0,11,7.201288
1.0,25,7.209583
1.0,25,7.21771
0.0,433,7.355266
1.0,14,7.359861
1.0,25,7.367742
1.0,25,7.375483
0.0,273,7.460499
1.0,14,7.464776
1.0,27,7.473305
1.0,26,7.481311
0.0,171,7.534782
1.0,11,7.538398
1.0,23,7.545763
0.0,19,7.552038
0.0,100,7.583794
1.0,11,7.587249
1.0,26,7.595338
1.0,27,7.60365
0.0,132,7.646992
1.0,11,7.650481
1.0,29,7.659742
0.0,6,7.661677
