episodes,steps,total reward
32,1000,9.0
49,2000,7.0
61,3000,6.0
74,4000,5.0
89,5000,9.0
105,6000,9.0
117,7000,10.0
130,8000,8.0
150,9000,14.0
174,10000,15.0
194,11000,13.0
214,12000,14.0
250,13000,29.0
284,14000,26.0
318,15000,28.0
365,16000,35.0
428,17000,58.0
493,18000,57.0
561,19000,58.0
618,20000,50.0
676,21000,53.0
744,22000,60.0
813,23000,59.0
874,24000,54.0
945,25000,60.0
1017,26000,57.0
1086,27000,55.0
1146,28000,52.0
1216,29000,59.0
1285,30000,57.0
1352,31000,61.0
1418,32000,56.0
1485,33000,57.0
1550,34000,57.0
1613,35000,58.0
1674,36000,57.0
1739,37000,60.0
1804,38000,59.0
1871,39000,60.0
1937,40000,60.0
2005,41000,59.0
2078,42000,59.0
2149,43000,62.0
2217,44000,60.0
2284,45000,58.0
2353,46000,62.0
2421,47000,57.0
2492,48000,61.0
2554,49000,58.0
2625,50000,58.0
2693,51000,61.0
2758,52000,62.0
2821,53000,56.0
2893,54000,57.0
2965,55000,56.0
3037,56000,60.0
3108,57000,61.0
3173,58000,57.0
3238,59000,55.0
3306,60000,60.0
3376,61000,61.0
3442,62000,61.0
3514,63000,61.0
3580,64000,60.0
3648,65000,62.0
3717,66000,61.0
3787,67000,58.0
3853,68000,58.0
3920,69000,61.0
3986,70000,60.0
4049,71000,57.0
4114,72000,60.0
4182,73000,59.0
4248,74000,60.0
4314,75000,58.0
4381,76000,58.0
4449,77000,56.0
4517,78000,60.0
4581,79000,60.0
4650,80000,59.0
4714,81000,58.0
4785,82000,63.0
4857,83000,60.0
4933,84000,54.0
4998,85000,58.0
5066,86000,60.0
5133,87000,60.0
5196,88000,59.0
5265,89000,58.0
5329,90000,58.0
5397,91000,57.0
5462,92000,58.0
5534,93000,59.0
5605,94000,60.0
5670,95000,58.0
5741,96000,61.0
5808,97000,62.0
5873,98000,60.0
5940,99000,62.0
6005,100000,60.0
