# {"t_start": 1641354542.4447887, "env_id": "Office-single-v0"} 
r,l,t
1.0,15,0.001384
1.0,73,0.006339
0.0,16,0.007469
0.0,6,0.007907
0.0,36,0.010419
1.0,4,0.010722
1.0,23,0.012266
0.0,17,0.01344
0.0,12,0.014286
1.0,9,0.01491
0.0,13,0.015808
0.0,31,0.017977
1.0,11,0.018743
0.0,26,0.020505
1.0,4,0.020809
1.0,17,0.021957
0.0,8,0.022507
0.0,34,0.02476
1.0,9,0.025364
0.0,4,0.025652
0.0,47,0.028676
0.0,38,0.03119
1.0,4,0.031475
0.0,98,0.037771
1.0,7,0.038251
1.0,8,0.038783
1.0,4,0.039065
0.0,62,0.043094
0.0,5,0.043449
1.0,12,0.044224
0.0,39,0.046738
1.0,6,0.047147
1.0,13,0.048042
1.0,12,0.048828
0.0,27,0.050663
1.0,6,0.051069
1.0,11,0.051773
0.0,117,0.059256
1.0,4,0.059549
1.0,9,0.060147
1.0,6,0.060561
1.0,6,0.060973
1.0,4,0.061263
1.0,4,0.061548
1.0,4,0.061832
1.0,4,0.062112
1.0,4,0.062393
1.0,4,0.062724
1.0,4,0.063012
1.0,4,0.063297
1.0,4,0.063579
1.0,4,0.063863
1.0,4,0.064146
1.0,4,0.064428
0.0,78,0.069645
1.0,6,0.070057
1.0,4,0.070342
1.0,4,0.070686
1.0,6,0.071098
1.0,4,0.07138
0.0,141,0.080895
1.0,4,0.081227
1.0,4,0.081507
1.0,4,0.081792
1.0,6,0.082192
1.0,4,0.082474
1.0,4,0.082756
1.0,4,0.083035
1.0,4,0.083315
1.0,4,0.083593
1.0,4,0.083874
1.0,4,0.084155
1.0,4,0.084434
1.0,4,0.084715
1.0,6,0.085122
1.0,4,0.085404
1.0,4,0.085679
1.0,4,0.086009
1.0,6,0.086421
1.0,4,0.086704
1.0,4,0.086985
1.0,6,0.087488
1.0,4,0.087767
1.0,4,0.088046
1.0,4,0.088326
1.0,4,0.088606
1.0,4,0.088883
1.0,4,0.089166
1.0,4,0.08945
1.0,16,0.090572
1.0,4,0.090918
1.0,4,0.091193
1.0,4,0.091473
1.0,4,0.091754
0.0,109,0.098839
1.0,4,0.099179
1.0,4,0.099463
1.0,4,0.099814
1.0,6,0.100217
1.0,4,0.100498
1.0,4,0.10078
1.0,4,0.101064
1.0,8,0.101662
1.0,4,0.101948
1.0,4,0.102229
1.0,4,0.10251
1.0,4,0.10279
1.0,4,0.103071
1.0,4,0.103353
1.0,4,0.103632
1.0,4,0.103911
1.0,4,0.10419
1.0,4,0.10447
1.0,4,0.104752
1.0,4,0.105035
1.0,4,0.105316
1.0,8,0.10584
1.0,4,0.10612
1.0,6,0.106521
1.0,4,0.1068
1.0,4,0.107077
1.0,4,0.107358
1.0,4,0.107634
1.0,4,0.107929
1.0,4,0.108215
1.0,4,0.1085
1.0,4,0.108835
1.0,4,0.109136
1.0,4,0.109421
1.0,4,0.109822
1.0,4,0.110232
1.0,4,0.110582
1.0,6,0.110988
1.0,6,0.111391
1.0,4,0.111691
1.0,4,0.111987
1.0,4,0.11239
1.0,4,0.112674
1.0,4,0.112959
1.0,4,0.113266
1.0,6,0.113692
1.0,6,0.114176
1.0,6,0.114581
1.0,4,0.114861
1.0,4,0.115142
1.0,4,0.115421
1.0,4,0.1157
1.0,4,0.11598
1.0,6,0.116387
1.0,4,0.116717
1.0,4,0.117012
1.0,4,0.117299
1.0,4,0.117582
1.0,6,0.117985
1.0,8,0.118512
1.0,4,0.118793
1.0,6,0.119198
1.0,4,0.119532
1.0,4,0.119823
1.0,4,0.120103
0.0,48,0.123153
1.0,4,0.123439
1.0,6,0.123844
1.0,4,0.124204
1.0,4,0.124495
1.0,4,0.124781
1.0,4,0.125194
1.0,4,0.125478
1.0,4,0.125813
1.0,4,0.126226
1.0,4,0.12665
1.0,4,0.126946
1.0,4,0.127226
1.0,18,0.128381
1.0,4,0.128662
1.0,4,0.12894
1.0,4,0.129261
1.0,4,0.129542
1.0,4,0.129821
1.0,4,0.1301
1.0,4,0.13038
1.0,4,0.130661
1.0,4,0.130939
1.0,4,0.13122
1.0,6,0.131625
1.0,4,0.131948
1.0,4,0.132242
0.0,70,0.136682
1.0,4,0.136968
1.0,4,0.137331
1.0,4,0.137712
1.0,4,0.137995
1.0,6,0.138397
1.0,4,0.138677
1.0,4,0.138955
1.0,4,0.139234
1.0,4,0.139565
1.0,4,0.139849
1.0,4,0.14013
1.0,4,0.140413
1.0,4,0.140692
1.0,4,0.140974
1.0,8,0.141511
1.0,4,0.141793
1.0,4,0.142074
1.0,4,0.142352
1.0,4,0.14263
1.0,6,0.143035
1.0,4,0.143314
1.0,4,0.143593
1.0,9,0.144196
1.0,4,0.144482
1.0,4,0.144768
1.0,6,0.14519
1.0,6,0.145596
1.0,4,0.145888
1.0,4,0.146172
1.0,4,0.146457
1.0,10,0.147157
1.0,4,0.147495
1.0,4,0.147817
1.0,4,0.148143
1.0,8,0.148666
1.0,4,0.148962
1.0,4,0.149251
1.0,4,0.149537
1.0,6,0.149958
1.0,4,0.150272
1.0,6,0.150838
1.0,4,0.151116
1.0,4,0.151393
1.0,4,0.151673
1.0,7,0.152202
1.0,4,0.152483
1.0,4,0.152766
