# {"t_start": 1641710416.8430185, "env_id": "Office-v0"} 
r,l,t
0.0,21,0.005451
0.0,61,0.020644
0.0,5,0.021909
0.0,41,0.03148
0.0,43,0.041633
0.0,8,0.043529
0.0,10,0.04592
0.0,21,0.05085
0.0,24,0.056454
0.0,39,0.065774
0.0,36,0.074182
0.0,12,0.076998
1.0,57,0.090393
0.0,17,0.094355
0.0,58,0.108073
0.0,16,0.112216
0.0,147,0.146957
0.0,67,0.1626
0.0,53,0.175227
0.0,34,0.18345
1.0,53,0.195992
0.0,63,0.210679
0.0,119,0.23889
0.0,73,0.256428
0.0,21,0.26139
0.0,74,0.279049
0.0,96,0.301703
0.0,118,0.329427
0.0,118,0.357229
0.0,103,0.381395
0.0,63,0.396147
0.0,190,0.4406
1.0,63,0.455339
0.0,111,0.481653
0.0,149,0.517559
0.0,285,0.584268
0.0,22,0.589529
0.0,237,0.645526
0.0,53,0.657937
0.0,18,0.662207
0.0,6,0.663681
1.0,177,0.705947
0.0,301,0.77789
0.0,11,0.780511
1.0,24,0.786309
1.0,155,0.823181
0.0,95,0.845724
0.0,317,0.920059
1.0,21,0.925013
0.0,12,0.927925
0.0,2,0.928415
0.0,113,0.955275
1.0,77,0.973918
0.0,159,1.012131
1.0,222,1.06479
0.0,206,1.113987
1.0,28,1.120706
0.0,30,1.128148
0.0,169,1.168468
0.0,193,1.214878
1.0,20,1.219893
0.0,51,1.232295
0.0,332,1.31077
0.0,10,1.313148
1.0,17,1.317178
1.0,114,1.344139
0.0,26,1.350287
0.0,75,1.368278
1.0,39,1.377748
0.0,20,1.382628
0.0,37,1.391725
0.0,27,1.398114
1.0,14,1.401433
0.0,35,1.409749
0.0,34,1.417915
0.0,98,1.441693
1.0,11,1.444352
0.0,139,1.477918
0.0,132,1.509237
0.0,35,1.517491
1.0,11,1.520116
1.0,129,1.550665
0.0,58,1.564345
0.0,76,1.582452
1.0,11,1.585075
0.0,161,1.6234
1.0,251,1.684105
0.0,74,1.702135
1.0,13,1.705291
1.0,177,1.747262
1.0,192,1.792639
0.0,19,1.797287
1.0,11,1.799901
1.0,96,1.822568
0.0,96,1.845562
0.0,60,1.859832
1.0,13,1.863097
1.0,131,1.893929
1.0,269,1.958952
0.0,290,2.028291
1.0,11,2.030917
0.0,100,2.05439
1.0,145,2.08878
0.0,48,2.100213
1.0,11,2.102836
1.0,114,2.130259
0.0,324,2.208639
0.0,18,2.21297
1.0,11,2.215617
0.0,44,2.225975
0.0,297,2.296253
0.0,8,2.298187
1.0,13,2.301302
1.0,42,2.311257
0.0,125,2.340743
0.0,444,2.446879
1.0,13,2.449963
1.0,87,2.470481
0.0,128,2.500741
0.0,176,2.542223
1.0,11,2.544898
0.0,21,2.549869
1.0,57,2.563577
0.0,65,2.578924
1.0,11,2.581547
1.0,40,2.591459
0.0,149,2.627676
0.0,60,2.642285
1.0,12,2.645203
1.0,94,2.668236
1.0,76,2.686736
0.0,37,2.695508
1.0,11,2.698132
0.0,78,2.716591
1.0,48,2.727968
0.0,46,2.738818
1.0,11,2.741494
1.0,51,2.753559
0.0,2,2.754052
0.0,642,2.90717
1.0,15,2.910718
1.0,74,2.928196
1.0,225,2.981384
1.0,21,2.986383
0.0,4,2.987349
1.0,48,2.998666
1.0,74,3.016194
1.0,17,3.020249
1.0,13,3.023338
0.0,23,3.028782
1.0,127,3.058708
1.0,21,3.063673
1.0,11,3.066277
1.0,39,3.075509
0.0,114,3.10281
1.0,17,3.10693
1.0,12,3.110336
1.0,46,3.121303
1.0,52,3.134005
1.0,19,3.138534
1.0,15,3.142128
1.0,36,3.150653
