# {"t_start": 1641721110.8270485, "env_id": "Office-single-v0"} 
r,l,t
0.0,21,0.003752
0.0,26,0.007856
0.0,36,0.014937
0.0,14,0.018064
0.0,29,0.022963
0.0,27,0.027179
0.0,22,0.030586
0.0,21,0.033903
0.0,43,0.040834
0.0,53,0.049682
0.0,43,0.056302
0.0,24,0.060087
0.0,4,0.060734
0.0,62,0.070255
0.0,155,0.094059
0.0,33,0.099203
0.0,26,0.103217
0.0,98,0.118425
0.0,14,0.120604
0.0,63,0.130346
0.0,34,0.135626
0.0,18,0.138409
0.0,30,0.14307
0.0,91,0.157218
0.0,24,0.161182
0.0,91,0.17554
0.0,46,0.182607
0.0,70,0.194343
0.0,63,0.204285
0.0,95,0.218924
0.0,2,0.219261
0.0,58,0.228231
0.0,136,0.249259
0.0,10,0.250983
0.0,101,0.266564
0.0,190,0.29603
0.0,189,0.32552
0.0,507,0.406337
0.0,58,0.41543
0.0,559,0.50415
0.0,178,0.532936
0.0,54,0.541339
0.0,177,0.568938
0.0,136,0.590136
0.0,192,0.62025
0.0,22,0.623691
0.0,244,0.664052
0.0,72,0.675688
0.0,8,0.67696
0.0,17,0.680015
0.0,85,0.693317
0.0,1000,0.852435
0.0,83,0.865662
0.0,232,0.901854
0.0,89,0.915605
0.0,190,0.945215
0.0,36,0.95096
0.0,2,0.951315
0.0,99,0.966966
0.0,41,0.973385
0.0,132,0.996084
0.0,171,1.022991
0.0,265,1.064384
0.0,331,1.11629
0.0,234,1.154158
0.0,413,1.218605
0.0,12,1.220496
0.0,135,1.241568
0.0,196,1.272216
0.0,132,1.293091
0.0,13,1.295709
0.0,469,1.369365
0.0,40,1.375618
0.0,32,1.380705
0.0,4,1.381353
0.0,315,1.430463
0.0,99,1.446175
0.0,93,1.461421
0.0,322,1.512115
0.0,425,1.578015
0.0,415,1.644633
0.0,484,1.719854
0.0,145,1.742621
0.0,36,1.748195
0.0,207,1.78219
0.0,48,1.78967
0.0,54,1.798111
0.0,85,1.811267
0.0,43,1.818029
0.0,159,1.843066
0.0,160,1.868119
0.0,178,1.896003
0.0,73,1.907478
0.0,111,1.92563
0.0,166,1.952144
0.0,171,1.978768
0.0,31,1.983623
0.0,75,1.995444
0.0,61,2.004938
0.0,124,2.024486
0.0,76,2.036342
0.0,209,2.06965
0.0,133,2.092845
0.0,350,2.147991
0.0,87,2.1616
0.0,132,2.182244
0.0,217,2.216361
0.0,86,2.229837
0.0,652,2.333701
0.0,7,2.334816
0.0,176,2.362282
0.0,54,2.370674
0.0,147,2.393775
0.0,1000,2.553484
0.0,26,2.557622
0.0,41,2.565942
0.0,31,2.570876
0.0,324,2.621974
0.0,206,2.65454
0.0,14,2.656754
0.0,27,2.660994
0.0,41,2.667432
0.0,210,2.70042
0.0,83,2.713678
0.0,30,2.718444
0.0,174,2.747265
0.0,13,2.749326
0.0,38,2.75528
0.0,175,2.782817
0.0,284,2.827469
0.0,127,2.847245
0.0,368,2.907219
0.0,127,2.927068
0.0,45,2.934135
0.0,717,3.047612
0.0,187,3.076953
0.0,60,3.086421
1.0,71,3.097462
0.0,242,3.135365
0.0,54,3.143821
1.0,40,3.150107
0.0,102,3.166104
0.0,8,3.167387
1.0,42,3.174143
0.0,40,3.180477
0.0,13,3.18253
1.0,34,3.188179
0.0,2,3.188517
0.0,292,3.235323
0.0,196,3.266094
0.0,61,3.275722
1.0,42,3.282297
