episodes,steps,total reward
21,1000,0.0
32,2000,0.0
39,3000,0.0
43,4000,0.0
47,5000,0.0
53,6000,0.0
60,7000,0.0
62,8000,0.0
63,9000,0.0
66,10000,0.0
75,11000,0.0
83,12000,0.0
88,13000,0.0
90,14000,0.0
93,15000,0.0
98,16000,0.0
105,17000,0.0
118,18000,0.0
126,19000,0.0
127,20000,0.0
135,21000,0.0
144,22000,3.0
154,23000,4.0
179,24000,15.0
218,25000,27.0
252,26000,24.0
289,27000,27.0
329,28000,29.0
361,29000,27.0
390,30000,21.0
425,31000,28.0
461,32000,29.0
484,33000,19.0
518,34000,26.0
554,35000,29.0
592,36000,29.0
630,37000,29.0
667,38000,30.0
707,39000,28.0
741,40000,30.0
779,41000,30.0
814,42000,28.0
852,43000,29.0
891,44000,27.0
929,45000,28.0
968,46000,31.0
1005,47000,24.0
1043,48000,26.0
1080,49000,28.0
1118,50000,29.0
1155,51000,27.0
1191,52000,28.0
1232,53000,25.0
1271,54000,25.0
1308,55000,27.0
1343,56000,31.0
1383,57000,28.0
1418,58000,28.0
1457,59000,27.0
1494,60000,29.0
1534,61000,30.0
1573,62000,26.0
1610,63000,31.0
1647,64000,31.0
1683,65000,28.0
1723,66000,28.0
1760,67000,29.0
1796,68000,31.0
1836,69000,27.0
1873,70000,25.0
1908,71000,30.0
1943,72000,30.0
1980,73000,30.0
2016,74000,28.0
2054,75000,31.0
2091,76000,28.0
2127,77000,30.0
2163,78000,29.0
2203,79000,27.0
2238,80000,30.0
2276,81000,30.0
2313,82000,28.0
2352,83000,30.0
2388,84000,30.0
2429,85000,29.0
2466,86000,28.0
2504,87000,31.0
2541,88000,28.0
2579,89000,29.0
2620,90000,26.0
2659,91000,29.0
2698,92000,26.0
2735,93000,29.0
2770,94000,28.0
2808,95000,29.0
2846,96000,27.0
2884,97000,29.0
2920,98000,28.0
2959,99000,31.0
2999,100000,27.0
