episodes,steps,total reward
107,10000,25.0
226,20000,59.0
375,30000,91.0
535,40000,102.0
715,50000,119.0
853,60000,89.0
986,70000,78.0
1115,80000,86.0
1259,90000,91.0
1415,100000,95.0
1555,110000,84.0
1723,120000,111.0
1859,130000,86.0
1991,140000,84.0
2111,150000,70.0
2303,160000,112.0
2420,170000,77.0
2579,180000,98.0
2751,190000,109.0
2935,200000,121.0
3063,210000,83.0
3194,220000,83.0
3315,230000,77.0
3471,240000,103.0
3627,250000,91.0
3751,260000,71.0
3927,270000,101.0
4055,280000,81.0
4180,290000,83.0
4311,300000,84.0
4459,310000,97.0
4611,320000,92.0
4711,330000,60.0
4843,340000,85.0
5027,350000,113.0
5173,360000,95.0
5300,370000,77.0
5443,380000,87.0
5580,390000,84.0
5727,400000,90.0
5887,410000,102.0
6033,420000,90.0
6207,430000,107.0
6331,440000,78.0
6479,450000,86.0
6620,460000,85.0
6755,470000,81.0
6915,480000,101.0
7086,490000,106.0
7217,500000,86.0
7375,510000,102.0
7535,520000,92.0
7699,530000,101.0
7835,540000,91.0
7999,550000,95.0
8145,560000,95.0
8283,570000,78.0
8427,580000,91.0
8575,590000,94.0
8717,600000,87.0
8831,610000,78.0
8959,620000,82.0
9067,630000,65.0
9211,640000,94.0
9371,650000,104.0
9509,660000,83.0
9682,670000,110.0
9817,680000,78.0
9963,690000,91.0
10115,700000,94.0
10251,710000,83.0
10406,720000,89.0
10539,730000,89.0
10715,740000,115.0
10855,750000,91.0
10975,760000,75.0
11123,770000,95.0
11261,780000,92.0
11418,790000,98.0
11559,800000,86.0
11688,810000,78.0
11849,820000,101.0
12015,830000,99.0
12167,840000,101.0
12299,850000,85.0
12440,860000,90.0
12583,870000,93.0
12755,880000,102.0
12899,890000,86.0
13043,900000,84.0
13199,910000,99.0
13363,920000,97.0
13495,930000,82.0
13646,940000,101.0
13763,950000,69.0
13899,960000,89.0
14039,970000,92.0
14195,980000,99.0
14331,990000,89.0
14463,1000000,76.0
