episodes,steps,total reward
19,1000,0.0
32,2000,0.0
39,3000,0.0
45,4000,0.0
53,5000,0.0
64,6000,0.0
70,7000,0.0
74,8000,0.0
80,9000,0.0
86,10000,0.0
90,11000,0.0
94,12000,1.0
101,13000,0.0
108,14000,0.0
115,15000,0.0
121,16000,0.0
129,17000,0.0
135,18000,1.0
139,19000,0.0
146,20000,0.0
152,21000,0.0
155,22000,0.0
159,23000,0.0
162,24000,0.0
169,25000,0.0
171,26000,0.0
181,27000,2.0
189,28000,1.0
195,29000,1.0
197,30000,0.0
208,31000,1.0
215,32000,2.0
221,33000,1.0
229,34000,1.0
243,35000,8.0
260,36000,8.0
274,37000,6.0
302,38000,19.0
324,39000,14.0
356,40000,17.0
382,41000,14.0
411,42000,15.0
443,43000,18.0
474,44000,21.0
507,45000,17.0
535,46000,19.0
560,47000,22.0
590,48000,19.0
620,49000,16.0
646,50000,19.0
675,51000,19.0
702,52000,22.0
737,53000,16.0
766,54000,19.0
792,55000,22.0
821,56000,17.0
849,57000,21.0
874,58000,21.0
901,59000,21.0
931,60000,18.0
963,61000,17.0
994,62000,16.0
1021,63000,18.0
1052,64000,18.0
1086,65000,16.0
1111,66000,20.0
1139,67000,19.0
1167,68000,19.0
1193,69000,20.0
1219,70000,18.0
1251,71000,20.0
1282,72000,17.0
1312,73000,21.0
1343,74000,17.0
1369,75000,20.0
1394,76000,21.0
1424,77000,16.0
1451,78000,17.0
1478,79000,19.0
1506,80000,18.0
1533,81000,20.0
1561,82000,18.0
1594,83000,15.0
1620,84000,20.0
1651,85000,18.0
1683,86000,18.0
1717,87000,17.0
1745,88000,19.0
1773,89000,20.0
1804,90000,18.0
1832,91000,20.0
1862,92000,16.0
1888,93000,22.0
1919,94000,17.0
1951,95000,16.0
1981,96000,19.0
2010,97000,20.0
2041,98000,17.0
2067,99000,19.0
2095,100000,18.0
