# {"t_start": 1641696691.8244646, "env_id": "Office-single-v0"} 
r,l,t
0.0,14,0.00381
0.0,5,0.005013
0.0,14,0.008408
0.0,44,0.018925
0.0,16,0.023199
0.0,49,0.034972
0.0,19,0.039559
0.0,28,0.04604
0.0,72,0.062651
0.0,42,0.072742
0.0,14,0.076042
0.0,48,0.087531
0.0,64,0.102916
0.0,14,0.106265
0.0,37,0.115185
0.0,124,0.144522
0.0,49,0.156034
0.0,95,0.178443
0.0,91,0.200074
0.0,110,0.226582
0.0,34,0.234632
0.0,65,0.250353
0.0,91,0.272113
0.0,174,0.313124
0.0,132,0.344452
0.0,137,0.37675
0.0,106,0.40171
0.0,137,0.434006
0.0,155,0.470446
0.0,53,0.483294
0.0,189,0.528817
0.0,76,0.546721
0.0,49,0.558406
0.0,14,0.561722
0.0,233,0.617627
0.0,115,0.644905
0.0,20,0.649654
0.0,246,0.708492
0.0,62,0.723552
0.0,460,0.833962
0.0,6,0.835401
0.0,111,0.861696
0.0,314,0.936755
0.0,34,0.944818
0.0,218,0.997439
0.0,352,1.081758
0.0,35,1.090324
0.0,74,1.10814
0.0,10,1.110488
0.0,6,1.112111
0.0,667,1.272362
0.0,154,1.308996
0.0,54,1.321957
0.0,39,1.33152
0.0,34,1.339697
0.0,38,1.348722
0.0,24,1.354456
0.0,340,1.43575
0.0,36,1.444297
0.0,115,1.472048
0.0,46,1.483263
0.0,60,1.497434
0.0,33,1.505331
0.0,75,1.523235
0.0,31,1.53056
0.0,38,1.539691
0.0,193,1.585738
0.0,58,1.599997
0.0,49,1.61173
0.0,159,1.649855
0.0,139,1.683105
0.0,23,1.688921
0.0,86,1.709823
0.0,59,1.72418
0.0,488,1.84134
0.0,45,1.852076
0.0,104,1.877006
0.0,127,1.907283
0.0,27,1.913705
0.0,174,1.956207
0.0,16,1.959993
0.0,128,1.990528
0.0,431,2.093972
0.0,195,2.140773
0.0,70,2.157749
0.0,18,2.162025
0.0,561,2.296631
0.0,173,2.337888
0.0,280,2.405216
0.0,25,2.411423
0.0,352,2.495996
0.0,11,2.498642
0.0,714,2.670703
0.0,261,2.733591
0.0,27,2.740006
0.0,38,2.749054
0.0,163,2.788295
0.0,120,2.816772
0.0,117,2.844855
0.0,364,2.93285
0.0,286,3.000972
0.0,571,3.138721
0.0,36,3.147476
0.0,7,3.149293
0.0,364,3.236286
0.0,83,3.256039
0.0,30,3.263198
0.0,139,3.296244
0.0,517,3.420598
0.0,62,3.435432
0.0,59,3.449633
0.0,13,3.452737
0.0,11,3.455393
0.0,149,3.490892
0.0,52,3.503265
0.0,209,3.553105
0.0,426,3.656638
0.0,6,3.658095
0.0,65,3.67362
0.0,17,3.677662
0.0,496,3.796533
0.0,18,3.800858
0.0,206,3.850363
0.0,35,3.858889
0.0,116,3.887023
0.0,22,3.892267
0.0,390,3.985085
0.0,124,4.014578
0.0,417,4.115241
0.0,102,4.139539
0.0,4,4.140522
0.0,138,4.173526
0.0,95,4.196111
0.0,151,4.232015
0.0,85,4.25222
0.0,13,4.255352
0.0,77,4.273859
0.0,279,4.340934
0.0,1000,4.582422
0.0,37,4.59154
0.0,26,4.598176
0.0,20,4.602972
0.0,77,4.621626
0.0,12,4.624514
0.0,321,4.701506
0.0,97,4.724997
1.0,165,4.764843
0.0,790,4.956893
0.0,183,5.000775
0.0,702,5.171269
0.0,106,5.196508
0.0,419,5.297141
0.0,38,5.306188
0.0,44,5.317186
0.0,165,5.356967
0.0,155,5.394251
0.0,137,5.427004
0.0,198,5.474619
0.0,234,5.531042
0.0,24,5.536783
0.0,233,5.593365
0.0,27,5.599989
0.0,96,5.623254
0.0,42,5.633337
0.0,39,5.642665
0.0,150,5.678534
0.0,63,5.693548
0.0,639,5.847567
0.0,167,5.88741
0.0,129,5.918081
0.0,147,5.952934
0.0,310,6.027252
0.0,200,6.075715
0.0,378,6.166763
1.0,132,6.198281
0.0,34,6.20633
0.0,123,6.235817
0.0,108,6.262044
1.0,90,6.283854
0.0,51,6.296006
0.0,314,6.370971
0.0,196,6.417659
0.0,37,6.426512
0.0,18,6.430798
0.0,12,6.433661
0.0,627,6.584534
0.0,63,6.600005
0.0,497,6.718658
0.0,212,6.769871
0.0,14,6.773239
0.0,670,6.933109
0.0,351,7.01764
0.0,16,7.021557
0.0,40,7.031025
0.0,15,7.03458
0.0,526,7.160358
0.0,66,7.176125
0.0,95,7.198588
0.0,64,7.214029
0.0,29,7.220991
0.0,356,7.306827
0.0,41,7.316586
0.0,270,7.381365
0.0,312,7.456047
1.0,95,7.479051
0.0,75,7.497178
0.0,125,7.526906
0.0,58,7.540695
0.0,35,7.54911
0.0,24,7.554781
0.0,696,7.722512
1.0,87,7.743542
0.0,512,7.865024
0.0,13,7.868135
0.0,63,7.8831
0.0,94,7.905348
0.0,5,7.906541
0.0,22,7.911749
0.0,752,8.09157
0.0,178,8.134143
0.0,406,8.231187
1.0,56,8.244525
0.0,26,8.250695
0.0,219,8.30249
0.0,13,8.305645
0.0,73,8.322902
1.0,74,8.340439
0.0,36,8.348998
0.0,56,8.362515
0.0,338,8.443805
0.0,323,8.520716
0.0,20,8.52548
1.0,55,8.53899
1.0,49,8.550557
0.0,31,8.557898
0.0,36,8.566407
1.0,68,8.582885
0.0,176,8.625227
0.0,27,8.631646
0.0,9,8.633794
1.0,49,8.645676
1.0,54,8.658816
0.0,20,8.663618
1.0,44,8.674184
0.0,72,8.691616
0.0,178,8.734147
1.0,41,8.743859
0.0,196,8.790551
1.0,47,8.801766
0.0,443,8.908244
1.0,42,8.918609
1.0,45,8.929376
1.0,51,8.941543
1.0,45,8.952312
1.0,42,8.96229
0.0,11,8.964875
0.0,22,8.970112
1.0,45,8.980826
0.0,32,8.988531
0.0,23,8.993977
1.0,47,9.005131
1.0,52,9.017491
1.0,53,9.030199
0.0,18,9.03449
0.0,9,9.036624
1.0,44,9.047092
0.0,20,9.051861
0.0,329,9.132002
0.0,14,9.135334
0.0,8,9.137429
1.0,51,9.149704
0.0,46,9.160981
1.0,44,9.171677
1.0,43,9.182003
0.0,13,9.18507
1.0,43,9.195387
1.0,43,9.205665
0.0,30,9.212917
1.0,43,9.223245
0.0,29,9.230165
0.0,6,9.231614
1.0,44,9.242137
0.0,27,9.248587
1.0,44,9.259175
0.0,44,9.269604
0.0,6,9.27103
0.0,36,9.279604
0.0,33,9.287529
1.0,42,9.297592
0.0,6,9.299027
0.0,29,9.305985
0.0,21,9.310953
1.0,45,9.321762
1.0,43,9.332118
0.0,18,9.336427
0.0,8,9.338342
0.0,9,9.340501
1.0,46,9.351439
1.0,48,9.36318
1.0,45,9.374189
1.0,45,9.38497
0.0,8,9.386978
1.0,46,9.398215
1.0,43,9.408476
1.0,49,9.420228
1.0,44,9.430681
1.0,52,9.44308
1.0,46,9.454003
1.0,46,9.464958
0.0,4,9.46592
0.0,4,9.466892
0.0,25,9.472805
1.0,44,9.483375
0.0,26,9.489554
1.0,55,9.502625
0.0,9,9.504779
1.0,43,9.515128
1.0,41,9.525051
1.0,40,9.534524
1.0,57,9.548358
0.0,31,9.556278
1.0,42,9.566238
1.0,45,9.577211
0.0,21,9.582217
1.0,43,9.593293
