# {"t_start": 1641682622.708148, "env_id": "Office-v0"} 
r,l,t
0.0,15,0.005251
0.0,36,0.01703
0.0,31,0.026384
0.0,49,0.040781
0.0,26,0.048647
0.0,30,0.057474
0.0,17,0.062607
0.0,22,0.069157
0.0,45,0.082505
0.0,54,0.098475
0.0,139,0.139284
0.0,16,0.144171
1.0,60,0.162328
0.0,69,0.182622
0.0,39,0.194045
0.0,4,0.195235
1.0,139,0.235935
0.0,17,0.240947
0.0,136,0.280984
0.0,33,0.290674
0.0,35,0.301265
0.0,100,0.33082
0.0,60,0.348261
0.0,31,0.357298
0.0,9,0.359951
0.0,129,0.397589
0.0,49,0.411942
0.0,17,0.416914
0.0,28,0.425157
0.0,31,0.4342
0.0,140,0.475206
0.0,89,0.501252
1.0,27,0.50913
0.0,28,0.517289
0.0,85,0.542861
0.0,60,0.560425
0.0,46,0.573819
0.0,26,0.581414
0.0,54,0.597429
0.0,156,0.643264
1.0,72,0.664389
1.0,150,0.708623
0.0,165,0.756988
0.0,287,0.84048
0.0,792,1.073513
0.0,490,1.21827
1.0,88,1.244137
0.0,64,1.26289
0.0,32,1.272335
0.0,11,1.275628
1.0,234,1.34477
0.0,635,1.53279
0.0,32,1.542356
0.0,11,1.545637
0.0,104,1.576532
0.0,10,1.579569
0.0,26,1.587343
1.0,214,1.650451
0.0,211,1.712793
0.0,33,1.722558
1.0,24,1.729693
0.0,24,1.736756
1.0,162,1.784947
0.0,81,1.809074
0.0,14,1.813294
0.0,16,1.81804
0.0,20,1.823961
0.0,435,1.952602
0.0,32,1.96212
1.0,152,2.006941
0.0,109,2.039165
0.0,54,2.055097
1.0,48,2.069571
0.0,70,2.090268
0.0,76,2.112764
0.0,290,2.19842
0.0,12,2.201983
0.0,170,2.252215
0.0,8,2.254609
0.0,747,2.475982
1.0,27,2.48397
0.0,133,2.5234
0.0,56,2.539982
0.0,168,2.589639
0.0,14,2.593783
0.0,160,2.640978
1.0,151,2.685869
0.0,94,2.713858
0.0,7,2.715956
0.0,176,2.768057
0.0,22,2.774602
0.0,252,2.848917
1.0,18,2.854253
0.0,90,2.880827
0.0,205,2.941465
0.0,153,2.987214
1.0,11,2.990486
0.0,165,3.039222
0.0,24,3.046313
