# {"t_start": 1643037318.0534937, "env_id": "Office-v0"} 
r,l,t
0.0,35,0.011504
0.0,30,0.021239
0.0,56,0.037448
0.0,26,0.045157
0.0,6,0.047037
0.0,37,0.057832
0.0,25,0.065113
0.0,19,0.070668
0.0,47,0.084364
0.0,12,0.087906
0.0,34,0.097853
0.0,8,0.100197
1.0,68,0.120275
0.0,40,0.132227
0.0,27,0.140144
0.0,17,0.145174
0.0,125,0.187474
0.0,116,0.236429
0.0,21,0.242635
0.0,27,0.250597
1.0,90,0.277184
0.0,32,0.286654
0.0,137,0.327051
0.0,46,0.340573
1.0,122,0.377335
0.0,23,0.384098
0.0,258,0.461052
0.0,121,0.496866
1.0,79,0.520301
0.0,22,0.526772
0.0,77,0.549636
0.0,212,0.612185
1.0,143,0.655039
0.0,42,0.667391
0.0,38,0.678517
0.0,28,0.686738
1.0,88,0.712673
0.0,21,0.718848
0.0,24,0.725925
0.0,109,0.757976
1.0,59,0.77544
1.0,234,0.844365
0.0,84,0.869113
0.0,12,0.872675
0.0,64,0.891865
1.0,417,1.016834
0.0,180,1.070457
0.0,485,1.215319
0.0,40,1.227327
0.0,85,1.252528
1.0,443,1.384583
0.0,11,1.387878
1.0,133,1.42739
0.0,40,1.439302
1.0,503,1.589159
0.0,37,1.600267
0.0,8,1.602663
0.0,13,1.606553
0.0,29,1.615171
0.0,253,1.69022
1.0,16,1.694987
0.0,40,1.706838
1.0,154,1.752723
0.0,473,1.893797
1.0,55,1.910276
0.0,67,1.930186
0.0,38,1.941528
0.0,224,2.008381
1.0,35,2.01888
1.0,313,2.112106
0.0,197,2.170922
0.0,386,2.286401
1.0,35,2.296844
0.0,215,2.360896
0.0,70,2.381736
0.0,139,2.423709
1.0,82,2.448261
0.0,15,2.452762
1.0,198,2.512027
0.0,20,2.518028
1.0,46,2.531738
1.0,103,2.562594
0.0,217,2.627647
0.0,160,2.675646
1.0,62,2.694217
1.0,230,2.763068
0.0,29,2.771876
0.0,798,3.010407
1.0,52,3.027016
0.0,26,3.034888
1.0,453,3.169607
0.0,188,3.225671
1.0,30,3.234565
0.0,81,3.258512
1.0,194,3.316553
0.0,68,3.336649
1.0,14,3.340949
0.0,30,3.349858
0.0,124,3.386807
0.0,40,3.3987
1.0,11,3.402
0.0,44,3.41517
0.0,112,3.44845
0.0,1000,3.745931
1.0,11,3.749238
0.0,15,3.753744
0.0,78,3.776806
0.0,76,3.799362
1.0,11,3.80264
0.0,15,3.807104
0.0,41,3.819286
0.0,39,3.830908
1.0,13,3.834765
1.0,78,3.857797
0.0,97,3.886884
0.0,153,3.932889
1.0,15,3.937361
0.0,58,3.954633
0.0,10,3.957614
0.0,394,4.074722
1.0,11,4.078017
0.0,32,4.087549
1.0,72,4.10903
0.0,902,4.377956
1.0,11,4.381265
1.0,68,4.401526
1.0,140,4.443052
0.0,232,4.511806
0.0,2,4.512429
