episodes,steps,total reward
21,1000,0.0
32,2000,0.0
36,3000,0.0
40,4000,0.0
48,5000,0.0
59,6000,0.0
65,7000,0.0
69,8000,0.0
72,9000,0.0
77,10000,0.0
87,11000,0.0
98,12000,0.0
105,13000,0.0
112,14000,0.0
116,15000,0.0
123,16000,0.0
131,17000,0.0
137,18000,0.0
143,19000,1.0
146,20000,0.0
153,21000,0.0
161,22000,0.0
168,23000,0.0
172,24000,0.0
176,25000,0.0
180,26000,1.0
187,27000,1.0
193,28000,2.0
196,29000,0.0
201,30000,0.0
208,31000,2.0
218,32000,1.0
223,33000,1.0
237,34000,4.0
255,35000,7.0
280,36000,19.0
299,37000,11.0
327,38000,18.0
353,39000,21.0
379,40000,12.0
408,41000,20.0
436,42000,20.0
463,43000,18.0
493,44000,19.0
515,45000,12.0
543,46000,18.0
572,47000,20.0
596,48000,15.0
628,49000,18.0
656,50000,17.0
684,51000,17.0
710,52000,20.0
739,53000,20.0
766,54000,18.0
792,55000,20.0
825,56000,16.0
853,57000,17.0
880,58000,17.0
910,59000,19.0
940,60000,20.0
968,61000,19.0
994,62000,19.0
1020,63000,17.0
1047,64000,21.0
1080,65000,18.0
1106,66000,18.0
1135,67000,20.0
1161,68000,15.0
1187,69000,18.0
1218,70000,19.0
1252,71000,19.0
1278,72000,17.0
1305,73000,22.0
1334,74000,17.0
1362,75000,20.0
1390,76000,21.0
1420,77000,20.0
1447,78000,21.0
1473,79000,21.0
1504,80000,18.0
1529,81000,20.0
1556,82000,19.0
1582,83000,22.0
1612,84000,19.0
1642,85000,19.0
1668,86000,21.0
1698,87000,18.0
1724,88000,22.0
1754,89000,17.0
1782,90000,16.0
1810,91000,16.0
1838,92000,20.0
1864,93000,19.0
1895,94000,19.0
1924,95000,18.0
1952,96000,20.0
1982,97000,21.0
2011,98000,15.0
2039,99000,21.0
2069,100000,20.0
