episodes,steps,total reward
87,10000,0.0
145,20000,0.0
185,30000,0.0
240,40000,0.0
300,50000,0.0
349,60000,0.0
412,70000,0.0
463,80000,0.0
516,90000,0.0
563,100000,0.0
624,110000,0.0
682,120000,0.0
748,130000,0.0
796,140000,0.0
843,150000,0.0
907,160000,0.0
970,170000,0.0
1019,180000,0.0
1081,190000,0.0
1120,200000,0.0
1173,210000,0.0
1208,220000,0.0
1257,230000,0.0
1308,240000,0.0
1356,250000,0.0
1398,260000,0.0
1441,270000,0.0
1498,280000,0.0
1562,290000,0.0
1619,300000,0.0
1674,310000,0.0
1726,320000,0.0
1769,330000,0.0
1812,340000,0.0
1872,350000,0.0
1922,360000,0.0
1970,370000,0.0
2020,380000,0.0
2070,390000,0.0
2118,400000,0.0
2165,410000,0.0
2205,420000,0.0
2248,430000,0.0
2294,440000,0.0
2350,450000,0.0
2386,460000,0.0
2448,470000,0.0
2495,480000,0.0
2550,490000,0.0
2589,500000,0.0
2647,510000,0.0
2692,520000,0.0
2743,530000,0.0
2799,540000,0.0
2860,550000,0.0
2913,560000,0.0
2956,570000,0.0
3010,580000,0.0
3059,590000,0.0
3101,600000,0.0
3149,610000,0.0
3203,620000,0.0
3254,630000,0.0
3304,640000,0.0
3344,650000,0.0
3397,660000,0.0
3440,670000,0.0
3487,680000,0.0
3536,690000,0.0
3586,700000,0.0
3634,710000,0.0
3677,720000,0.0
3733,730000,0.0
3785,740000,0.0
3831,750000,0.0
3887,760000,0.0
3942,770000,0.0
3992,780000,0.0
4043,790000,0.0
4090,800000,0.0
4135,810000,0.0
4182,820000,0.0
4233,830000,0.0
4290,840000,0.0
4340,850000,0.0
4394,860000,0.0
4448,870000,0.0
4485,880000,0.0
4536,890000,0.0
4586,900000,0.0
4647,910000,0.0
4690,920000,0.0
4741,930000,0.0
4799,940000,0.0
4848,950000,0.0
4888,960000,0.0
4950,970000,0.0
5003,980000,0.0
5049,990000,0.0
5096,1000000,0.0
