episodes,steps,total reward
24,1000,0.0
34,2000,2.0
38,3000,1.0
43,4000,3.0
51,5000,2.0
65,6000,4.0
81,7000,5.0
91,8000,6.0
99,9000,3.0
110,10000,5.0
114,11000,2.0
126,12000,6.0
137,13000,6.0
145,14000,3.0
153,15000,4.0
170,16000,7.0
185,17000,10.0
191,18000,3.0
199,19000,4.0
214,20000,11.0
231,21000,8.0
235,22000,3.0
243,23000,6.0
252,24000,6.0
263,25000,5.0
279,26000,11.0
299,27000,14.0
311,28000,8.0
335,29000,17.0
339,30000,3.0
362,31000,12.0
371,32000,7.0
387,33000,8.0
415,34000,19.0
434,35000,12.0
459,36000,18.0
467,37000,6.0
493,38000,20.0
536,39000,30.0
577,40000,35.0
619,41000,31.0
662,42000,35.0
703,43000,35.0
751,44000,35.0
789,45000,30.0
831,46000,36.0
875,47000,33.0
918,48000,34.0
959,49000,32.0
1002,50000,35.0
1045,51000,35.0
1087,52000,31.0
1130,53000,37.0
1169,54000,36.0
1213,55000,35.0
1255,56000,32.0
1302,57000,34.0
1347,58000,33.0
1390,59000,32.0
1435,60000,33.0
1477,61000,33.0
1521,62000,33.0
1567,63000,33.0
1607,64000,36.0
1650,65000,35.0
1691,66000,32.0
1738,67000,33.0
1779,68000,33.0
1827,69000,37.0
1871,70000,34.0
1913,71000,32.0
1953,72000,32.0
1998,73000,31.0
2036,74000,36.0
2076,75000,32.0
2119,76000,29.0
2158,77000,36.0
2201,78000,36.0
2241,79000,35.0
2283,80000,36.0
2326,81000,36.0
2364,82000,33.0
2409,83000,36.0
2452,84000,33.0
2501,85000,33.0
2543,86000,36.0
2583,87000,36.0
2623,88000,32.0
2666,89000,32.0
2710,90000,34.0
2753,91000,35.0
2794,92000,33.0
2835,93000,35.0
2883,94000,35.0
2925,95000,34.0
2966,96000,34.0
3007,97000,32.0
3046,98000,36.0
3087,99000,36.0
3127,100000,35.0
