episodes,steps,total reward
26,1000,0.0
40,2000,0.0
48,3000,0.0
50,4000,0.0
54,5000,0.0
64,6000,0.0
69,7000,0.0
77,8000,0.0
83,9000,1.0
92,10000,0.0
97,11000,0.0
100,12000,0.0
104,13000,0.0
110,14000,1.0
118,15000,0.0
121,16000,0.0
131,17000,1.0
138,18000,1.0
142,19000,0.0
144,20000,0.0
146,21000,0.0
155,22000,0.0
160,23000,1.0
168,24000,2.0
178,25000,1.0
185,26000,3.0
189,27000,0.0
198,28000,2.0
204,29000,0.0
210,30000,3.0
219,31000,3.0
230,32000,5.0
243,33000,3.0
253,34000,4.0
274,35000,11.0
299,36000,14.0
328,37000,19.0
358,38000,17.0
390,39000,17.0
414,40000,18.0
441,41000,16.0
468,42000,18.0
499,43000,18.0
516,44000,8.0
543,45000,17.0
570,46000,20.0
599,47000,19.0
628,48000,17.0
659,49000,19.0
691,50000,17.0
718,51000,22.0
747,52000,19.0
776,53000,19.0
803,54000,22.0
830,55000,18.0
856,56000,19.0
885,57000,18.0
916,58000,17.0
944,59000,20.0
970,60000,18.0
999,61000,18.0
1028,62000,19.0
1058,63000,19.0
1086,64000,21.0
1115,65000,19.0
1142,66000,20.0
1170,67000,17.0
1197,68000,16.0
1224,69000,21.0
1251,70000,20.0
1278,71000,17.0
1305,72000,21.0
1329,73000,19.0
1360,74000,18.0
1387,75000,21.0
1413,76000,20.0
1441,77000,20.0
1472,78000,18.0
1499,79000,20.0
1528,80000,19.0
1556,81000,18.0
1587,82000,15.0
1613,83000,19.0
1642,84000,20.0
1668,85000,20.0
1695,86000,19.0
1725,87000,19.0
1752,88000,20.0
1780,89000,20.0
1810,90000,21.0
1839,91000,21.0
1868,92000,17.0
1898,93000,19.0
1924,94000,18.0
1950,95000,19.0
1980,96000,21.0
2009,97000,19.0
2039,98000,19.0
2067,99000,19.0
2094,100000,22.0
