episodes,steps,total reward
21,1000,0.0
30,2000,0.0
39,3000,0.0
45,4000,0.0
50,5000,0.0
61,6000,0.0
68,7000,0.0
76,8000,0.0
79,9000,0.0
85,10000,0.0
90,11000,0.0
98,12000,1.0
108,13000,0.0
113,14000,1.0
114,15000,0.0
118,16000,1.0
128,17000,0.0
131,18000,0.0
138,19000,1.0
144,20000,1.0
150,21000,1.0
154,22000,0.0
162,23000,2.0
173,24000,2.0
176,25000,1.0
181,26000,1.0
187,27000,1.0
195,28000,0.0
201,29000,2.0
212,30000,2.0
220,31000,2.0
229,32000,3.0
237,33000,4.0
256,34000,9.0
267,35000,6.0
271,36000,2.0
293,37000,14.0
321,38000,18.0
347,39000,17.0
375,40000,16.0
408,41000,19.0
436,42000,17.0
467,43000,19.0
492,44000,12.0
519,45000,21.0
544,46000,20.0
572,47000,22.0
599,48000,21.0
628,49000,19.0
659,50000,16.0
688,51000,19.0
718,52000,19.0
748,53000,19.0
779,54000,17.0
805,55000,17.0
834,56000,20.0
862,57000,20.0
893,58000,18.0
923,59000,19.0
950,60000,19.0
980,61000,18.0
1011,62000,18.0
1040,63000,16.0
1069,64000,21.0
1097,65000,19.0
1127,66000,17.0
1160,67000,16.0
1189,68000,17.0
1215,69000,21.0
1243,70000,18.0
1271,71000,20.0
1298,72000,18.0
1326,73000,21.0
1357,74000,21.0
1387,75000,20.0
1414,76000,20.0
1441,77000,18.0
1469,78000,20.0
1498,79000,20.0
1523,80000,20.0
1551,81000,19.0
1581,82000,19.0
1608,83000,21.0
1637,84000,20.0
1667,85000,19.0
1696,86000,17.0
1725,87000,19.0
1756,88000,16.0
1788,89000,19.0
1815,90000,18.0
1844,91000,18.0
1871,92000,21.0
1897,93000,21.0
1925,94000,20.0
1954,95000,17.0
1982,96000,21.0
2019,97000,13.0
2047,98000,17.0
2076,99000,20.0
2103,100000,17.0
