# {"t_start": 1641213934.1248326, "env_id": "Office-single-v0"} 
r,l,t
0.0,38,0.006679
0.0,21,0.010297
0.0,86,0.025409
0.0,10,0.026787
0.0,22,0.029859
0.0,14,0.031773
0.0,44,0.037733
0.0,27,0.041552
0.0,4,0.042119
0.0,39,0.047374
0.0,30,0.051472
0.0,9,0.052709
0.0,27,0.056339
0.0,58,0.064199
0.0,97,0.077878
0.0,25,0.081218
0.0,28,0.084997
0.0,150,0.10524
0.0,143,0.124458
0.0,84,0.13581
0.0,39,0.141007
0.0,163,0.163993
0.0,35,0.168849
0.0,80,0.179671
0.0,13,0.182063
0.0,86,0.194241
0.0,55,0.201652
0.0,76,0.212566
0.0,101,0.226219
0.0,64,0.234982
0.0,260,0.270417
0.0,82,0.28168
0.0,25,0.28505
0.0,131,0.302866
0.0,152,0.324266
0.0,139,0.343928
0.0,97,0.357082
0.0,10,0.358448
0.0,123,0.375121
0.0,231,0.406697
0.0,63,0.415394
0.0,145,0.436138
0.0,111,0.451488
0.0,809,0.563244
0.0,34,0.568041
0.0,255,0.604841
0.0,171,0.62843
0.0,764,0.73387
0.0,78,0.745799
0.0,36,0.750773
0.0,154,0.771907
0.0,28,0.775764
0.0,234,0.807901
0.0,61,0.816732
0.0,95,0.829708
0.0,135,0.848422
0.0,184,0.874668
0.0,38,0.879828
0.0,132,0.897786
0.0,91,0.910292
0.0,91,0.922778
0.0,236,0.95493
0.0,11,0.956467
0.0,83,0.967688
0.0,33,0.972252
0.0,113,0.987893
0.0,470,1.053292
0.0,202,1.080902
0.0,130,1.098642
0.0,140,1.11797
0.0,166,1.141379
0.0,61,1.149694
0.0,323,1.194328
0.0,119,1.210833
0.0,117,1.227009
0.0,336,1.273211
0.0,17,1.276037
0.0,188,1.30232
0.0,236,1.334503
0.0,16,1.336677
0.0,1000,1.474976
0.0,311,1.517321
0.0,309,1.560625
0.0,186,1.586296
0.0,16,1.58853
0.0,13,1.59035
0.0,72,1.600135
0.0,50,1.606995
0.0,27,1.610686
0.0,24,1.613965
0.0,109,1.628858
0.0,481,1.695415
0.0,38,1.700629
0.0,367,1.751661
0.0,28,1.755469
0.0,141,1.774721
0.0,129,1.792307
0.0,37,1.79739
0.0,71,1.807209
0.0,577,1.887462
0.0,254,1.922106
0.0,32,1.926439
0.0,107,1.94122
0.0,124,1.958171
0.0,495,2.027749
0.0,9,2.029008
0.0,157,2.050453
0.0,4,2.051041
0.0,113,2.066504
1.0,437,2.127596
0.0,29,2.131594
0.0,80,2.142488
0.0,278,2.180429
0.0,119,2.196686
0.0,200,2.2241
0.0,227,2.256532
0.0,28,2.260431
0.0,128,2.278239
0.0,67,2.28729
0.0,26,2.290859
0.0,63,2.299451
0.0,65,2.308401
0.0,99,2.321895
0.0,539,2.397114
0.0,93,2.409764
0.0,221,2.439782
0.0,171,2.463282
0.0,444,2.524743
0.0,235,2.55754
0.0,156,2.57889
0.0,240,2.61273
0.0,289,2.652687
0.0,255,2.690787
1.0,298,2.731426
0.0,45,2.737624
0.0,328,2.782796
0.0,182,2.808575
0.0,46,2.815526
0.0,59,2.823626
0.0,41,2.829217
0.0,30,2.833299
1.0,262,2.868912
0.0,102,2.882822
0.0,550,2.959821
0.0,147,2.979845
0.0,270,3.016569
0.0,132,3.034653
0.0,10,3.036067
0.0,181,3.060943
0.0,27,3.064745
0.0,15,3.06683
0.0,16,3.069051
0.0,290,3.112233
0.0,4,3.112822
0.0,73,3.122861
0.0,20,3.125613
0.0,12,3.127272
0.0,117,3.143362
0.0,23,3.146514
0.0,29,3.150513
0.0,117,3.166524
0.0,17,3.168875
0.0,247,3.202993
0.0,104,3.217458
0.0,18,3.219966
0.0,115,3.236332
0.0,169,3.259558
0.0,396,3.314109
0.0,383,3.368398
0.0,16,3.370652
0.0,426,3.429049
0.0,31,3.433304
0.0,174,3.457022
0.0,165,3.479755
0.0,37,3.484841
0.0,308,3.528867
0.0,186,3.554355
1.0,234,3.586422
0.0,75,3.596694
0.0,33,3.601207
0.0,91,3.613866
0.0,119,3.630386
0.0,18,3.633296
0.0,733,3.735077
0.0,285,3.775011
0.0,10,3.776514
0.0,298,3.820276
0.0,103,3.834306
0.0,15,3.83637
0.0,97,3.849601
0.0,85,3.86126
0.0,256,3.896447
0.0,60,3.904713
0.0,274,3.94373
0.0,344,3.990893
0.0,13,3.992669
0.0,85,4.004283
0.0,48,4.010933
0.0,95,4.023896
0.0,102,4.038096
0.0,664,4.132304
1.0,233,4.163995
0.0,142,4.183962
0.0,260,4.220394
0.0,81,4.231498
0.0,208,4.260108
0.0,243,4.293391
0.0,953,4.424936
1.0,133,4.443257
1.0,290,4.483205
0.0,16,4.485429
0.0,59,4.493649
0.0,45,4.499856
0.0,73,4.509859
0.0,152,4.530626
0.0,82,4.54194
0.0,74,4.552089
0.0,299,4.593487
0.0,61,4.601994
0.0,179,4.626688
1.0,126,4.644017
1.0,229,4.675591
0.0,19,4.678233
0.0,181,4.703069
0.0,11,4.7046
0.0,486,4.772254
0.0,288,4.811752
0.0,58,4.819733
0.0,26,4.823337
0.0,29,4.827316
0.0,11,4.828861
0.0,19,4.831485
0.0,24,4.834829
0.0,197,4.862108
0.0,57,4.870045
0.0,115,4.886081
0.0,66,4.895202
0.0,74,4.90547
0.0,275,4.943398
0.0,114,4.959215
0.0,102,4.973289
0.0,43,4.979222
0.0,50,4.986162
1.0,99,5.000114
0.0,400,5.056032
0.0,79,5.067054
0.0,486,5.134183
0.0,40,5.139888
0.0,4,5.140457
0.0,9,5.14182
0.0,24,5.145113
0.0,375,5.197514
0.0,296,5.2384
0.0,302,5.280361
0.0,8,5.281474
0.0,375,5.333556
0.0,50,5.340363
0.0,149,5.360839
0.0,252,5.395344
0.0,39,5.400663
0.0,270,5.437955
0.0,4,5.438549
1.0,110,5.453995
1.0,92,5.466559
0.0,38,5.471781
0.0,103,5.485991
1.0,176,5.509981
1.0,68,5.519351
0.0,26,5.522922
1.0,223,5.553721
0.0,228,5.585429
0.0,377,5.637797
0.0,84,5.649243
1.0,56,5.65692
0.0,30,5.66107
0.0,46,5.667312
0.0,22,5.670445
0.0,23,5.673602
0.0,225,5.704641
0.0,94,5.71774
0.0,10,5.719222
0.0,581,5.799382
0.0,30,5.803509
0.0,86,5.815203
1.0,350,5.863584
0.0,11,5.865134
1.0,51,5.872387
0.0,463,5.935709
1.0,71,5.945426
0.0,19,5.948055
0.0,56,5.95571
0.0,458,6.019395
1.0,59,6.027547
0.0,47,6.033975
1.0,245,6.067652
1.0,83,6.078977
1.0,188,6.104948
0.0,93,6.117782
1.0,55,6.125538
0.0,61,6.13408
1.0,61,6.142477
1.0,63,6.151434
0.0,230,6.183143
1.0,65,6.192071
0.0,78,6.202867
1.0,55,6.210596
0.0,38,6.215817
1.0,56,6.223904
1.0,52,6.231252
0.0,364,6.282263
0.0,17,6.284644
1.0,52,6.291791
0.0,6,6.292639
1.0,342,6.339659
0.0,8,6.340791
1.0,53,6.348094
0.0,26,6.351803
0.0,11,6.353349
0.0,32,6.357705
1.0,53,6.365023
1.0,56,6.372738
0.0,44,6.378894
1.0,57,6.386934
0.0,4,6.387516
1.0,59,6.395734
0.0,6,6.396584
1.0,54,6.404328
0.0,21,6.407224
0.0,35,6.412132
0.0,7,6.413103
0.0,37,6.418223
1.0,58,6.426606
0.0,9,6.427846
0.0,19,6.430491
1.0,61,6.438855
0.0,32,6.443293
1.0,56,6.451049
1.0,56,6.458816
1.0,56,6.46666
0.0,38,6.471963
0.0,21,6.474861
1.0,53,6.482169
0.0,19,6.484812
1.0,67,6.494009
0.0,32,6.498442
1.0,54,6.505959
0.0,33,6.510505
0.0,38,6.515759
0.0,11,6.517299
0.0,38,6.522744
0.0,255,6.558267
0.0,18,6.56078
1.0,52,6.568357
1.0,59,6.576488
0.0,49,6.583361
0.0,24,6.586691
1.0,56,6.594383
1.0,60,6.602838
0.0,21,6.605733
1.0,68,6.615061
1.0,56,6.622854
1.0,62,6.631414
1.0,53,6.63874
0.0,42,6.644524
1.0,60,6.652797
1.0,56,6.660793
0.0,8,6.6619
1.0,55,6.66954
1.0,54,6.677161
0.0,36,6.68213
0.0,17,6.684478
1.0,60,6.693157
1.0,54,6.700702
1.0,57,6.70857
1.0,55,6.716147
1.0,54,6.723611
1.0,57,6.73149
0.0,45,6.737632
1.0,64,6.746517
1.0,52,6.753698
1.0,54,6.761122
1.0,51,6.768212
1.0,53,6.775519
1.0,59,6.783607
0.0,27,6.787341
1.0,56,6.795015
0.0,13,6.796819
0.0,9,6.79834
0.0,34,6.803004
0.0,19,6.805685
0.0,32,6.810116
0.0,6,6.810968
1.0,55,6.81855
0.0,29,6.822683
1.0,51,6.829691
1.0,55,6.837492
0.0,11,6.838992
0.0,49,6.845911
1.0,62,6.854469
0.0,45,6.860656
1.0,53,6.86796
0.0,44,6.874026
0.0,13,6.875835
0.0,21,6.878743
1.0,99,6.892415
0.0,38,6.897671
1.0,52,6.904851
1.0,55,6.912451
1.0,57,6.920469
0.0,39,6.925908
1.0,56,6.933647
1.0,54,6.94132
1.0,54,6.948852
1.0,59,6.957371
0.0,10,6.958742
0.0,37,6.96388
0.0,20,6.966694
1.0,57,6.974557
1.0,55,6.982472
1.0,59,6.990668
1.0,54,6.998211
1.0,59,7.006346
1.0,57,7.014216
1.0,56,7.021955
1.0,54,7.02939
0.0,21,7.032335
0.0,11,7.033863
0.0,13,7.03567
1.0,59,7.043815
1.0,57,7.051711
0.0,32,7.056143
1.0,58,7.064217
1.0,59,7.072396
0.0,13,7.074193
0.0,48,7.081068
1.0,55,7.088723
0.0,18,7.091206
1.0,51,7.098446
0.0,34,7.103317
1.0,52,7.110603
1.0,64,7.119549
1.0,55,7.127177
1.0,51,7.134177
1.0,54,7.141621
1.0,60,7.149967
0.0,41,7.155611
1.0,53,7.162907
0.0,39,7.168278
1.0,65,7.177213
1.0,56,7.184993
0.0,10,7.186393
0.0,6,7.187237
0.0,21,7.190136
0.0,48,7.196735
1.0,55,7.204297
0.0,49,7.211158
1.0,52,7.218563
1.0,50,7.225513
0.0,18,7.228084
1.0,53,7.235439
1.0,54,7.243194
1.0,62,7.251867
0.0,19,7.254557
1.0,52,7.262
0.0,50,7.26891
1.0,52,7.276771
0.0,48,7.283378
0.0,9,7.284653
1.0,53,7.291951
1.0,59,7.300161
1.0,54,7.307653
1.0,57,7.31547
0.0,27,7.319215
1.0,54,7.326595
1.0,55,7.334258
1.0,57,7.342065
1.0,56,7.349771
1.0,54,7.357408
0.0,27,7.361111
0.0,44,7.367398
0.0,32,7.371817
1.0,52,7.379067
1.0,64,7.388132
1.0,53,7.395553
0.0,40,7.401342
0.0,12,7.402992
0.0,20,7.405775
1.0,65,7.415114
0.0,6,7.415948
1.0,54,7.423501
0.0,50,7.430368
0.0,8,7.431494
1.0,57,7.439396
0.0,33,7.443934
1.0,64,7.452789
1.0,55,7.460343
0.0,11,7.461909
1.0,55,7.469525
1.0,54,7.476914
1.0,57,7.484741
0.0,36,7.489747
1.0,64,7.498737
1.0,55,7.506422
1.0,55,7.514114
1.0,52,7.521291
1.0,65,7.530494
0.0,13,7.532379
0.0,34,7.537173
1.0,57,7.545004
1.0,57,7.552889
0.0,38,7.558123
1.0,61,7.566548
1.0,54,7.573974
0.0,29,7.578002
1.0,58,7.58595
1.0,59,7.594038
0.0,14,7.595972
1.0,58,7.604054
0.0,42,7.609866
1.0,52,7.617011
1.0,59,7.625097
1.0,61,7.633672
1.0,59,7.641854
0.0,11,7.643383
1.0,51,7.650415
0.0,22,7.653748
1.0,57,7.661595
1.0,53,7.668836
1.0,51,7.676061
1.0,53,7.683359
1.0,59,7.69146
0.0,11,7.693037
0.0,4,7.693614
1.0,52,7.700741
1.0,50,7.707592
1.0,60,7.715882
1.0,60,7.724107
1.0,54,7.731535
0.0,8,7.732656
1.0,54,7.740053
1.0,58,7.748078
0.0,9,7.749323
1.0,56,7.757062
1.0,53,7.764316
0.0,45,7.770504
1.0,61,7.779024
1.0,57,7.786915
0.0,36,7.791964
1.0,52,7.79928
0.0,41,7.805123
1.0,54,7.812676
1.0,51,7.819727
1.0,58,7.82779
0.0,42,7.833562
0.0,34,7.83825
1.0,56,7.845942
1.0,58,7.853879
1.0,59,7.861936
1.0,56,7.869705
0.0,37,7.874813
1.0,53,7.882177
1.0,52,7.889326
0.0,8,7.890453
1.0,55,7.898016
0.0,40,7.903571
1.0,58,7.911651
0.0,13,7.913428
0.0,8,7.91456
0.0,8,7.915679
0.0,29,7.919641
1.0,53,7.927119
0.0,13,7.929122
1.0,57,7.93715
1.0,54,7.944705
0.0,13,7.946555
1.0,54,7.95422
1.0,58,7.962257
1.0,53,7.969559
1.0,56,7.977317
1.0,62,7.98579
0.0,21,7.988689
1.0,50,7.995615
1.0,58,8.00359
1.0,62,8.012177
1.0,52,8.019431
1.0,59,8.027661
1.0,56,8.035358
1.0,54,8.042818
1.0,50,8.049933
1.0,53,8.057314
0.0,23,8.060611
1.0,52,8.067725
0.0,13,8.069649
1.0,54,8.077082
1.0,57,8.085218
1.0,58,8.093547
0.0,15,8.095628
1.0,60,8.103983
1.0,50,8.110856
1.0,57,8.118675
0.0,11,8.120211
0.0,14,8.122156
0.0,36,8.127129
0.0,21,8.130151
1.0,60,8.138344
0.0,34,8.143106
1.0,60,8.151304
0.0,17,8.15369
1.0,53,8.160951
0.0,19,8.163592
0.0,6,8.164424
0.0,36,8.169502
1.0,59,8.17762
1.0,52,8.184764
1.0,51,8.191963
1.0,56,8.199739
1.0,58,8.207799
0.0,22,8.211048
1.0,55,8.218793
0.0,11,8.22033
0.0,6,8.221178
1.0,53,8.228467
1.0,55,8.236223
1.0,52,8.243514
0.0,23,8.246716
1.0,57,8.254523
0.0,8,8.255644
1.0,56,8.263333
0.0,26,8.266905
1.0,57,8.274719
1.0,54,8.282263
1.0,57,8.290066
1.0,55,8.297569
1.0,54,8.304962
1.0,60,8.313202
0.0,25,8.316649
1.0,54,8.324126
1.0,54,8.331818
1.0,58,8.339921
1.0,54,8.347404
1.0,51,8.354734
0.0,8,8.35605
1.0,52,8.363339
1.0,54,8.370738
0.0,25,8.374184
1.0,58,8.382227
0.0,8,8.383348
1.0,54,8.390782
1.0,52,8.398001
1.0,57,8.405831
0.0,9,8.407094
0.0,6,8.407936
0.0,13,8.409747
1.0,59,8.417841
1.0,55,8.425525
1.0,63,8.434243
1.0,54,8.44164
1.0,52,8.448786
0.0,33,8.453363
1.0,53,8.460643
1.0,57,8.468681
0.0,6,8.469516
1.0,56,8.477308
0.0,45,8.483783
1.0,52,8.490864
1.0,56,8.498798
1.0,53,8.506352
1.0,60,8.514617
1.0,54,8.522049
0.0,28,8.525891
1.0,58,8.533894
0.0,24,8.53722
0.0,27,8.540958
0.0,21,8.543873
1.0,56,8.551731
0.0,9,8.553043
1.0,66,8.562175
0.0,32,8.566625
0.0,4,8.567194
1.0,53,8.574531
1.0,55,8.582229
1.0,64,8.591005
1.0,53,8.598273
0.0,8,8.599407
1.0,53,8.606955
1.0,54,8.614327
1.0,54,8.621849
0.0,13,8.623729
0.0,11,8.625348
0.0,13,8.627124
1.0,52,8.634238
0.0,27,8.637969
1.0,59,8.646318
0.0,32,8.650714
1.0,57,8.658639
0.0,17,8.661003
1.0,52,8.668163
0.0,21,8.671072
1.0,56,8.67874
0.0,34,8.683442
0.0,42,8.689229
0.0,6,8.690079
0.0,9,8.691331
0.0,34,8.696094
1.0,53,8.70336
1.0,53,8.710672
0.0,11,8.712205
0.0,11,8.713741
1.0,54,8.721202
1.0,60,8.729462
1.0,54,8.736984
1.0,54,8.744653
1.0,55,8.752178
1.0,54,8.759654
0.0,18,8.762242
0.0,36,8.767301
1.0,54,8.774851
0.0,40,8.780356
1.0,55,8.788151
1.0,60,8.796386
0.0,27,8.800116
1.0,52,8.80724
0.0,23,8.810515
1.0,58,8.818456
0.0,41,8.824153
0.0,6,8.825007
1.0,55,8.832567
1.0,57,8.840418
0.0,32,8.844835
0.0,11,8.846375
0.0,25,8.8499
1.0,59,8.858001
1.0,50,8.864857
0.0,6,8.86572
1.0,61,8.874095
1.0,53,8.881365
1.0,50,8.888497
0.0,50,8.895487
0.0,45,8.901689
1.0,55,8.909539
0.0,6,8.910374
1.0,54,8.917844
1.0,54,8.925356
1.0,57,8.933394
1.0,59,8.941512
1.0,54,8.948916
0.0,8,8.950039
1.0,56,8.957733
0.0,19,8.960465
1.0,56,8.968164
1.0,54,8.975596
1.0,58,8.98356
1.0,52,8.990726
1.0,55,8.998371
0.0,14,9.000275
0.0,15,9.002351
0.0,8,9.003472
0.0,40,9.008973
1.0,55,9.016548
0.0,21,9.019459
0.0,4,9.020035
1.0,54,9.027662
0.0,47,9.034327
1.0,56,9.042139
0.0,21,9.045036
1.0,60,9.053683
1.0,56,9.061675
1.0,60,9.069905
1.0,58,9.077972
0.0,19,9.080582
1.0,58,9.088528
0.0,17,9.090876
1.0,57,9.098701
1.0,56,9.106472
1.0,50,9.113442
0.0,46,9.119769
1.0,58,9.12774
0.0,46,9.13408
1.0,60,9.142311
1.0,52,9.149567
1.0,54,9.156982
0.0,29,9.161192
1.0,57,9.169043
1.0,51,9.176146
0.0,15,9.178394
1.0,60,9.186692
1.0,52,9.194008
1.0,57,9.20217
1.0,57,9.210127
1.0,54,9.217756
1.0,54,9.22558
0.0,6,9.226408
1.0,52,9.233569
1.0,62,9.242177
1.0,61,9.250573
0.0,42,9.256387
1.0,56,9.264158
1.0,56,9.271844
1.0,58,9.279809
0.0,13,9.281614
0.0,39,9.287033
1.0,57,9.294952
1.0,52,9.302336
0.0,10,9.303737
1.0,50,9.310713
1.0,56,9.318395
0.0,9,9.319665
1.0,53,9.326933
1.0,55,9.334833
1.0,51,9.342135
1.0,59,9.350242
0.0,11,9.351777
1.0,50,9.358644
0.0,8,9.359775
1.0,54,9.36717
1.0,58,9.375099
0.0,45,9.381449
1.0,63,9.39007
0.0,18,9.392559
0.0,18,9.39505
1.0,52,9.402197
1.0,58,9.410149
1.0,58,9.418192
1.0,52,9.425477
0.0,22,9.428514
1.0,56,9.436225
1.0,52,9.443586
1.0,52,9.45104
1.0,61,9.459696
1.0,55,9.467562
0.0,4,9.468125
1.0,64,9.476981
1.0,56,9.484928
1.0,53,9.492311
0.0,10,9.493727
1.0,54,9.501291
1.0,60,9.509594
0.0,13,9.511399
1.0,52,9.51855
0.0,8,9.519673
0.0,33,9.524226
1.0,59,9.532413
1.0,55,9.539985
1.0,53,9.547265
1.0,52,9.554413
0.0,9,9.555679
0.0,30,9.559824
1.0,58,9.568064
1.0,56,9.575824
0.0,48,9.582624
0.0,43,9.588536
1.0,56,9.5963
1.0,57,9.604539
0.0,44,9.610724
1.0,56,9.618412
1.0,51,9.625756
1.0,54,9.633233
1.0,54,9.640681
0.0,6,9.641638
1.0,53,9.648968
1.0,53,9.656243
1.0,55,9.663811
1.0,60,9.672113
0.0,11,9.673655
1.0,56,9.681463
0.0,11,9.682997
1.0,52,9.690145
0.0,9,9.691405
0.0,49,9.698135
0.0,21,9.701051
1.0,57,9.708874
1.0,56,9.71663
0.0,40,9.722332
0.0,4,9.722907
1.0,54,9.730621
0.0,26,9.734231
1.0,53,9.741596
1.0,56,9.749365
0.0,38,9.754975
1.0,60,9.763255
0.0,25,9.766724
1.0,62,9.775226
0.0,25,9.778685
1.0,55,9.786202
0.0,34,9.79089
1.0,59,9.799071
1.0,57,9.806902
1.0,51,9.814025
0.0,8,9.815142
0.0,42,9.820903
1.0,59,9.829248
1.0,59,9.837433
1.0,50,9.844324
1.0,53,9.851596
0.0,15,9.853688
1.0,55,9.861461
1.0,56,9.869309
1.0,63,9.87796
1.0,53,9.885579
