# {"t_start": 1641744097.6163232, "env_id": "Office-single-v0"} 
r,l,t
0.0,21,0.004937
0.0,21,0.009481
0.0,13,0.01223
0.0,43,0.019933
0.0,13,0.022273
0.0,16,0.025062
0.0,49,0.033931
0.0,23,0.038016
0.0,38,0.045286
0.0,13,0.047528
0.0,177,0.078103
0.0,28,0.082944
0.0,69,0.094988
0.0,80,0.108854
0.0,4,0.109602
0.0,30,0.114721
0.0,94,0.130909
0.0,51,0.139886
0.0,123,0.160878
0.0,4,0.161601
0.0,44,0.169104
0.0,77,0.182791
0.0,114,0.20306
0.0,113,0.222564
0.0,99,0.24007
0.0,182,0.270859
0.0,138,0.295376
0.0,91,0.310819
0.0,90,0.326097
0.0,93,0.34172
0.0,2,0.342081
0.0,105,0.360045
0.0,189,0.393881
0.0,560,0.489681
0.0,552,0.585737
0.0,33,0.591623
0.0,246,0.63453
0.0,171,0.664068
0.0,149,0.689497
0.0,1000,0.862904
0.0,48,0.871279
0.0,84,0.885726
0.0,21,0.889344
0.0,25,0.893825
0.0,378,0.960014
0.0,6,0.961047
0.0,42,0.968328
0.0,16,0.971075
0.0,38,0.977636
0.0,30,0.982696
0.0,76,0.995794
0.0,320,1.05091
0.0,41,1.058156
0.0,74,1.071781
0.0,20,1.075332
0.0,141,1.100306
0.0,153,1.126234
0.0,126,1.147738
0.0,62,1.158444
0.0,73,1.171084
0.0,114,1.190765
0.0,207,1.227126
0.0,107,1.246231
0.0,200,1.281488
0.0,295,1.332479
0.0,63,1.343238
0.0,6,1.344319
0.0,456,1.42292
0.0,316,1.47807
0.0,95,1.494218
0.0,1000,1.667226
0.0,487,1.751557
0.0,99,1.769332
0.0,311,1.825487
0.0,59,1.835771
0.0,28,1.840654
0.0,69,1.852445
0.0,591,1.955188
0.0,42,1.963358
0.0,180,1.994448
0.0,38,2.000988
0.0,65,2.012113
0.0,253,2.055509
0.0,120,2.076102
0.0,15,2.078669
0.0,15,2.081272
0.0,23,2.085392
0.0,222,2.124033
0.0,16,2.127069
0.0,51,2.135857
0.0,35,2.14204
0.0,812,2.282821
0.0,827,2.426034
0.0,56,2.436015
0.0,143,2.46145
0.0,35,2.467846
0.0,91,2.48362
0.0,118,2.503944
0.0,299,2.554915
0.0,76,2.567913
0.0,32,2.573327
0.0,834,2.716424
0.0,133,2.738756
0.0,234,2.778912
0.0,20,2.782645
0.0,48,2.791167
0.0,212,2.828718
0.0,124,2.849901
0.0,18,2.853047
0.0,71,2.86533
0.0,26,2.869796
0.0,262,2.914098
0.0,25,2.918307
0.0,16,2.921028
0.0,123,2.942131
0.0,9,2.943656
