# {"t_start": 1640875797.1488006, "env_id": "Office-single-v0"} 
r,l,t
0.0,13,0.001859
0.0,34,0.006038
0.0,33,0.009891
0.0,35,0.013726
0.0,28,0.016575
0.0,20,0.018617
0.0,54,0.024781
0.0,26,0.027434
0.0,34,0.030869
0.0,18,0.032681
0.0,25,0.035228
0.0,70,0.042451
0.0,80,0.050494
0.0,120,0.062654
0.0,82,0.070817
0.0,16,0.072438
0.0,48,0.077234
0.0,22,0.079442
0.0,145,0.093884
0.0,12,0.095109
0.0,23,0.097568
0.0,83,0.105853
0.0,144,0.121068
0.0,53,0.126355
0.0,110,0.137372
0.0,60,0.143372
0.0,186,0.16187
0.0,213,0.18307
0.0,92,0.192232
0.0,35,0.19578
0.0,10,0.196806
1.0,138,0.210679
0.0,23,0.21299
0.0,109,0.223883
0.0,136,0.237357
0.0,241,0.261426
0.0,54,0.266841
0.0,37,0.270581
0.0,52,0.275791
0.0,74,0.283288
1.0,524,0.336468
0.0,98,0.346261
0.0,39,0.350129
1.0,243,0.37436
0.0,16,0.375986
0.0,110,0.387
0.0,309,0.417827
0.0,22,0.420053
1.0,322,0.452105
0.0,41,0.456195
0.0,9,0.457129
0.0,19,0.459043
0.0,8,0.459868
0.0,27,0.462581
0.0,73,0.469875
0.0,32,0.473085
1.0,166,0.489637
0.0,81,0.497747
0.0,97,0.507349
1.0,162,0.523744
0.0,118,0.535719
0.0,17,0.537638
0.0,103,0.547898
0.0,29,0.550896
0.0,12,0.552124
0.0,59,0.558018
0.0,38,0.561857
1.0,148,0.576583
0.0,34,0.579995
0.0,2,0.580225
0.0,21,0.582331
0.0,118,0.594116
0.0,60,0.60049
0.0,164,0.616831
0.0,185,0.635382
1.0,162,0.651648
0.0,16,0.653287
0.0,32,0.656498
1.0,141,0.670629
1.0,183,0.688834
1.0,372,0.726489
1.0,102,0.736616
0.0,176,0.754125
0.0,38,0.757927
0.0,20,0.759941
0.0,84,0.76827
0.0,164,0.784787
1.0,192,0.80473
0.0,99,0.815203
0.0,7,0.816024
1.0,279,0.844116
1.0,114,0.855558
0.0,7,0.856292
0.0,26,0.858932
0.0,26,0.86156
0.0,195,0.880995
0.0,104,0.891454
0.0,5,0.891988
1.0,202,0.912058
0.0,44,0.916462
1.0,206,0.937068
1.0,218,0.958882
0.0,5,0.959415
0.0,142,0.973693
0.0,106,0.984229
1.0,218,1.006176
0.0,47,1.011219
1.0,184,1.029858
1.0,191,1.049624
0.0,33,1.052996
1.0,152,1.068121
1.0,125,1.080787
1.0,85,1.089287
1.0,189,1.10802
0.0,28,1.110892
0.0,21,1.113002
0.0,99,1.122945
1.0,188,1.141613
1.0,188,1.160358
0.0,140,1.174376
1.0,160,1.190312
1.0,303,1.2208
0.0,14,1.222253
1.0,134,1.235561
1.0,155,1.25091
0.0,47,1.255603
0.0,149,1.270504
1.0,169,1.287313
1.0,99,1.297159
1.0,134,1.310892
0.0,190,1.330002
0.0,140,1.343992
1.0,135,1.357451
1.0,129,1.370291
1.0,84,1.37864
0.0,151,1.39376
1.0,109,1.404555
0.0,26,1.40717
1.0,98,1.416899
1.0,160,1.432895
1.0,177,1.450518
1.0,109,1.461451
0.0,30,1.464436
1.0,127,1.477032
0.0,10,1.478063
1.0,106,1.488605
0.0,31,1.491714
0.0,62,1.497977
0.0,22,1.500186
1.0,122,1.512355
1.0,76,1.520126
1.0,36,1.523852
1.0,109,1.534923
1.0,100,1.545242
1.0,72,1.552391
0.0,16,1.554014
1.0,33,1.557367
1.0,74,1.564739
1.0,62,1.570989
0.0,25,1.573509
1.0,174,1.590812
1.0,98,1.600584
1.0,205,1.621017
0.0,36,1.624631
1.0,54,1.630023
1.0,83,1.63827
1.0,63,1.644546
1.0,40,1.648658
0.0,5,1.649218
0.0,22,1.651449
1.0,161,1.667502
1.0,120,1.679458
0.0,74,1.68691
1.0,36,1.690536
1.0,59,1.696436
0.0,53,1.701705
0.0,18,1.703525
1.0,37,1.707237
1.0,150,1.722293
0.0,35,1.725825
1.0,34,1.729229
1.0,63,1.73554
1.0,31,1.738653
1.0,55,1.74413
0.0,19,1.746058
0.0,72,1.753269
0.0,34,1.756681
1.0,38,1.760579
1.0,76,1.768136
1.0,36,1.771744
0.0,10,1.772768
0.0,12,1.773994
1.0,75,1.781518
1.0,82,1.789673
0.0,17,1.791435
1.0,33,1.794769
1.0,34,1.79828
1.0,131,1.812227
1.0,38,1.81624
1.0,35,1.819744
1.0,35,1.823237
0.0,21,1.825356
1.0,81,1.833437
0.0,8,1.834265
0.0,2,1.834493
1.0,27,1.837311
0.0,14,1.838722
1.0,47,1.843431
1.0,29,1.846341
1.0,152,1.861415
1.0,30,1.864415
0.0,10,1.865451
1.0,49,1.87035
1.0,53,1.875701
1.0,56,1.88133
0.0,54,1.886725
1.0,32,1.889933
1.0,26,1.89254
1.0,28,1.895393
0.0,15,1.896911
1.0,26,1.899523
1.0,48,1.904321
0.0,17,1.906044
0.0,7,1.906772
1.0,66,1.913388
1.0,25,1.915891
0.0,11,1.917018
1.0,48,1.921807
1.0,32,1.925069
1.0,27,1.927788
1.0,57,1.933456
1.0,26,1.936075
0.0,19,1.937989
1.0,53,1.943278
1.0,32,1.946489
1.0,23,1.948883
0.0,24,1.951329
1.0,24,1.953783
1.0,30,1.95678
1.0,29,1.959688
1.0,25,1.962209
1.0,25,1.964718
1.0,27,1.96742
1.0,27,1.970132
1.0,25,1.972648
1.0,139,1.986584
1.0,23,1.988897
0.0,17,1.990615
1.0,26,1.993229
0.0,17,1.994942
1.0,27,1.997642
1.0,27,2.000345
1.0,23,2.002663
1.0,28,2.005501
1.0,25,2.008015
1.0,29,2.010925
0.0,22,2.013375
1.0,24,2.015832
0.0,115,2.028199
0.0,6,2.028833
0.0,17,2.03058
1.0,23,2.032914
0.0,6,2.03358
1.0,23,2.035899
1.0,29,2.039132
0.0,19,2.0412
1.0,28,2.044358
1.0,28,2.047518
1.0,23,2.049894
1.0,26,2.052503
1.0,27,2.055281
1.0,35,2.058829
1.0,29,2.061855
1.0,29,2.064763
1.0,25,2.067309
1.0,25,2.069841
1.0,30,2.072844
0.0,4,2.073284
1.0,25,2.0758
1.0,33,2.079112
1.0,23,2.081428
1.0,25,2.083973
1.0,25,2.0865
1.0,33,2.089818
1.0,23,2.092142
1.0,25,2.094673
1.0,25,2.097197
1.0,25,2.099826
0.0,4,2.100258
1.0,32,2.103528
1.0,30,2.10657
1.0,33,2.109874
1.0,30,2.112881
1.0,26,2.115502
1.0,27,2.118258
0.0,4,2.118692
1.0,23,2.121011
1.0,26,2.123616
0.0,15,2.12514
1.0,25,2.127665
1.0,25,2.130184
1.0,27,2.132905
1.0,30,2.135916
1.0,23,2.138348
1.0,24,2.140762
1.0,31,2.143875
1.0,27,2.146596
1.0,23,2.148914
1.0,26,2.15153
1.0,25,2.154051
1.0,27,2.156763
1.0,24,2.159174
1.0,25,2.161696
1.0,25,2.164204
1.0,25,2.166857
1.0,23,2.169181
1.0,25,2.171692
0.0,19,2.173639
1.0,23,2.176049
1.0,25,2.178561
1.0,25,2.181075
0.0,6,2.181707
1.0,25,2.184213
1.0,32,2.187413
1.0,30,2.190401
1.0,29,2.193303
1.0,31,2.196406
1.0,23,2.198733
1.0,23,2.201053
1.0,27,2.203761
1.0,27,2.20648
1.0,25,2.208992
1.0,25,2.2115
1.0,23,2.213899
0.0,6,2.214529
1.0,27,2.217238
0.0,23,2.219539
1.0,25,2.222048
1.0,27,2.224745
1.0,27,2.227454
1.0,25,2.230014
0.0,21,2.232139
1.0,27,2.234831
1.0,25,2.237345
1.0,25,2.239855
1.0,24,2.242267
1.0,25,2.244783
1.0,26,2.247396
1.0,25,2.249906
1.0,23,2.252325
1.0,28,2.25513
1.0,30,2.258131
1.0,23,2.260446
1.0,23,2.262848
0.0,16,2.264512
1.0,23,2.26683
1.0,23,2.269153
0.0,10,2.270175
1.0,33,2.273477
1.0,23,2.275796
0.0,18,2.277614
1.0,25,2.280218
1.0,32,2.283448
1.0,25,2.285995
1.0,28,2.288913
1.0,27,2.291623
1.0,23,2.293943
0.0,17,2.295667
1.0,28,2.298491
0.0,8,2.299525
0.0,6,2.300242
1.0,23,2.302609
1.0,24,2.305091
1.0,25,2.307598
1.0,26,2.310309
0.0,16,2.311959
1.0,27,2.314679
1.0,25,2.317405
1.0,31,2.320498
0.0,4,2.320928
1.0,28,2.323732
1.0,32,2.327065
0.0,20,2.329177
1.0,33,2.332476
1.0,30,2.335468
1.0,25,2.337981
1.0,29,2.340875
0.0,8,2.341746
0.0,6,2.342375
1.0,23,2.344688
1.0,28,2.347469
0.0,8,2.348297
1.0,25,2.350805
1.0,23,2.35311
0.0,16,2.354729
1.0,52,2.359902
1.0,25,2.362413
0.0,16,2.364129
0.0,14,2.365572
1.0,26,2.368184
1.0,31,2.371296
1.0,33,2.37464
1.0,24,2.377048
1.0,26,2.379651
1.0,27,2.382356
1.0,26,2.384961
1.0,26,2.387565
1.0,25,2.390078
1.0,25,2.392593
1.0,29,2.395493
1.0,24,2.397936
1.0,27,2.40101
1.0,33,2.404461
1.0,26,2.407161
1.0,26,2.409758
0.0,12,2.410984
1.0,25,2.413497
1.0,23,2.415803
1.0,27,2.418504
0.0,8,2.419332
0.0,17,2.421056
1.0,204,2.441522
1.0,26,2.444133
0.0,16,2.445752
1.0,28,2.448553
1.0,26,2.451164
1.0,31,2.454311
1.0,24,2.456736
1.0,24,2.45915
0.0,20,2.461169
0.0,15,2.462684
1.0,25,2.465204
0.0,15,2.466726
1.0,28,2.469537
1.0,23,2.471854
0.0,4,2.472282
0.0,36,2.475875
0.0,18,2.477816
0.0,17,2.479539
1.0,25,2.482061
1.0,25,2.484581
1.0,24,2.487009
1.0,27,2.489726
0.0,13,2.491045
1.0,27,2.493757
1.0,23,2.496082
1.0,24,2.498498
1.0,26,2.501121
0.0,13,2.502449
1.0,28,2.505255
1.0,27,2.507957
1.0,24,2.510422
1.0,25,2.512932
0.0,4,2.513366
1.0,25,2.515979
0.0,6,2.516604
1.0,27,2.519307
1.0,29,2.522501
1.0,23,2.524826
0.0,14,2.526256
1.0,23,2.528581
1.0,24,2.531003
1.0,23,2.533333
0.0,12,2.534564
1.0,30,2.537735
1.0,25,2.540253
0.0,4,2.540682
1.0,23,2.54301
1.0,27,2.545731
1.0,26,2.548337
1.0,25,2.550925
1.0,27,2.553751
1.0,26,2.556361
1.0,27,2.559092
1.0,31,2.562213
1.0,29,2.565166
1.0,25,2.567686
1.0,25,2.570201
1.0,23,2.572523
1.0,29,2.575433
1.0,41,2.579531
1.0,25,2.582053
1.0,28,2.584856
1.0,24,2.587272
1.0,25,2.589791
1.0,31,2.592992
1.0,27,2.595702
1.0,27,2.598425
1.0,23,2.600766
0.0,19,2.602685
0.0,17,2.604405
1.0,23,2.606723
1.0,29,2.609619
0.0,15,2.611131
1.0,25,2.613653
0.0,19,2.615576
1.0,31,2.618684
1.0,26,2.62133
0.0,12,2.622555
1.0,26,2.625161
1.0,25,2.627676
1.0,38,2.631579
1.0,25,2.634099
1.0,25,2.636613
1.0,23,2.638941
1.0,29,2.64186
0.0,12,2.643085
1.0,29,2.645989
1.0,24,2.648405
1.0,25,2.650937
1.0,25,2.653463
1.0,23,2.655784
1.0,24,2.658203
1.0,29,2.661103
1.0,23,2.663421
0.0,19,2.66534
1.0,29,2.668344
1.0,29,2.671249
1.0,28,2.674043
0.0,21,2.676157
1.0,27,2.678895
1.0,28,2.681698
1.0,30,2.684691
1.0,23,2.687013
1.0,27,2.689725
1.0,30,2.69272
1.0,23,2.695035
1.0,25,2.697549
0.0,18,2.699355
1.0,27,2.702082
1.0,24,2.704576
1.0,27,2.707326
1.0,27,2.710081
1.0,25,2.712579
0.0,16,2.714195
1.0,27,2.716901
1.0,23,2.719224
1.0,25,2.721747
1.0,23,2.724058
1.0,23,2.726372
1.0,29,2.729277
0.0,22,2.731481
0.0,17,2.733232
1.0,25,2.735744
1.0,40,2.739728
1.0,23,2.742086
1.0,26,2.744789
0.0,4,2.74522
1.0,27,2.747922
0.0,7,2.748645
1.0,25,2.75116
1.0,24,2.753606
1.0,25,2.756125
1.0,27,2.758832
1.0,24,2.761244
1.0,29,2.764148
1.0,23,2.766484
0.0,6,2.767113
0.0,18,2.768916
1.0,27,2.77162
1.0,110,2.782891
1.0,25,2.785404
1.0,28,2.788215
1.0,24,2.790764
1.0,23,2.793093
1.0,23,2.795412
1.0,25,2.797933
1.0,29,2.801136
0.0,12,2.80237
1.0,23,2.804688
1.0,23,2.807007
1.0,23,2.809328
0.0,20,2.811331
1.0,25,2.81384
1.0,33,2.817356
1.0,26,2.820083
1.0,27,2.822811
1.0,25,2.825331
1.0,23,2.827649
1.0,26,2.830261
1.0,23,2.832581
1.0,28,2.835384
1.0,23,2.837713
1.0,32,2.840913
1.0,27,2.843627
1.0,27,2.846359
1.0,29,2.849273
1.0,29,2.852377
1.0,23,2.855128
1.0,23,2.857612
1.0,25,2.86019
1.0,27,2.862998
1.0,27,2.865772
1.0,23,2.86809
1.0,26,2.870758
1.0,28,2.873631
1.0,27,2.876345
1.0,24,2.878815
1.0,24,2.881243
1.0,30,2.884239
1.0,25,2.886826
1.0,28,2.889643
1.0,25,2.892165
1.0,25,2.89479
1.0,24,2.897248
0.0,16,2.898869
1.0,23,2.901231
0.0,22,2.903449
0.0,18,2.905273
1.0,24,2.907686
0.0,6,2.908318
1.0,26,2.910922
1.0,23,2.913232
1.0,23,2.915546
1.0,25,2.918059
1.0,23,2.920378
0.0,4,2.920805
1.0,23,2.923122
1.0,25,2.925637
1.0,23,2.927947
1.0,30,2.930942
1.0,30,2.934058
1.0,24,2.936469
1.0,25,2.938985
1.0,27,2.941702
0.0,14,2.943125
1.0,27,2.94583
1.0,29,2.948741
0.0,17,2.950451
1.0,33,2.953756
1.0,23,2.956071
1.0,27,2.95882
1.0,23,2.961134
0.0,14,2.962556
1.0,24,2.964962
1.0,25,2.967474
1.0,23,2.969899
0.0,14,2.971323
1.0,25,2.973836
1.0,30,2.976841
1.0,23,2.979156
1.0,25,2.981674
0.0,8,2.9825
1.0,23,2.984811
1.0,33,2.98811
0.0,19,2.990036
1.0,23,2.992357
1.0,24,2.994767
1.0,23,2.997088
1.0,23,2.999399
1.0,23,3.001851
1.0,25,3.004368
1.0,32,3.007707
1.0,23,3.010389
1.0,29,3.013329
0.0,4,3.013759
1.0,58,3.019606
1.0,29,3.022853
1.0,28,3.025651
0.0,4,3.026081
1.0,25,3.028582
0.0,6,3.029246
1.0,25,3.032049
1.0,23,3.034401
1.0,27,3.037304
1.0,25,3.039808
0.0,19,3.041857
1.0,27,3.044564
1.0,27,3.047626
1.0,23,3.05008
1.0,27,3.052792
0.0,18,3.054677
1.0,24,3.057153
1.0,25,3.059718
1.0,28,3.062558
1.0,37,3.066266
1.0,26,3.069125
1.0,23,3.071546
1.0,28,3.074473
0.0,13,3.07583
1.0,27,3.078572
1.0,29,3.081449
0.0,6,3.082077
0.0,19,3.084088
1.0,24,3.086568
1.0,27,3.089277
1.0,25,3.091777
0.0,16,3.093428
1.0,23,3.0958
1.0,25,3.098299
1.0,28,3.101088
0.0,19,3.102993
1.0,26,3.105587
1.0,25,3.108087
1.0,25,3.1106
1.0,25,3.113113
0.0,18,3.114922
1.0,27,3.117624
1.0,31,3.120823
1.0,31,3.123949
1.0,27,3.12669
1.0,24,3.129095
1.0,29,3.131985
1.0,28,3.134818
1.0,25,3.137328
1.0,34,3.140698
1.0,23,3.142998
1.0,23,3.145305
1.0,27,3.148008
1.0,23,3.150318
1.0,24,3.152705
1.0,24,3.155102
1.0,23,3.157411
1.0,23,3.159825
0.0,17,3.161555
1.0,23,3.163869
0.0,17,3.165585
1.0,25,3.168092
0.0,9,3.169011
1.0,25,3.171517
1.0,27,3.174214
1.0,25,3.176714
1.0,28,3.179509
0.0,8,3.180327
1.0,25,3.182868
0.0,7,3.18359
1.0,28,3.186385
1.0,29,3.189427
1.0,24,3.191828
1.0,25,3.194342
0.0,12,3.195566
1.0,25,3.198205
1.0,32,3.201392
1.0,25,3.203896
0.0,8,3.204721
1.0,26,3.207302
1.0,30,3.210295
1.0,27,3.213001
1.0,27,3.215702
1.0,29,3.218596
1.0,27,3.221296
1.0,31,3.224386
1.0,25,3.226883
1.0,25,3.229392
0.0,21,3.231489
1.0,24,3.233887
0.0,21,3.236066
1.0,23,3.238401
0.0,16,3.240017
1.0,23,3.242326
1.0,23,3.244631
1.0,30,3.247621
1.0,27,3.250326
1.0,23,3.252631
1.0,23,3.255272
1.0,27,3.257968
1.0,26,3.260567
0.0,6,3.261195
1.0,30,3.26418
1.0,27,3.266883
1.0,27,3.269591
1.0,29,3.272897
0.0,16,3.274548
1.0,26,3.277217
0.0,14,3.278632
1.0,27,3.281399
0.0,13,3.282713
0.0,6,3.283339
1.0,30,3.286384
1.0,26,3.2891
1.0,33,3.292426
0.0,12,3.293688
1.0,27,3.29642
1.0,27,3.299178
0.0,14,3.300792
1.0,31,3.304013
0.0,21,3.306247
1.0,29,3.309203
1.0,31,3.312382
0.0,8,3.313236
1.0,23,3.315532
1.0,29,3.31855
1.0,23,3.320955
1.0,31,3.32412
1.0,23,3.326476
1.0,27,3.329247
1.0,33,3.332556
1.0,25,3.33513
1.0,23,3.337512
1.0,23,3.339849
1.0,25,3.34242
1.0,25,3.344929
1.0,23,3.347305
1.0,23,3.349724
0.0,18,3.351575
1.0,25,3.354179
1.0,25,3.356676
1.0,27,3.359447
0.0,8,3.360277
0.0,16,3.361965
1.0,156,3.377669
0.0,12,3.379176
1.0,27,3.381957
1.0,30,3.385004
1.0,23,3.387418
1.0,26,3.390022
1.0,27,3.392731
1.0,25,3.395227
1.0,25,3.397742
1.0,27,3.400457
1.0,25,3.402968
1.0,25,3.405522
1.0,25,3.408032
1.0,26,3.410637
1.0,27,3.413353
1.0,24,3.415753
1.0,25,3.418272
1.0,23,3.420583
1.0,27,3.423397
1.0,29,3.426302
1.0,27,3.429
1.0,23,3.43132
1.0,33,3.434631
0.0,19,3.436554
1.0,28,3.439368
0.0,21,3.441482
1.0,23,3.443795
1.0,27,3.446507
0.0,20,3.448508
1.0,26,3.451164
1.0,27,3.453877
1.0,28,3.456684
1.0,24,3.459097
1.0,25,3.461692
0.0,16,3.463307
1.0,29,3.466201
1.0,23,3.468503
1.0,23,3.470821
1.0,29,3.473729
1.0,26,3.476328
0.0,19,3.478237
1.0,29,3.481131
0.0,25,3.483627
1.0,23,3.485944
1.0,29,3.488841
1.0,31,3.49194
1.0,26,3.494545
1.0,24,3.496952
1.0,27,3.499774
1.0,23,3.502088
0.0,19,3.504002
1.0,23,3.506319
1.0,29,3.509229
1.0,23,3.511551
0.0,14,3.51297
1.0,26,3.515581
1.0,24,3.518042
1.0,30,3.521312
0.0,21,3.523447
1.0,27,3.526192
1.0,31,3.529361
1.0,29,3.532334
1.0,26,3.534967
1.0,25,3.537794
1.0,26,3.540402
1.0,30,3.543425
1.0,26,3.54607
1.0,32,3.549276
1.0,29,3.552173
1.0,24,3.554585
1.0,25,3.557099
1.0,27,3.559828
1.0,28,3.562635
1.0,29,3.565537
1.0,26,3.568137
1.0,25,3.570652
1.0,25,3.573212
1.0,25,3.575825
1.0,23,3.578151
1.0,25,3.58066
1.0,29,3.583556
1.0,26,3.58616
1.0,38,3.589937
1.0,23,3.592259
1.0,25,3.594766
1.0,23,3.597079
0.0,6,3.597707
1.0,25,3.60021
1.0,27,3.603304
1.0,23,3.605742
1.0,27,3.608475
1.0,25,3.611015
1.0,25,3.61364
1.0,26,3.616246
1.0,27,3.618945
1.0,29,3.62185
1.0,30,3.624845
1.0,29,3.627782
1.0,23,3.630137
1.0,26,3.632741
1.0,26,3.635349
1.0,25,3.637852
1.0,24,3.64026
1.0,25,3.642772
1.0,25,3.645286
1.0,23,3.647898
0.0,19,3.649855
1.0,26,3.652557
1.0,25,3.655063
1.0,26,3.657665
1.0,26,3.660267
1.0,23,3.662647
0.0,6,3.66346
0.0,19,3.665377
0.0,12,3.666596
1.0,26,3.669203
0.0,20,3.671204
1.0,25,3.673716
1.0,25,3.676221
0.0,8,3.677046
1.0,23,3.679352
1.0,27,3.682056
1.0,27,3.684759
1.0,25,3.687315
0.0,4,3.687745
1.0,26,3.690447
1.0,30,3.693445
1.0,25,3.69595
1.0,25,3.698465
1.0,35,3.701945
1.0,25,3.70446
1.0,23,3.706768
1.0,25,3.709277
1.0,23,3.711825
1.0,27,3.714534
1.0,23,3.716855
1.0,25,3.719376
0.0,14,3.720793
1.0,25,3.723302
1.0,28,3.726229
1.0,24,3.728945
1.0,31,3.732042
1.0,27,3.734749
0.0,24,3.73716
1.0,29,3.740059
1.0,23,3.742419
1.0,26,3.745034
1.0,26,3.747632
1.0,25,3.750147
1.0,28,3.75295
1.0,26,3.755559
1.0,23,3.757874
0.0,6,3.758503
1.0,26,3.761107
1.0,25,3.763727
1.0,28,3.766524
1.0,36,3.77011
1.0,26,3.772718
1.0,25,3.775274
1.0,23,3.777587
1.0,23,3.779907
1.0,25,3.782418
1.0,25,3.784929
1.0,23,3.787242
1.0,25,3.789758
1.0,25,3.792319
1.0,32,3.795519
