episodes,steps,total reward
30,1000,30.0
64,2000,34.0
225,3000,161.0
806,4000,582.0
1691,5000,885.0
2353,6000,662.0
3220,7000,867.0
4055,8000,835.0
4936,9000,880.0
5782,10000,847.0
6629,11000,847.0
7488,12000,859.0
8371,13000,883.0
9270,14000,899.0
10156,15000,886.0
11064,16000,908.0
11954,17000,890.0
12836,18000,882.0
13742,19000,906.0
14624,20000,882.0
15431,21000,806.0
16341,22000,911.0
17209,23000,868.0
18063,24000,854.0
18940,25000,877.0
19798,26000,858.0
20686,27000,888.0
21561,28000,875.0
22428,29000,867.0
23298,30000,870.0
24184,31000,886.0
25057,32000,873.0
25922,33000,865.0
26789,34000,867.0
27666,35000,877.0
28560,36000,894.0
29445,37000,885.0
30321,38000,876.0
31196,39000,875.0
32077,40000,881.0
32968,41000,891.0
33831,42000,863.0
34707,43000,876.0
35591,44000,884.0
36461,45000,870.0
37340,46000,879.0
38206,47000,866.0
39064,48000,858.0
39953,49000,889.0
40839,50000,886.0
41706,51000,866.0
42587,52000,881.0
43464,53000,877.0
44363,54000,900.0
45262,55000,899.0
46131,56000,869.0
47001,57000,870.0
47897,58000,896.0
48777,59000,879.0
49654,60000,878.0
50492,61000,838.0
51372,62000,880.0
52251,63000,879.0
53105,64000,853.0
53982,65000,878.0
54877,66000,895.0
55753,67000,876.0
56615,68000,862.0
57486,69000,870.0
58366,70000,881.0
59248,71000,882.0
60127,72000,879.0
61008,73000,881.0
61888,74000,880.0
62781,75000,893.0
63681,76000,900.0
64556,77000,875.0
65443,78000,887.0
66299,79000,856.0
67191,80000,892.0
68062,81000,871.0
68950,82000,888.0
69822,83000,872.0
70708,84000,886.0
71571,85000,863.0
72462,86000,891.0
73357,87000,895.0
74229,88000,872.0
75098,89000,869.0
75938,90000,840.0
76845,91000,906.0
77738,92000,894.0
78606,93000,868.0
79498,94000,892.0
80375,95000,877.0
81256,96000,881.0
82143,97000,887.0
83017,98000,874.0
83880,99000,862.0
84773,100000,893.0
