# {"t_start": 1641708997.92927, "env_id": "Office-single-v0"} 
r,l,t
0.0,4,0.000613
1.0,41,0.003818
1.0,51,0.007747
1.0,20,0.009185
1.0,36,0.01168
0.0,8,0.012275
1.0,29,0.014179
1.0,33,0.016338
1.0,53,0.019814
1.0,56,0.023418
0.0,24,0.024986
0.0,96,0.031083
0.0,15,0.032049
1.0,61,0.035866
1.0,107,0.042526
1.0,53,0.045856
0.0,16,0.046885
1.0,88,0.052393
1.0,21,0.053734
1.0,70,0.058156
0.0,47,0.061171
0.0,115,0.068626
0.0,49,0.07168
1.0,39,0.074189
0.0,71,0.078717
1.0,20,0.07998
0.0,68,0.084445
1.0,159,0.095122
1.0,8,0.095656
1.0,98,0.102074
1.0,31,0.104075
0.0,31,0.106161
1.0,16,0.107242
1.0,32,0.109337
1.0,226,0.1237
1.0,33,0.125804
0.0,76,0.130765
0.0,136,0.139465
0.0,2,0.139623
1.0,15,0.140617
0.0,141,0.149789
1.0,32,0.151827
0.0,56,0.155338
0.0,198,0.168164
0.0,664,0.210404
1.0,41,0.213062
1.0,59,0.216866
1.0,7,0.217376
1.0,19,0.218553
1.0,4,0.218841
0.0,70,0.223366
0.0,304,0.242387
0.0,385,0.266705
1.0,45,0.269525
0.0,120,0.276945
1.0,8,0.277462
0.0,302,0.296587
1.0,22,0.298039
0.0,27,0.299692
1.0,4,0.299966
0.0,171,0.310429
1.0,32,0.312482
1.0,12,0.313286
1.0,9,0.313908
0.0,422,0.34056
1.0,28,0.342319
1.0,6,0.342722
1.0,9,0.343302
0.0,596,0.381108
0.0,9,0.3817
0.0,31,0.383706
1.0,326,0.404566
0.0,201,0.417541
1.0,7,0.418011
1.0,4,0.418288
1.0,11,0.419
1.0,9,0.419578
1.0,4,0.419852
1.0,4,0.420127
0.0,43,0.422894
1.0,6,0.423295
1.0,4,0.42357
1.0,11,0.424276
1.0,12,0.425117
1.0,4,0.425392
1.0,4,0.425668
1.0,4,0.425942
1.0,4,0.426251
1.0,6,0.426787
1.0,4,0.427078
1.0,6,0.427508
0.0,55,0.431034
1.0,8,0.431592
1.0,6,0.43199
1.0,7,0.432448
1.0,4,0.432777
1.0,4,0.433053
1.0,10,0.433688
1.0,4,0.433964
1.0,4,0.434242
1.0,6,0.434639
1.0,4,0.434913
