episodes,steps,total reward
21,1000,1.0
31,2000,2.0
39,3000,1.0
53,4000,3.0
63,5000,3.0
74,6000,3.0
82,7000,0.0
91,8000,4.0
102,9000,3.0
107,10000,3.0
115,11000,4.0
125,12000,5.0
140,13000,7.0
159,14000,13.0
165,15000,4.0
177,16000,9.0
191,17000,5.0
197,18000,5.0
207,19000,6.0
225,20000,12.0
237,21000,10.0
251,22000,10.0
285,23000,22.0
318,24000,26.0
347,25000,23.0
395,26000,40.0
423,27000,25.0
459,28000,33.0
499,29000,32.0
511,30000,8.0
559,31000,40.0
606,32000,39.0
653,33000,38.0
701,34000,41.0
749,35000,40.0
801,36000,37.0
850,37000,40.0
896,38000,40.0
943,39000,40.0
990,40000,40.0
1035,41000,39.0
1085,42000,40.0
1133,43000,40.0
1179,44000,42.0
1226,45000,39.0
1275,46000,42.0
1325,47000,36.0
1375,48000,37.0
1423,49000,42.0
1472,50000,40.0
1521,51000,39.0
1567,52000,39.0
1610,53000,41.0
1658,54000,42.0
1705,55000,37.0
1755,56000,38.0
1800,57000,41.0
1850,58000,39.0
1899,59000,37.0
1949,60000,40.0
1997,61000,38.0
2045,62000,41.0
2095,63000,37.0
2143,64000,37.0
2189,65000,40.0
2238,66000,40.0
2287,67000,37.0
2338,68000,40.0
2389,69000,37.0
2438,70000,41.0
2489,71000,40.0
2537,72000,37.0
2583,73000,40.0
2631,74000,40.0
2679,75000,39.0
2729,76000,39.0
2781,77000,36.0
2828,78000,39.0
2877,79000,41.0
2931,80000,38.0
2975,81000,38.0
3019,82000,39.0
3070,83000,40.0
3121,84000,40.0
3168,85000,41.0
3214,86000,41.0
3262,87000,39.0
3312,88000,39.0
3363,89000,42.0
3414,90000,42.0
3462,91000,38.0
3511,92000,41.0
3560,93000,39.0
3611,94000,37.0
3659,95000,37.0
3709,96000,39.0
3762,97000,40.0
3809,98000,42.0
3862,99000,37.0
3911,100000,38.0
