# {"t_start": 1641343553.2593145, "env_id": "Office-single-v0"} 
r,l,t
0.0,12,0.00291
0.0,31,0.009615
0.0,40,0.017853
0.0,29,0.023824
0.0,9,0.02564
0.0,60,0.038129
0.0,22,0.042715
0.0,37,0.050069
0.0,30,0.056062
0.0,63,0.068711
0.0,31,0.074938
0.0,56,0.08602
0.0,90,0.103843
0.0,87,0.121084
0.0,30,0.12689
0.0,109,0.147731
0.0,111,0.169142
0.0,66,0.181727
0.0,31,0.187718
0.0,82,0.203725
0.0,105,0.224401
0.0,124,0.24854
0.0,178,0.282665
0.0,58,0.293693
0.0,4,0.29449
0.0,78,0.30942
0.0,90,0.326526
0.0,132,0.351882
0.0,154,0.381319
0.0,12,0.383633
0.0,38,0.390898
0.0,48,0.400431
0.0,136,0.427312
0.0,110,0.448564
0.0,143,0.475971
0.0,546,0.580372
0.0,61,0.59228
0.0,25,0.597534
0.0,137,0.624485
0.0,713,0.761517
0.0,165,0.79369
0.0,402,0.872003
0.0,322,0.933728
0.0,32,0.939896
0.0,151,0.968822
0.0,23,0.97349
0.0,8,0.97506
0.0,137,1.002075
0.0,18,1.005599
0.0,31,1.011803
0.0,577,1.122808
0.0,27,1.127964
0.0,28,1.133454
0.0,125,1.157283
0.0,28,1.162659
0.0,36,1.169804
0.0,98,1.189062
0.0,72,1.203476
0.0,85,1.219854
0.0,140,1.246843
0.0,24,1.251444
0.0,103,1.271095
0.0,302,1.329046
0.0,144,1.356622
0.0,30,1.362816
0.0,111,1.384742
0.0,81,1.400792
0.0,48,1.410031
0.0,22,1.414272
0.0,318,1.476192
0.0,9,1.477943
0.0,390,1.553329
0.0,228,1.598008
0.0,10,1.599943
0.0,295,1.656397
0.0,195,1.6938
0.0,39,1.701344
0.0,28,1.706671
0.0,82,1.722282
0.0,300,1.78086
0.0,36,1.78797
0.0,21,1.792022
0.0,263,1.842731
0.0,57,1.853748
0.0,229,1.897758
0.0,7,1.899126
0.0,86,1.915507
0.0,21,1.919538
0.0,20,1.923361
0.0,236,1.969691
0.0,24,1.974657
0.0,88,1.991541
1.0,402,2.068954
0.0,48,2.078179
0.0,117,2.100612
0.0,183,2.135953
0.0,548,2.242868
0.0,32,2.249005
0.0,134,2.274808
0.0,121,2.297948
0.0,76,2.312511
0.0,39,2.319982
0.0,61,2.331892
0.0,377,2.405369
0.0,7,2.406744
0.0,124,2.430399
0.0,161,2.461311
0.0,206,2.500694
0.0,233,2.546055
0.0,12,2.548624
0.0,209,2.589083
0.0,38,2.596374
0.0,60,2.607904
0.0,310,2.667708
0.0,18,2.671173
0.0,189,2.707343
0.0,196,2.745874
0.0,295,2.802761
0.0,843,2.965517
0.0,87,2.982136
0.0,215,3.023299
0.0,226,3.066481
0.0,27,3.071665
0.0,134,3.097288
0.0,18,3.10103
0.0,194,3.139313
0.0,50,3.148904
1.0,136,3.174976
0.0,18,3.178432
0.0,62,3.190245
0.0,69,3.203444
0.0,184,3.239132
0.0,10,3.241069
0.0,49,3.250489
0.0,30,3.25625
0.0,39,3.263819
0.0,200,3.302629
0.0,240,3.349434
0.0,245,3.396572
0.0,246,3.443781
0.0,303,3.502414
0.0,27,3.507569
0.0,16,3.510705
0.0,75,3.52554
0.0,251,3.573679
0.0,68,3.586709
0.0,79,3.601902
0.0,413,3.681447
0.0,248,3.729825
0.0,72,3.74369
0.0,232,3.788066
0.0,36,3.794947
0.0,1000,3.987784
0.0,310,4.046872
1.0,131,4.072048
0.0,70,4.085883
0.0,276,4.139114
0.0,140,4.166026
0.0,49,4.175388
0.0,16,4.178466
0.0,301,4.235946
0.0,185,4.272049
0.0,55,4.282652
1.0,46,4.291765
0.0,61,4.303468
0.0,254,4.352241
0.0,11,4.354358
0.0,475,4.445686
0.0,15,4.448793
0.0,22,4.453026
0.0,131,4.478703
0.0,176,4.512811
0.0,66,4.525403
0.0,95,4.543592
0.0,458,4.631369
0.0,33,4.637692
0.0,34,4.644431
0.0,234,4.690138
0.0,319,4.751154
0.0,536,4.855325
0.0,140,4.882817
0.0,379,4.955531
0.0,47,4.964506
0.0,250,5.01235
0.0,152,5.042182
0.0,24,5.046988
0.0,74,5.061346
0.0,98,5.080529
0.0,84,5.096566
0.0,754,5.242118
1.0,57,5.25332
0.0,121,5.276646
0.0,87,5.293371
1.0,56,5.304279
1.0,89,5.321229
0.0,221,5.363658
0.0,9,5.365507
1.0,59,5.376806
0.0,67,5.389561
0.0,237,5.435759
0.0,87,5.452734
0.0,141,5.479696
0.0,23,5.484129
1.0,58,5.495191
1.0,44,5.503585
0.0,144,5.531017
0.0,31,5.536942
0.0,987,5.725812
1.0,72,5.739556
1.0,42,5.747708
0.0,300,5.80519
1.0,41,5.813468
0.0,125,5.837941
0.0,8,5.83953
