# {"t_start": 1641725862.1799798, "env_id": "Office-v0"} 
r,l,t
0.0,12,0.007503
0.0,33,0.023498
0.0,86,0.054166
0.0,16,0.059886
0.0,6,0.061998
0.0,12,0.066311
0.0,35,0.078617
0.0,15,0.0839
0.0,23,0.091946
0.0,78,0.119017
0.0,16,0.124682
0.0,123,0.166921
1.0,43,0.18173
0.0,69,0.207809
0.0,23,0.2167
0.0,91,0.253751
0.0,25,0.262313
0.0,117,0.302925
0.0,88,0.339886
0.0,21,0.349206
1.0,116,0.3938
0.0,138,0.443068
0.0,14,0.447833
0.0,40,0.461523
1.0,61,0.482623
0.0,87,0.512776
0.0,77,0.539172
0.0,22,0.546768
0.0,22,0.55425
0.0,265,0.645531
0.0,15,0.65072
0.0,223,0.727401
0.0,2,0.728093
0.0,90,0.761012
0.0,47,0.777332
0.0,84,0.806226
1.0,32,0.81715
0.0,27,0.826508
0.0,33,0.837774
0.0,303,0.941559
0.0,8,0.944304
0.0,56,0.963479
1.0,161,1.01917
0.0,10,1.022616
1.0,90,1.053588
0.0,176,1.1175
0.0,98,1.151087
0.0,32,1.162213
0.0,4,1.163586
1.0,295,1.265136
0.0,52,1.283193
0.0,104,1.319015
0.0,45,1.334542
0.0,4,1.33593
0.0,27,1.345298
0.0,130,1.390177
1.0,25,1.398749
0.0,19,1.40528
0.0,85,1.435474
0.0,110,1.474732
1.0,36,1.487214
0.0,101,1.522285
0.0,215,1.596633
0.0,7,1.599069
1.0,51,1.617091
1.0,180,1.679285
1.0,136,1.726543
0.0,127,1.771107
1.0,21,1.778809
1.0,190,1.84573
0.0,15,1.850913
0.0,22,1.858733
0.0,9,1.861857
1.0,138,1.910115
0.0,113,1.949388
0.0,240,2.032623
0.0,13,2.037136
0.0,19,2.043813
0.0,2,2.044553
1.0,234,2.125993
1.0,21,2.133663
1.0,293,2.237003
0.0,96,2.270381
0.0,296,2.37257
1.0,46,2.388526
0.0,381,2.523328
1.0,260,2.613414
0.0,198,2.68194
1.0,19,2.688487
0.0,6,2.690696
0.0,150,2.742426
0.0,69,2.766416
1.0,29,2.776508
0.0,101,2.812062
0.0,335,2.929566
0.0,51,2.947284
1.0,36,2.959899
1.0,212,3.033404
0.0,82,3.062316
0.0,507,3.240205
0.0,25,3.249069
0.0,15,3.254303
0.0,30,3.264632
0.0,240,3.347809
1.0,50,3.365301
0.0,145,3.41622
0.0,8,3.419003
0.0,22,3.426751
1.0,11,3.430666
0.0,36,3.443161
1.0,139,3.491331
0.0,153,3.54594
1.0,20,3.554135
1.0,127,3.598506
1.0,261,3.689019
0.0,154,3.742537
1.0,17,3.748447
1.0,227,3.827282
0.0,42,3.841847
0.0,53,3.860281
1.0,11,3.864343
0.0,91,3.898075
1.0,284,3.996587
0.0,281,4.094263
0.0,2,4.095
0.0,65,4.117699
0.0,57,4.137526
0.0,176,4.198783
1.0,11,4.202581
0.0,43,4.217662
0.0,153,4.274019
0.0,118,4.314777
1.0,12,4.318907
1.0,123,4.361584
1.0,125,4.405034
0.0,28,4.414775
1.0,11,4.418608
1.0,139,4.466697
1.0,141,4.515835
0.0,82,4.544166
1.0,11,4.548023
0.0,134,4.595918
0.0,21,4.603621
0.0,1000,4.952249
0.0,2,4.952974
1.0,99,4.987294
0.0,13,4.991778
0.0,16,4.997354
1.0,11,5.001155
1.0,78,5.02885
1.0,161,5.085047
0.0,37,5.098017
0.0,9,5.101156
1.0,62,5.122473
0.0,86,5.152086
0.0,29,5.16211
1.0,12,5.166394
1.0,57,5.186088
1.0,82,5.214862
0.0,91,5.246597
1.0,11,5.250422
0.0,65,5.273145
1.0,116,5.314859
0.0,56,5.334227
1.0,11,5.338066
0.0,20,5.345009
0.0,13,5.349516
0.0,202,5.419155
1.0,11,5.422954
0.0,22,5.430594
0.0,22,5.438311
1.0,167,5.496191
1.0,11,5.500028
0.0,25,5.508729
0.0,27,5.51816
0.0,1000,5.866688
1.0,14,5.871599
0.0,110,5.909604
1.0,85,5.938893
0.0,541,6.127532
1.0,11,6.131327
1.0,62,6.152788
1.0,52,6.170693
0.0,132,6.2164
1.0,12,6.220551
0.0,15,6.225889
0.0,52,6.243877
0.0,66,6.266855
1.0,11,6.270639
0.0,26,6.279651
0.0,70,6.30382
0.0,459,6.464723
1.0,13,6.469187
1.0,60,6.489921
0.0,18,6.496123
0.0,216,6.570578
1.0,11,6.574403
0.0,31,6.585069
1.0,59,6.605507
0.0,34,6.617307
1.0,11,6.621128
1.0,39,6.634616
1.0,153,6.689491
0.0,5,6.691369
1.0,11,6.695273
1.0,44,6.710473
1.0,69,6.734422
0.0,36,6.74692
1.0,13,6.751461
1.0,37,6.764341
0.0,28,6.77399
0.0,183,6.837388
0.0,4,6.838782
1.0,38,6.851909
1.0,81,6.880231
0.0,36,6.892647
0.0,7,6.895106
0.0,9,6.898245
