# {"t_start": 1643130525.4862838, "env_id": "Office-v0"} 
r,l,t
0.0,7,0.003172
0.0,6,0.006135
0.0,59,0.033651
0.0,26,0.0456
0.0,50,0.067767
0.0,6,0.070739
0.0,53,0.095159
0.0,40,0.113987
0.0,11,0.119026
0.0,42,0.138251
0.0,4,0.140103
0.0,39,0.158105
0.0,36,0.17451
0.0,168,0.251641
0.0,28,0.264496
0.0,24,0.27567
0.0,55,0.30083
0.0,66,0.331512
0.0,99,0.376873
0.0,96,0.420769
0.0,43,0.440371
0.0,90,0.481674
0.0,63,0.510291
0.0,100,0.556142
1.0,44,0.576247
0.0,95,0.619511
0.0,69,0.651669
0.0,33,0.666819
0.0,130,0.726802
0.0,57,0.752855
0.0,74,0.787367
0.0,123,0.844456
0.0,90,0.8859
0.0,76,0.920692
0.0,123,0.977607
0.0,147,1.045182
0.0,31,1.059415
0.0,89,1.100063
0.0,22,1.110173
0.0,117,1.16366
0.0,74,1.197766
0.0,213,1.295695
0.0,140,1.360721
0.0,16,1.368218
0.0,193,1.456793
0.0,488,1.682268
0.0,156,1.754949
0.0,67,1.78611
0.0,831,2.17093
0.0,46,2.19219
0.0,59,2.21964
0.0,397,2.401782
0.0,12,2.407431
0.0,60,2.435139
0.0,566,2.69675
0.0,12,2.702445
0.0,40,2.721181
0.0,35,2.73748
0.0,32,2.752071
0.0,29,2.765665
1.0,106,2.815001
0.0,81,2.852104
0.0,151,2.92294
0.0,320,3.071451
1.0,29,3.084987
0.0,60,3.112607
0.0,18,3.121058
0.0,256,3.239128
0.0,198,3.331717
0.0,171,3.410897
0.0,253,3.528541
0.0,63,3.557645
0.0,36,3.574378
0.0,14,3.580912
0.0,155,3.653336
0.0,211,3.750815
0.0,39,3.768543
0.0,42,3.788311
0.0,508,4.023801
0.0,81,4.060581
0.0,6,4.063384
0.0,261,4.184709
0.0,49,4.207766
0.0,479,4.429271
0.0,349,4.591422
0.0,419,4.786558
0.0,99,4.832981
0.0,201,4.925898
1.0,50,4.949081
0.0,398,5.134826
0.0,36,5.151644
0.0,14,5.158179
0.0,66,5.189334
0.0,49,5.212358
0.0,17,5.220265
0.0,63,5.249287
0.0,53,5.273949
1.0,164,5.349998
0.0,256,5.468645
0.0,151,5.538426
0.0,92,5.581326
0.0,303,5.722059
0.0,442,5.926009
0.0,310,6.069528
0.0,84,6.108813
0.0,46,6.130482
0.0,135,6.193609
0.0,165,6.270473
0.0,18,6.278955
0.0,232,6.386595
0.0,577,6.658546
0.0,696,6.983569
1.0,142,7.050747
0.0,376,7.227411
0.0,61,7.255634
0.0,8,7.259343
0.0,46,7.280776
0.0,204,7.374985
0.0,63,7.404372
0.0,452,7.615739
0.0,6,7.618601
0.0,130,7.680268
0.0,281,7.811613
0.0,37,7.828726
0.0,26,7.840918
0.0,4,7.842796
0.0,316,7.990375
0.0,40,8.00897
0.0,14,8.015587
0.0,90,8.057192
0.0,85,8.09676
0.0,54,8.122025
0.0,185,8.209317
0.0,54,8.234471
0.0,375,8.411
0.0,416,8.605248
0.0,21,8.615323
0.0,63,8.644659
0.0,334,8.801651
0.0,407,8.990146
0.0,442,9.195474
0.0,603,9.47673
0.0,142,9.542428
0.0,216,9.642663
0.0,16,9.650499
1.0,349,9.812505
0.0,78,9.848416
0.0,59,9.875577
1.0,55,9.901123
0.0,243,10.013979
0.0,14,10.02065
0.0,25,10.032207
1.0,26,10.044675
1.0,244,10.15854
0.0,19,10.167462
0.0,87,10.207885
1.0,31,10.222235
0.0,7,10.225526
0.0,18,10.233742
0.0,868,10.636266
1.0,71,10.669857
0.0,44,10.690399
0.0,83,10.728946
0.0,238,10.839874
1.0,26,10.851909
0.0,36,10.868754
0.0,47,10.890429
0.0,117,10.944198
1.0,14,10.950711
0.0,128,11.009454
1.0,155,11.081279
0.0,80,11.118499
1.0,11,11.123666
0.0,98,11.169945
1.0,90,11.211958
0.0,189,11.30013
1.0,20,11.309697
1.0,65,11.33972
0.0,96,11.384251
0.0,92,11.426971
1.0,11,11.432138
1.0,87,11.472589
0.0,28,11.485664
0.0,422,11.681661
1.0,14,11.688154
0.0,12,11.69379
1.0,77,11.729391
0.0,199,11.821107
0.0,10,11.825792
1.0,62,11.854947
0.0,32,11.869689
0.0,269,11.994312
1.0,11,11.999515
1.0,134,12.061709
0.0,40,12.080305
0.0,17,12.088293
1.0,11,12.093368
0.0,88,12.134142
1.0,122,12.191254
0.0,642,12.488986
0.0,2,12.49002
1.0,48,12.512335
1.0,192,12.601213
0.0,7,12.604452
1.0,11,12.609582
0.0,72,12.642642
1.0,77,12.678727
0.0,956,13.121117
1.0,11,13.126397
1.0,68,13.158313
1.0,37,13.175739
0.0,157,13.2486
1.0,14,13.255193
0.0,50,13.278553
0.0,20,13.288343
0.0,76,13.323773
1.0,17,13.331708
1.0,59,13.358864
0.0,20,13.368189
0.0,292,13.502696
1.0,11,13.507893
1.0,47,13.529786
1.0,31,13.544269
0.0,161,13.61845
1.0,11,13.623633
1.0,58,13.651272
1.0,24,13.662319
0.0,10,13.667178
1.0,11,13.672434
0.0,74,13.706875
0.0,42,13.726501
0.0,857,14.123267
1.0,11,14.128597
1.0,62,14.157355
0.0,8,14.161118
0.0,25,14.172933
1.0,17,14.180738
0.0,41,14.19993
1.0,30,14.213892
0.0,157,14.286479
1.0,11,14.29194
0.0,21,14.301691
1.0,79,14.338485
0.0,12,14.344081
1.0,11,14.349168
1.0,57,14.375728
1.0,37,14.392964
0.0,209,14.490142
0.0,11,14.495373
0.0,64,14.525705
1.0,37,14.542943
0.0,63,14.572119
1.0,12,14.577685
1.0,38,14.595371
0.0,37,14.612496
0.0,174,14.693453
0.0,6,14.696358
1.0,83,14.734488
1.0,34,14.750142
0.0,92,14.793126
1.0,13,14.799891
1.0,79,14.836896
1.0,34,14.85303
0.0,209,14.950346
1.0,11,14.955566
1.0,23,14.966225
1.0,31,14.980606
0.0,169,15.058722
1.0,11,15.063885
0.0,6,15.066671
1.0,33,15.08231
0.0,869,15.48771
1.0,11,15.492931
1.0,30,15.506821
1.0,31,15.521365
0.0,174,15.602306
1.0,12,15.607893
0.0,32,15.622752
1.0,32,15.637739
0.0,52,15.661971
1.0,11,15.667355
1.0,25,15.679073
1.0,30,15.692868
0.0,67,15.724086
1.0,13,15.730142
1.0,26,15.742103
1.0,31,15.756467
0.0,19,15.765418
1.0,15,15.77218
1.0,29,15.785663
1.0,34,15.801751
0.0,12,15.8076
1.0,11,15.812753
0.0,20,15.821988
1.0,31,15.83644
0.0,54,15.861378
0.0,10,15.866085
1.0,27,15.878384
1.0,31,15.892644
0.0,116,15.946105
1.0,11,15.951287
1.0,24,15.962328
0.0,19,15.971229
0.0,285,16.103789
1.0,11,16.108923
1.0,25,16.120539
1.0,34,16.136403
0.0,148,16.205327
1.0,11,16.210432
0.0,14,16.216899
1.0,33,16.232107
0.0,158,16.306253
0.0,4,16.308171
1.0,23,16.318877
1.0,34,16.334639
0.0,913,16.757643
1.0,11,16.762873
1.0,25,16.774877
1.0,38,16.792671
0.0,29,16.806398
1.0,13,16.812449
1.0,27,16.824879
0.0,25,16.836486
0.0,36,16.853037
1.0,11,16.85817
0.0,17,16.866053
0.0,6,16.86885
0.0,47,16.890587
1.0,13,16.89663
1.0,27,16.908915
1.0,30,16.922868
0.0,145,16.989489
1.0,11,16.994708
1.0,25,17.00627
1.0,30,17.02019
0.0,193,17.109349
1.0,11,17.114534
1.0,27,17.126887
1.0,36,17.143543
0.0,27,17.156428
1.0,11,17.161564
1.0,25,17.173213
1.0,40,17.191766
0.0,237,17.301893
1.0,13,17.308244
1.0,23,17.318788
0.0,31,17.333143
0.0,693,17.653444
1.0,12,17.659171
1.0,25,17.671005
1.0,34,17.686805
0.0,316,17.835027
1.0,15,17.842062
1.0,30,17.856207
1.0,34,17.872081
0.0,29,17.885549
0.0,6,17.888391
1.0,28,17.901297
1.0,30,17.915438
0.0,18,17.924153
1.0,13,17.930175
0.0,16,17.937943
1.0,31,17.952176
0.0,503,18.184729
1.0,11,18.189963
1.0,25,18.201559
1.0,23,18.212316
0.0,60,18.240046
1.0,11,18.245203
1.0,27,18.257666
