episodes,steps,total reward
77,10000,4.0
135,20000,1.0
233,30000,43.0
355,40000,69.0
515,50000,95.0
635,60000,71.0
781,70000,85.0
931,80000,87.0
1084,90000,89.0
1267,100000,113.0
1403,110000,82.0
1514,120000,70.0
1639,130000,76.0
1755,140000,67.0
1874,150000,76.0
2023,160000,91.0
2155,170000,77.0
2291,180000,70.0
2417,190000,72.0
2587,200000,106.0
2743,210000,95.0
2915,220000,102.0
3067,230000,95.0
3195,240000,74.0
3328,250000,87.0
3474,260000,85.0
3603,270000,71.0
3739,280000,81.0
3883,290000,92.0
4019,300000,76.0
4124,310000,56.0
4283,320000,97.0
4444,330000,98.0
4571,340000,71.0
4711,350000,81.0
4815,360000,65.0
4945,370000,74.0
5075,380000,79.0
5182,390000,70.0
5299,400000,79.0
5419,410000,74.0
5570,420000,83.0
5738,430000,102.0
5883,440000,95.0
6018,450000,89.0
6159,460000,86.0
6243,470000,49.0
6379,480000,81.0
6515,490000,79.0
6651,500000,86.0
6794,510000,90.0
6919,520000,74.0
7039,530000,72.0
7195,540000,99.0
7347,550000,99.0
7495,560000,86.0
7635,570000,81.0
7787,580000,92.0
7909,590000,69.0
8051,600000,91.0
8199,610000,90.0
8331,620000,86.0
8459,630000,70.0
8585,640000,74.0
8735,650000,89.0
8871,660000,80.0
9003,670000,90.0
9143,680000,84.0
9298,690000,89.0
9463,700000,94.0
9599,710000,84.0
9699,720000,64.0
9859,730000,99.0
9993,740000,80.0
10115,750000,80.0
10249,760000,80.0
10391,770000,84.0
10531,780000,87.0
10687,790000,96.0
10791,800000,67.0
10890,810000,55.0
11031,820000,88.0
11175,830000,78.0
11331,840000,97.0
11466,850000,80.0
11615,860000,79.0
11763,870000,86.0
11915,880000,94.0
12023,890000,63.0
12163,900000,86.0
12295,910000,79.0
12419,920000,78.0
12559,930000,87.0
12679,940000,70.0
12815,950000,79.0
12959,960000,84.0
13095,970000,81.0
13235,980000,83.0
13397,990000,97.0
13513,1000000,73.0
