episodes,steps,total reward
76,10000,0.0
135,20000,0.0
193,30000,0.0
246,40000,0.0
307,50000,0.0
349,60000,0.0
397,70000,0.0
436,80000,0.0
494,90000,0.0
570,100000,0.0
623,110000,0.0
674,120000,0.0
720,130000,0.0
768,140000,0.0
812,150000,0.0
864,160000,0.0
915,170000,0.0
963,180000,0.0
1025,190000,0.0
1078,200000,0.0
1123,210000,0.0
1171,220000,0.0
1213,230000,0.0
1257,240000,0.0
1301,250000,0.0
1357,260000,0.0
1404,270000,0.0
1453,280000,0.0
1490,290000,0.0
1537,300000,0.0
1589,310000,0.0
1624,320000,0.0
1671,330000,0.0
1723,340000,0.0
1774,350000,0.0
1814,360000,0.0
1868,370000,0.0
1917,380000,0.0
1966,390000,0.0
2025,400000,0.0
2072,410000,0.0
2127,420000,0.0
2159,430000,0.0
2203,440000,0.0
2252,450000,0.0
2298,460000,0.0
2342,470000,0.0
2377,480000,0.0
2421,490000,0.0
2461,500000,0.0
2499,510000,0.0
2537,520000,0.0
2579,530000,0.0
2621,540000,0.0
2661,550000,0.0
2716,560000,0.0
2761,570000,0.0
2802,580000,0.0
2855,590000,0.0
2901,600000,0.0
2956,610000,0.0
2993,620000,0.0
3035,630000,0.0
3075,640000,0.0
3127,650000,0.0
3171,660000,0.0
3216,670000,0.0
3256,680000,0.0
3302,690000,0.0
3351,700000,0.0
3405,710000,0.0
3445,720000,0.0
3481,730000,0.0
3522,740000,0.0
3566,750000,0.0
3610,760000,0.0
3653,770000,0.0
3687,780000,0.0
3734,790000,0.0
3774,800000,0.0
3817,810000,0.0
3860,820000,0.0
3898,830000,0.0
3935,840000,0.0
3982,850000,0.0
4031,860000,0.0
4080,870000,0.0
4136,880000,0.0
4180,890000,0.0
4225,900000,0.0
4264,910000,0.0
4305,920000,0.0
4345,930000,0.0
4393,940000,0.0
4433,950000,0.0
4471,960000,0.0
4515,970000,0.0
4570,980000,0.0
4619,990000,0.0
4667,1000000,0.0
