# {"t_start": 1641679823.564244, "env_id": "Office-v0"} 
r,l,t
0.0,16,0.005672
0.0,2,0.006445
0.0,57,0.026058
0.0,36,0.038196
0.0,33,0.049009
0.0,19,0.055352
0.0,24,0.063373
0.0,75,0.089133
0.0,27,0.098361
0.0,76,0.123683
0.0,74,0.148519
0.0,14,0.153367
0.0,27,0.162451
0.0,50,0.179729
0.0,57,0.198685
0.0,125,0.240399
0.0,75,0.265424
0.0,66,0.287128
0.0,73,0.311356
0.0,137,0.357828
0.0,89,0.388012
0.0,20,0.394784
0.0,68,0.417648
0.0,111,0.454894
0.0,131,0.499317
0.0,31,0.509849
0.0,96,0.54248
0.0,189,0.605504
0.0,115,0.644723
0.0,82,0.672336
0.0,16,0.678278
0.0,205,0.747885
0.0,150,0.798852
0.0,53,0.816944
0.0,155,0.869517
0.0,35,0.881502
0.0,284,0.977181
0.0,29,0.987097
0.0,339,1.102809
0.0,117,1.142511
0.0,7,1.14497
0.0,23,1.152879
0.0,6,1.155053
0.0,26,1.163936
0.0,92,1.195448
0.0,20,1.202328
0.0,38,1.215226
0.0,292,1.313536
0.0,122,1.355642
1.0,122,1.397084
0.0,376,1.525685
0.0,6,1.527847
0.0,127,1.571105
0.0,220,1.645866
0.0,92,1.677592
0.0,192,1.742578
0.0,52,1.760332
0.0,215,1.83332
0.0,19,1.839876
0.0,242,1.920521
0.0,62,1.941619
0.0,32,1.952459
0.0,252,2.038931
0.0,29,2.048919
0.0,164,2.104667
0.0,33,2.115319
0.0,142,2.164154
0.0,8,2.167106
0.0,13,2.17152
0.0,44,2.186091
0.0,247,2.270395
0.0,71,2.294646
0.0,33,2.305811
0.0,10,2.309232
0.0,87,2.339096
0.0,170,2.396558
0.0,159,2.451304
0.0,417,2.592421
0.0,424,2.737774
0.0,674,2.964836
0.0,50,2.982023
0.0,21,2.989345
0.0,223,3.066045
0.0,26,3.075106
0.0,159,3.129964
0.0,112,3.167967
0.0,1000,3.508858
0.0,44,3.523959
0.0,140,3.572091
0.0,74,3.595986
0.0,119,3.636598
0.0,46,3.652652
0.0,13,3.657145
0.0,9,3.66031
0.0,89,3.691032
0.0,182,3.754224
0.0,300,3.857675
0.0,177,3.918222
0.0,11,3.92201
0.0,148,3.973135
0.0,243,4.056682
0.0,240,4.138009
0.0,29,4.147976
0.0,4,4.149456
0.0,340,4.267071
0.0,139,4.314411
0.0,192,4.380989
0.0,30,4.391365
0.0,365,4.517682
0.0,26,4.526725
0.0,1000,4.871024
0.0,81,4.898957
0.0,67,4.921784
0.0,44,4.936594
0.0,101,4.971311
0.0,22,4.978813
0.0,485,5.146188
0.0,71,5.169791
0.0,197,5.237494
0.0,60,5.256522
0.0,142,5.305302
0.0,98,5.338573
0.0,173,5.397952
0.0,41,5.411897
0.0,41,5.426012
0.0,168,5.483546
0.0,250,5.568839
0.0,80,5.59602
0.0,82,5.624532
0.0,5,5.626294
0.0,28,5.636075
0.0,26,5.644963
0.0,342,5.762624
0.0,8,5.765489
0.0,61,5.78601
0.0,9,5.789096
0.0,171,5.848347
0.0,250,5.933651
0.0,30,5.944018
0.0,155,5.9966
0.0,25,6.005287
0.0,356,6.127112
0.0,16,6.132663
0.0,61,6.154053
0.0,204,6.224122
0.0,125,6.266301
0.0,49,6.283021
0.0,506,6.454319
0.0,11,6.458159
0.0,71,6.483121
0.0,162,6.54032
0.0,144,6.59015
1.0,55,6.610239
0.0,651,6.834513
0.0,10,6.838086
0.0,179,6.898648
0.0,13,6.903215
0.0,44,6.918256
0.0,281,7.013221
0.0,109,7.050355
1.0,130,7.094825
0.0,156,7.148258
0.0,109,7.186262
0.0,130,7.230981
1.0,96,7.263792
1.0,172,7.3227
1.0,142,7.371047
0.0,358,7.492734
1.0,88,7.523002
0.0,67,7.54596
0.0,4,7.547393
0.0,21,7.554618
0.0,40,7.568305
1.0,282,7.664027
0.0,134,7.709532
0.0,113,7.748086
1.0,73,7.77302
1.0,186,7.836586
1.0,193,7.902908
1.0,413,8.042813
1.0,32,8.053782
1.0,109,8.090293
0.0,68,8.113346
0.0,122,8.155435
0.0,34,8.167319
0.0,139,8.215018
0.0,21,8.222171
1.0,525,8.401352
0.0,37,8.414058
1.0,46,8.429601
0.0,39,8.442864
0.0,25,8.451486
1.0,29,8.461347
1.0,232,8.539804
1.0,114,8.578544
0.0,43,8.593329
1.0,55,8.61219
1.0,130,8.657297
0.0,2,8.658019
0.0,11,8.661792
1.0,11,8.665568
0.0,76,8.691332
0.0,56,8.71057
0.0,91,8.741858
1.0,12,8.745978
0.0,68,8.76921
0.0,18,8.775457
1.0,59,8.795711
1.0,12,8.799849
1.0,73,8.825465
0.0,16,8.830882
0.0,143,8.879969
1.0,13,8.884467
1.0,134,8.930352
0.0,79,8.957503
0.0,56,8.976779
1.0,13,8.981381
1.0,38,8.994502
1.0,191,9.060152
1.0,128,9.104521
1.0,13,9.108943
1.0,68,9.132557
0.0,93,9.164271
0.0,59,9.184995
1.0,11,9.18879
1.0,80,9.216236
0.0,122,9.258045
1.0,77,9.284409
1.0,11,9.288167
0.0,78,9.314568
0.0,57,9.333769
0.0,15,9.338842
1.0,12,9.342917
1.0,60,9.363677
1.0,139,9.410892
1.0,224,9.487986
1.0,13,9.492394
0.0,52,9.510309
0.0,121,9.552001
0.0,54,9.570744
1.0,11,9.574538
1.0,59,9.594779
0.0,2,9.595503
0.0,13,9.59996
0.0,2,9.600669
1.0,91,9.631808
1.0,65,9.654222
1.0,50,9.671646
0.0,2,9.672368
1.0,61,9.693358
1.0,56,9.712379
0.0,36,9.724715
1.0,11,9.728551
0.0,54,9.746988
0.0,71,9.77113
0.0,71,9.795633
