episodes,steps,total reward
20,1000,1.0
31,2000,0.0
36,3000,0.0
41,4000,1.0
49,5000,0.0
56,6000,0.0
67,7000,1.0
71,8000,1.0
79,9000,3.0
84,10000,0.0
88,11000,0.0
97,12000,0.0
102,13000,0.0
107,14000,0.0
112,15000,0.0
116,16000,0.0
120,17000,0.0
129,18000,0.0
132,19000,1.0
138,20000,1.0
142,21000,1.0
148,22000,3.0
161,23000,5.0
166,24000,3.0
181,25000,8.0
194,26000,7.0
213,27000,10.0
227,28000,12.0
245,29000,14.0
263,30000,13.0
291,31000,20.0
317,32000,21.0
348,33000,23.0
388,34000,28.0
425,35000,27.0
465,36000,31.0
502,37000,27.0
544,38000,33.0
583,39000,30.0
625,40000,32.0
663,41000,32.0
700,42000,27.0
739,43000,32.0
779,44000,31.0
819,45000,30.0
859,46000,33.0
899,47000,33.0
939,48000,33.0
979,49000,33.0
1021,50000,34.0
1064,51000,30.0
1106,52000,32.0
1150,53000,30.0
1193,54000,31.0
1235,55000,31.0
1275,56000,32.0
1314,57000,30.0
1352,58000,31.0
1391,59000,32.0
1433,60000,34.0
1471,61000,32.0
1512,62000,31.0
1554,63000,31.0
1597,64000,33.0
1637,65000,27.0
1675,66000,31.0
1715,67000,35.0
1752,68000,34.0
1793,69000,32.0
1831,70000,31.0
1874,71000,31.0
1914,72000,32.0
1958,73000,30.0
1999,74000,33.0
2039,75000,30.0
2080,76000,33.0
2121,77000,30.0
2159,78000,30.0
2203,79000,28.0
2239,80000,32.0
2281,81000,32.0
2324,82000,33.0
2363,83000,33.0
2402,84000,34.0
2445,85000,35.0
2483,86000,28.0
2526,87000,33.0
2570,88000,32.0
2609,89000,30.0
2650,90000,32.0
2690,91000,28.0
2727,92000,33.0
2766,93000,31.0
2806,94000,33.0
2850,95000,33.0
2887,96000,32.0
2927,97000,32.0
2969,98000,34.0
3009,99000,32.0
3047,100000,31.0
