# {"t_start": 1641371339.0509737, "env_id": "Office-single-v0"} 
r,l,t
0.0,10,0.00229
0.0,76,0.01757
0.0,13,0.020157
0.0,6,0.021312
0.0,27,0.02662
0.0,14,0.029359
0.0,52,0.039208
0.0,58,0.051203
0.0,31,0.057113
0.0,65,0.069415
0.0,37,0.07687
0.0,32,0.083184
0.0,52,0.093204
0.0,28,0.098587
0.0,121,0.12188
0.0,78,0.137095
0.0,77,0.152017
0.0,81,0.169896
0.0,150,0.202757
0.0,96,0.221395
0.0,25,0.226278
0.0,130,0.251605
0.0,86,0.268023
0.0,74,0.282354
0.0,36,0.289188
0.0,103,0.308992
0.0,210,0.349551
0.0,38,0.356964
0.0,80,0.372473
0.0,116,0.39504
0.0,223,0.438816
0.0,229,0.483552
0.0,106,0.503429
0.0,261,0.553819
0.0,187,0.59061
0.0,40,0.598345
0.0,18,0.602274
0.0,44,0.610716
0.0,112,0.632391
0.0,6,0.63361
0.0,167,0.66582
0.0,83,0.681689
0.0,8,0.683275
0.0,67,0.696243
0.0,19,0.699892
0.0,436,0.784797
0.0,52,0.794973
0.0,85,0.811576
0.0,6,0.812849
0.0,180,0.847879
0.0,10,0.849839
0.0,268,0.901086
0.0,458,0.990048
0.0,66,1.003242
0.0,435,1.087872
0.0,25,1.092704
0.0,362,1.162164
0.0,153,1.192368
0.0,55,1.203023
0.0,227,1.246974
0.0,116,1.26915
0.0,63,1.281416
0.0,263,1.331931
0.0,52,1.341982
0.0,106,1.362342
0.0,387,1.437153
0.0,298,1.494574
0.0,54,1.504867
0.0,635,1.628203
0.0,173,1.661459
0.0,255,1.710527
0.0,271,1.763027
0.0,107,1.784074
0.0,341,1.850638
0.0,537,1.954262
0.0,287,2.010527
0.0,698,2.145873
0.0,63,2.158467
0.0,17,2.161759
0.0,19,2.165403
0.0,67,2.178723
0.0,261,2.228894
0.0,11,2.231056
0.0,34,2.237595
0.0,51,2.247421
0.0,51,2.257087
0.0,110,2.278232
0.0,9,2.279992
0.0,224,2.322984
0.0,16,2.326105
0.0,15,2.329007
0.0,77,2.344199
0.0,33,2.350764
0.0,125,2.375232
0.0,405,2.453514
0.0,461,2.542556
0.0,59,2.554379
0.0,87,2.571743
0.0,509,2.669715
0.0,23,2.674222
0.0,46,2.683074
0.0,285,2.738289
0.0,134,2.764346
0.0,96,2.782809
0.0,687,2.915008
0.0,93,2.933417
0.0,14,2.936157
0.0,60,2.947978
0.0,26,2.953103
0.0,50,2.962765
0.0,374,3.035315
0.0,46,3.044246
0.0,626,3.166794
0.0,181,3.201865
0.0,66,3.214527
0.0,135,3.240476
0.0,12,3.242814
0.0,116,3.265144
0.0,278,3.319495
0.0,76,3.334488
0.0,99,3.353994
0.0,413,3.433517
0.0,13,3.436056
0.0,96,3.454615
0.0,441,3.540349
0.0,62,3.552366
1.0,338,3.618381
0.0,339,3.684174
1.0,242,3.731698
0.0,69,3.745023
1.0,615,3.863504
0.0,191,3.900646
0.0,165,3.932861
0.0,8,3.934444
0.0,12,3.93674
0.0,4,3.937522
0.0,227,3.981357
0.0,23,3.985946
0.0,38,3.993278
1.0,292,4.048946
0.0,41,4.056791
0.0,13,4.059376
0.0,50,4.06914
1.0,199,4.108163
1.0,142,4.135808
1.0,215,4.176715
0.0,10,4.178643
0.0,9,4.180357
0.0,13,4.182886
1.0,132,4.208248
0.0,94,4.226901
