# {"t_start": 1641683325.0370524, "env_id": "Office-single-v0"} 
r,l,t
0.0,66,0.013438
0.0,7,0.014896
0.0,26,0.01987
0.0,4,0.020711
0.0,18,0.024156
0.0,26,0.029058
0.0,17,0.032247
0.0,58,0.04284
0.0,49,0.052183
0.0,16,0.055254
0.0,18,0.058736
0.0,88,0.076286
0.0,33,0.082684
0.0,13,0.085164
0.0,39,0.092559
0.0,79,0.107506
0.0,34,0.113945
0.0,100,0.132918
0.0,73,0.14622
0.0,24,0.150831
0.0,115,0.172645
0.0,40,0.180115
0.0,44,0.188452
0.0,160,0.219551
0.0,38,0.226827
0.0,94,0.244676
0.0,17,0.247966
0.0,95,0.266112
0.0,28,0.271453
0.0,120,0.294608
0.0,78,0.309592
0.0,194,0.346456
0.0,75,0.360701
0.0,9,0.362492
0.0,164,0.394435
0.0,13,0.39701
0.0,9,0.39876
0.0,93,0.416762
0.0,21,0.42081
0.0,27,0.425999
0.0,116,0.44812
0.0,79,0.463245
0.0,89,0.480311
0.0,279,0.534003
0.0,313,0.594544
0.0,20,0.598534
0.0,34,0.605235
0.0,729,0.745717
0.0,188,0.781614
0.0,51,0.791505
0.0,287,0.846867
0.0,160,0.877627
0.0,565,0.986516
0.0,10,0.988563
0.0,31,0.994535
0.0,27,0.999828
0.0,44,1.008386
0.0,467,1.098744
0.0,114,1.120754
0.0,52,1.130692
0.0,157,1.161597
0.0,266,1.213121
0.0,96,1.231645
0.0,261,1.282036
0.0,31,1.288109
0.0,196,1.326131
0.0,119,1.349236
0.0,75,1.363864
0.0,71,1.37752
0.0,90,1.394848
0.0,163,1.425925
0.0,210,1.466155
0.0,300,1.523989
0.0,52,1.534089
0.0,610,1.652152
0.0,20,1.656154
0.0,61,1.667684
0.0,160,1.698454
0.0,375,1.770707
0.0,163,1.802253
0.0,551,1.908228
0.0,155,1.938456
0.0,82,1.954189
0.0,288,2.009913
0.0,476,2.103206
0.0,37,2.110516
0.0,41,2.118411
0.0,43,2.126898
0.0,301,2.186061
0.0,212,2.227398
0.0,55,2.2381
0.0,48,2.24738
0.0,151,2.276559
0.0,23,2.281039
0.0,33,2.287394
0.0,44,2.295967
0.0,227,2.340491
0.0,269,2.392481
0.0,83,2.408702
0.0,43,2.416963
0.0,253,2.465579
0.0,56,2.47643
0.0,154,2.506415
0.0,287,2.562705
0.0,644,2.688425
0.0,43,2.696916
0.0,103,2.717047
0.0,113,2.738817
0.0,169,2.772378
0.0,36,2.77943
0.0,52,2.789497
0.0,56,2.80061
0.0,291,2.857512
0.0,32,2.863781
0.0,205,2.903928
0.0,11,2.906217
0.0,40,2.914064
0.0,195,2.951385
0.0,470,3.042741
0.0,346,3.110153
0.0,387,3.184967
0.0,91,3.202792
0.0,13,3.205329
0.0,291,3.261616
0.0,495,3.35736
0.0,49,3.366936
0.0,55,3.377579
0.0,11,3.379755
0.0,35,3.386587
0.0,135,3.412731
0.0,148,3.441307
0.0,237,3.487333
0.0,222,3.530484
0.0,82,3.546477
0.0,607,3.663954
0.0,274,3.71713
0.0,164,3.748878
0.0,74,3.763144
1.0,268,3.814974
0.0,13,3.817501
0.0,143,3.845132
0.0,8,3.846723
0.0,55,3.857367
0.0,72,3.871289
0.0,149,3.900389
0.0,6,3.901606
0.0,117,3.923977
0.0,258,3.973736
0.0,6,3.974962
0.0,13,3.977491
1.0,240,4.023808
0.0,118,4.046499
0.0,30,4.052281
0.0,76,4.067477
1.0,136,4.094092
0.0,9,4.095857
0.0,107,4.116634
0.0,12,4.118974
0.0,86,4.135585
1.0,292,4.192171
0.0,19,4.19584
1.0,207,4.236064
1.0,176,4.270211
0.0,150,4.299124
0.0,106,4.320025
0.0,70,4.333805
0.0,34,4.340418
1.0,186,4.376181
1.0,141,4.40367
0.0,106,4.424144
0.0,6,4.425337
1.0,51,4.435219
0.0,53,4.44554
0.0,19,4.449237
0.0,6,4.450427
0.0,17,4.453974
0.0,50,4.463653
1.0,166,4.495656
1.0,107,4.516371
1.0,166,4.548342
1.0,127,4.573025
0.0,10,4.574983
0.0,87,4.592304
0.0,10,4.594265
1.0,232,4.639566
0.0,10,4.641507
0.0,19,4.645227
1.0,147,4.674291
1.0,66,4.687198
1.0,144,4.714937
0.0,46,4.723876
1.0,58,4.735022
0.0,11,4.737149
0.0,63,4.749458
0.0,192,4.786324
1.0,146,4.814406
1.0,71,4.828133
0.0,35,4.834881
0.0,79,4.850255
1.0,131,4.875372
1.0,104,4.89562
0.0,4,4.896408
1.0,93,4.914417
0.0,36,4.921338
0.0,23,4.925789
1.0,56,4.936607
1.0,47,4.945709
1.0,177,4.979721
0.0,19,4.983431
0.0,67,4.99633
1.0,78,5.01142
0.0,9,5.013182
1.0,48,5.022556
0.0,35,5.029407
1.0,55,5.0402
1.0,133,5.066349
1.0,58,5.077679
1.0,82,5.093939
1.0,89,5.111143
1.0,47,5.120304
0.0,108,5.141015
1.0,178,5.176
0.0,86,5.192538
0.0,107,5.213162
0.0,27,5.218346
0.0,15,5.221261
0.0,32,5.227409
0.0,10,5.229344
1.0,44,5.238118
1.0,101,5.257505
0.0,15,5.260391
0.0,19,5.264046
1.0,41,5.272031
1.0,53,5.28246
0.0,86,5.298901
1.0,69,5.312183
0.0,21,5.316254
0.0,42,5.324381
1.0,131,5.349618
1.0,49,5.359072
1.0,53,5.369285
0.0,90,5.386818
1.0,68,5.400038
1.0,65,5.412588
1.0,50,5.422311
0.0,15,5.425423
1.0,44,5.433948
0.0,93,5.451924
0.0,9,5.453691
1.0,38,5.461087
0.0,4,5.461869
1.0,63,5.474027
1.0,48,5.483428
0.0,23,5.487961
0.0,11,5.490133
1.0,38,5.49754
1.0,99,5.516577
1.0,74,5.530911
0.0,17,5.534254
1.0,43,5.542586
1.0,43,5.550967
1.0,38,5.558373
1.0,51,5.568473
0.0,4,5.569307
1.0,38,5.576771
0.0,67,5.589925
1.0,43,5.598214
0.0,19,5.601893
0.0,4,5.602667
1.0,38,5.610081
1.0,41,5.618017
0.0,4,5.619037
1.0,39,5.626616
1.0,52,5.636763
0.0,49,5.646257
0.0,13,5.648857
0.0,25,5.653938
0.0,27,5.65919
0.0,19,5.662839
0.0,29,5.668519
1.0,39,5.6763
1.0,44,5.684867
1.0,38,5.692232
1.0,43,5.70055
0.0,9,5.702303
0.0,6,5.703427
0.0,17,5.706819
1.0,44,5.715292
0.0,11,5.71742
0.0,112,5.738933
0.0,6,5.740133
0.0,31,5.746144
1.0,40,5.753918
1.0,46,5.762784
1.0,45,5.771541
1.0,43,5.779842
1.0,43,5.788162
0.0,6,5.789291
1.0,40,5.797062
0.0,22,5.801329
0.0,12,5.803613
1.0,46,5.812455
1.0,38,5.820044
