episodes,steps,total reward
21,1000,0.0
28,2000,0.0
36,3000,0.0
42,4000,0.0
45,5000,0.0
59,6000,0.0
65,7000,0.0
69,8000,0.0
71,9000,0.0
80,10000,0.0
88,11000,0.0
95,12000,0.0
104,13000,0.0
108,14000,0.0
115,15000,0.0
118,16000,0.0
119,17000,0.0
130,18000,0.0
135,19000,1.0
145,20000,0.0
149,21000,1.0
157,22000,3.0
162,23000,5.0
177,24000,6.0
190,25000,8.0
205,26000,10.0
232,27000,15.0
258,28000,20.0
287,29000,17.0
306,30000,12.0
336,31000,17.0
363,32000,19.0
389,33000,19.0
417,34000,19.0
446,35000,18.0
475,36000,19.0
500,37000,21.0
524,38000,20.0
553,39000,21.0
582,40000,19.0
611,41000,18.0
639,42000,19.0
666,43000,17.0
694,44000,19.0
721,45000,17.0
748,46000,17.0
779,47000,17.0
804,48000,20.0
834,49000,19.0
862,50000,18.0
889,51000,19.0
916,52000,18.0
944,53000,19.0
972,54000,21.0
1002,55000,18.0
1032,56000,19.0
1058,57000,19.0
1087,58000,20.0
1115,59000,19.0
1143,60000,20.0
1169,61000,19.0
1195,62000,18.0
1227,63000,15.0
1253,64000,19.0
1282,65000,18.0
1309,66000,21.0
1339,67000,21.0
1369,68000,19.0
1394,69000,20.0
1420,70000,19.0
1445,71000,22.0
1475,72000,19.0
1504,73000,18.0
1536,74000,19.0
1562,75000,21.0
1589,76000,20.0
1620,77000,19.0
1653,78000,19.0
1681,79000,20.0
1706,80000,19.0
1733,81000,21.0
1764,82000,18.0
1792,83000,19.0
1822,84000,17.0
1850,85000,20.0
1881,86000,19.0
1914,87000,18.0
1944,88000,19.0
1968,89000,21.0
1994,90000,18.0
2021,91000,20.0
2051,92000,21.0
2079,93000,17.0
2110,94000,18.0
2137,95000,17.0
2167,96000,19.0
2193,97000,21.0
2220,98000,20.0
2249,99000,18.0
2278,100000,20.0
