# {"t_start": 1643107974.639265, "env_id": "Office-single-v0"} 
r,l,t
0.0,6,0.001623
0.0,79,0.019967
0.0,16,0.023607
0.0,8,0.025469
0.0,21,0.030337
0.0,16,0.034067
0.0,18,0.038273
0.0,7,0.039989
0.0,37,0.049196
0.0,41,0.058978
0.0,26,0.065022
0.0,30,0.072034
0.0,28,0.078641
0.0,42,0.088546
0.0,128,0.1175
0.0,71,0.133973
0.0,30,0.140965
0.0,122,0.169055
0.0,65,0.184069
0.0,58,0.197498
0.0,115,0.223945
0.0,84,0.243501
0.0,105,0.267698
0.0,69,0.284169
0.0,84,0.303855
0.0,261,0.363165
0.0,106,0.388308
0.0,136,0.419544
0.0,25,0.425392
0.0,97,0.447911
0.0,141,0.480451
0.0,401,0.572485
0.0,24,0.578148
0.0,63,0.593117
0.0,542,0.718283
0.0,123,0.746673
0.0,278,0.811129
0.0,360,0.894555
0.0,379,0.982147
0.0,20,0.987021
0.0,4,0.987972
0.0,4,0.988924
0.0,533,1.111804
0.0,17,1.11588
0.0,420,1.212666
0.0,107,1.237323
0.0,69,1.25322
0.0,339,1.331445
0.0,48,1.342679
0.0,26,1.348681
0.0,14,1.351964
0.0,2,1.352458
0.0,47,1.363326
0.0,22,1.368441
0.0,93,1.389384
0.0,9,1.391518
0.0,19,1.395926
0.0,126,1.424633
0.0,272,1.487425
0.0,15,1.490971
0.0,160,1.5279
0.0,168,1.566388
0.0,87,1.586442
0.0,228,1.639196
0.0,309,1.71026
0.0,190,1.754301
0.0,90,1.77474
0.0,6,1.776158
0.0,114,1.803008
0.0,702,1.965972
0.0,368,2.050905
0.0,557,2.179267
0.0,163,2.21728
0.0,427,2.31712
0.0,351,2.400301
0.0,248,2.458848
0.0,42,2.468659
0.0,57,2.481679
0.0,16,2.485425
0.0,20,2.49012
0.0,68,2.505785
0.0,61,2.519988
0.0,76,2.537821
0.0,261,2.598665
0.0,83,2.617777
0.0,180,2.659835
0.0,118,2.687188
0.0,101,2.71068
0.0,328,2.787301
0.0,76,2.804875
0.0,110,2.830665
0.0,317,2.905129
0.0,46,2.915733
0.0,146,2.949841
0.0,716,3.116348
0.0,46,3.127213
0.0,156,3.16278
0.0,89,3.183156
0.0,21,3.187985
0.0,342,3.266596
0.0,58,3.280448
0.0,125,3.309739
0.0,89,3.330103
0.0,109,3.355268
0.0,67,3.370613
0.0,694,3.530921
0.0,166,3.569083
0.0,59,3.582527
0.0,35,3.590592
0.0,176,3.631393
0.0,351,3.711899
0.0,7,3.713612
0.0,216,3.763204
0.0,81,3.782013
0.0,566,3.914055
0.0,14,3.917386
0.0,32,3.924604
0.0,300,3.993351
0.0,16,3.99707
0.0,354,4.078394
0.0,608,4.218896
0.0,216,4.268584
0.0,912,4.479378
0.0,120,4.506942
0.0,225,4.559382
0.0,43,4.569077
0.0,230,4.62168
0.0,129,4.651946
0.0,357,4.734881
0.0,461,4.841977
0.0,333,4.918699
0.0,209,4.966562
0.0,280,5.031315
0.0,326,5.106598
0.0,75,5.123631
0.0,201,5.169809
0.0,489,5.282568
0.0,835,5.476749
0.0,249,5.533878
0.0,97,5.556224
0.0,767,5.733083
0.0,77,5.750782
0.0,80,5.768997
0.0,20,5.773651
0.0,90,5.79473
0.0,85,5.814444
0.0,316,5.887792
