episodes,steps,total reward
21,1000,0.0
31,2000,1.0
39,3000,1.0
43,4000,0.0
44,5000,0.0
52,6000,0.0
55,7000,0.0
60,8000,0.0
64,9000,0.0
68,10000,0.0
78,11000,0.0
86,12000,0.0
94,13000,0.0
99,14000,0.0
103,15000,0.0
112,16000,0.0
122,17000,1.0
128,18000,0.0
133,19000,0.0
138,20000,1.0
146,21000,4.0
155,22000,2.0
159,23000,0.0
168,24000,2.0
179,25000,5.0
185,26000,3.0
198,27000,4.0
218,28000,12.0
242,29000,16.0
269,30000,20.0
298,31000,19.0
327,32000,19.0
363,33000,23.0
397,34000,25.0
434,35000,27.0
471,36000,25.0
507,37000,29.0
544,38000,26.0
583,39000,27.0
622,40000,27.0
665,41000,28.0
703,42000,27.0
738,43000,31.0
773,44000,26.0
811,45000,30.0
846,46000,28.0
882,47000,29.0
918,48000,29.0
953,49000,29.0
986,50000,29.0
1025,51000,26.0
1067,52000,29.0
1103,53000,26.0
1141,54000,28.0
1175,55000,27.0
1214,56000,31.0
1250,57000,28.0
1290,58000,30.0
1325,59000,26.0
1363,60000,29.0
1402,61000,31.0
1439,62000,31.0
1483,63000,30.0
1519,64000,29.0
1557,65000,28.0
1593,66000,29.0
1634,67000,28.0
1669,68000,29.0
1707,69000,32.0
1747,70000,30.0
1784,71000,27.0
1818,72000,29.0
1851,73000,29.0
1888,74000,31.0
1934,75000,28.0
1965,76000,29.0
2001,77000,30.0
2039,78000,27.0
2080,79000,30.0
2115,80000,29.0
2153,81000,27.0
2192,82000,28.0
2237,83000,27.0
2274,84000,28.0
2309,85000,27.0
2343,86000,30.0
2379,87000,28.0
2418,88000,29.0
2458,89000,27.0
2497,90000,27.0
2534,91000,29.0
2573,92000,28.0
2611,93000,31.0
2646,94000,28.0
2686,95000,26.0
2726,96000,29.0
2760,97000,29.0
2801,98000,30.0
2838,99000,29.0
2875,100000,29.0
