# {"t_start": 1641743010.189107, "env_id": "Office-v0"} 
r,l,t
0.0,27,0.01109
0.0,10,0.015062
0.0,14,0.02074
0.0,37,0.034561
0.0,8,0.037756
0.0,66,0.06288
0.0,15,0.068561
0.0,49,0.087434
0.0,26,0.097245
0.0,51,0.116907
0.0,36,0.13073
0.0,32,0.142837
0.0,37,0.156769
0.0,37,0.170632
0.0,136,0.221797
0.0,38,0.235996
1.0,56,0.256931
0.0,83,0.287902
0.0,79,0.317937
0.0,14,0.32324
0.0,128,0.371257
0.0,66,0.396524
0.0,115,0.441172
0.0,85,0.475176
0.0,60,0.497885
0.0,86,0.530228
0.0,219,0.612614
0.0,148,0.667438
0.0,165,0.729715
0.0,18,0.736621
0.0,65,0.761736
0.0,27,0.77248
0.0,216,0.854764
1.0,151,0.91092
0.0,40,0.926502
0.0,45,0.94305
0.0,170,1.007823
0.0,287,1.117659
0.0,820,1.429033
0.0,104,1.467891
0.0,22,1.4763
0.0,582,1.697668
0.0,10,1.701613
0.0,295,1.811226
0.0,163,1.873348
0.0,531,2.075172
0.0,15,2.081322
0.0,33,2.093935
0.0,53,2.114252
0.0,21,2.12227
0.0,12,2.126917
0.0,257,2.223467
0.0,424,2.385172
0.0,7,2.387972
0.0,105,2.4279
0.0,181,2.496383
0.0,83,2.528009
0.0,17,2.534561
0.0,31,2.546354
0.0,11,2.550609
0.0,137,2.602679
0.0,16,2.608781
0.0,28,2.619308
0.0,47,2.637037
0.0,111,2.679715
0.0,256,2.77706
0.0,11,2.781361
0.0,243,2.872632
0.0,37,2.886787
0.0,176,2.953235
0.0,38,2.967908
0.0,136,3.019116
0.0,42,3.035255
0.0,12,3.040071
0.0,39,3.055179
0.0,489,3.243566
0.0,1000,3.625149
0.0,117,3.669795
0.0,59,3.692664
0.0,79,3.723258
0.0,116,3.767146
0.0,176,3.834076
0.0,483,4.018337
0.0,18,4.025216
0.0,9,4.028682
0.0,2,4.02949
0.0,25,4.039069
0.0,57,4.060646
0.0,245,4.154573
0.0,461,4.32761
0.0,64,4.352203
0.0,89,4.385873
0.0,203,4.463176
0.0,142,4.517747
0.0,176,4.585861
0.0,52,4.605757
0.0,42,4.622177
0.0,90,4.655818
0.0,66,4.680871
0.0,160,4.741862
0.0,62,4.765842
0.0,90,4.799794
0.0,29,4.810905
0.0,248,4.905029
0.0,32,4.917221
0.0,99,4.955043
0.0,174,5.022543
0.0,837,5.340477
1.0,577,5.561032
0.0,68,5.587532
0.0,92,5.622176
0.0,511,5.816885
0.0,22,5.825349
0.0,736,6.105403
0.0,177,6.173714
0.0,27,6.184078
0.0,115,6.227894
0.0,69,6.25415
1.0,516,6.450915
0.0,279,6.55705
0.0,150,6.614413
0.0,123,6.660664
0.0,62,6.684464
0.0,248,6.777722
0.0,37,6.791922
0.0,16,6.798067
0.0,23,6.806663
0.0,56,6.827981
0.0,137,6.881036
0.0,32,6.893533
0.0,424,7.05614
0.0,94,7.091846
0.0,48,7.109931
0.0,273,7.213419
0.0,8,7.216563
0.0,241,7.308339
0.0,98,7.345807
0.0,21,7.353883
0.0,246,7.447854
0.0,8,7.45103
1.0,139,7.504177
0.0,45,7.520864
0.0,253,7.617973
1.0,477,7.800092
0.0,16,7.806266
