episodes,steps,total reward
26,1000,0.0
35,2000,0.0
41,3000,0.0
47,4000,0.0
56,5000,0.0
59,6000,0.0
64,7000,0.0
69,8000,0.0
76,9000,0.0
81,10000,0.0
90,11000,0.0
97,12000,0.0
109,13000,0.0
111,14000,0.0
116,15000,0.0
121,16000,0.0
126,17000,0.0
130,18000,0.0
137,19000,0.0
143,20000,0.0
148,21000,0.0
151,22000,1.0
158,23000,2.0
168,24000,3.0
176,25000,3.0
182,26000,5.0
198,27000,4.0
213,28000,4.0
227,29000,4.0
239,30000,5.0
253,31000,7.0
268,32000,9.0
283,33000,7.0
301,34000,9.0
318,35000,11.0
333,36000,8.0
344,37000,8.0
360,38000,10.0
381,39000,8.0
402,40000,10.0
420,41000,11.0
441,42000,8.0
460,43000,11.0
481,44000,10.0
498,45000,10.0
517,46000,9.0
538,47000,10.0
555,48000,10.0
574,49000,11.0
591,50000,8.0
613,51000,9.0
632,52000,11.0
654,53000,10.0
671,54000,10.0
688,55000,12.0
708,56000,10.0
725,57000,11.0
741,58000,12.0
766,59000,8.0
783,60000,11.0
797,61000,12.0
820,62000,10.0
840,63000,8.0
857,64000,11.0
872,65000,12.0
892,66000,10.0
912,67000,7.0
931,68000,10.0
949,69000,10.0
970,70000,10.0
989,71000,11.0
1006,72000,12.0
1022,73000,9.0
1041,74000,8.0
1064,75000,9.0
1084,76000,9.0
1107,77000,8.0
1125,78000,11.0
1146,79000,8.0
1164,80000,10.0
1181,81000,11.0
1203,82000,9.0
1224,83000,9.0
1241,84000,9.0
1258,85000,10.0
1273,86000,12.0
1289,87000,12.0
1306,88000,11.0
1321,89000,11.0
1342,90000,11.0
1359,91000,11.0
1377,92000,12.0
1393,93000,11.0
1411,94000,10.0
1431,95000,8.0
1449,96000,10.0
1471,97000,11.0
1494,98000,8.0
1508,99000,12.0
1527,100000,10.0
