episodes,steps,total reward
837,1000,838.0
1725,2000,888.0
2617,3000,892.0
3506,4000,888.0
4380,5000,875.0
5266,6000,886.0
6130,7000,864.0
7004,8000,874.0
7879,9000,875.0
8767,10000,888.0
9630,11000,863.0
10525,12000,895.0
11389,13000,864.0
12263,14000,874.0
13154,15000,891.0
14008,16000,854.0
14896,17000,888.0
15763,18000,867.0
16623,19000,860.0
17502,20000,879.0
18375,21000,872.0
19270,22000,896.0
20140,23000,870.0
21037,24000,896.0
21908,25000,872.0
22786,26000,878.0
23672,27000,886.0
24544,28000,872.0
25431,29000,887.0
26324,30000,893.0
27199,31000,875.0
28062,32000,863.0
28937,33000,875.0
29800,34000,863.0
30664,35000,864.0
31550,36000,886.0
32438,37000,888.0
33305,38000,867.0
34189,39000,884.0
35098,40000,909.0
35988,41000,889.0
36851,42000,864.0
37711,43000,860.0
38607,44000,896.0
39481,45000,874.0
40351,46000,869.0
41230,47000,879.0
42122,48000,893.0
42983,49000,861.0
43866,50000,883.0
44733,51000,867.0
45594,52000,861.0
46494,53000,900.0
47364,54000,870.0
48261,55000,897.0
49111,56000,850.0
49995,57000,884.0
50851,58000,856.0
51710,59000,859.0
52604,60000,894.0
53489,61000,885.0
54379,62000,890.0
55275,63000,896.0
56164,64000,889.0
57049,65000,885.0
57930,66000,881.0
58811,67000,880.0
59707,68000,897.0
60600,69000,893.0
61466,70000,866.0
62349,71000,883.0
63246,72000,896.0
64110,73000,865.0
64984,74000,874.0
65849,75000,864.0
66726,76000,877.0
67574,77000,849.0
68463,78000,889.0
69342,79000,879.0
70218,80000,876.0
71071,81000,853.0
71947,82000,876.0
72844,83000,897.0
73721,84000,876.0
74615,85000,895.0
75511,86000,896.0
76387,87000,875.0
77271,88000,885.0
78125,89000,854.0
79011,90000,886.0
79899,91000,888.0
80791,92000,892.0
81664,93000,873.0
82524,94000,860.0
83407,95000,883.0
84290,96000,882.0
85123,97000,834.0
85982,98000,858.0
86854,99000,873.0
87753,100000,899.0
