# {"t_start": 1641709124.939847, "env_id": "Office-v0"} 
r,l,t
0.0,14,0.004876
0.0,46,0.017672
0.0,11,0.020782
1.0,30,0.029993
0.0,9,0.032514
0.0,9,0.03548
0.0,64,0.052949
0.0,47,0.065838
1.0,35,0.075365
0.0,41,0.086468
0.0,38,0.096826
0.0,54,0.111417
0.0,78,0.132749
0.0,36,0.142604
0.0,17,0.147275
0.0,37,0.157415
1.0,60,0.173753
0.0,78,0.195066
0.0,12,0.198463
0.0,91,0.223291
0.0,20,0.228781
0.0,185,0.27961
0.0,54,0.295424
0.0,109,0.327697
0.0,12,0.331077
0.0,44,0.343337
0.0,171,0.390344
0.0,50,0.403762
0.0,48,0.417027
0.0,78,0.438382
0.0,11,0.441463
0.0,211,0.500232
0.0,111,0.530887
0.0,23,0.53728
0.0,76,0.55867
0.0,16,0.563138
0.0,454,0.689396
0.0,105,0.717708
0.0,129,0.753901
1.0,6,0.755625
0.0,422,0.873175
0.0,19,0.878643
0.0,17,0.883363
0.0,233,0.94707
0.0,72,0.967006
0.0,73,0.986114
0.0,199,1.041241
0.0,43,1.053157
0.0,91,1.078313
0.0,251,1.151939
0.0,9,1.154537
0.0,290,1.233745
0.0,188,1.285599
0.0,50,1.299264
0.0,84,1.322387
0.0,100,1.349605
0.0,22,1.355715
0.0,29,1.363727
0.0,129,1.399935
1.0,7,1.402504
0.0,72,1.423337
1.0,249,1.491246
0.0,24,1.497907
0.0,6,1.499591
0.0,38,1.51013
0.0,72,1.53006
0.0,52,1.544435
0.0,16,1.548889
0.0,729,1.753163
0.0,133,1.789185
0.0,27,1.796668
0.0,8,1.798925
0.0,56,1.814389
0.0,79,1.836225
0.0,127,1.871444
0.0,314,1.958435
0.0,275,2.034503
0.0,149,2.075064
0.0,31,2.083686
0.0,10,2.086694
0.0,27,2.094136
0.0,89,2.118009
0.0,104,2.146782
0.0,689,2.340158
0.0,116,2.372379
0.0,80,2.393723
0.0,136,2.431299
0.0,212,2.48929
0.0,92,2.51626
0.0,31,2.524904
0.0,162,2.571182
0.0,200,2.625925
0.0,18,2.63097
0.0,12,2.634294
1.0,762,2.84689
0.0,15,2.851127
0.0,772,3.063926
0.0,321,3.155481
0.0,54,3.170429
1.0,6,3.172115
0.0,27,3.179615
0.0,33,3.188423
0.0,61,3.20534
0.0,49,3.218341
0.0,137,3.25605
0.0,93,3.281322
0.0,57,3.297134
0.0,120,3.329619
1.0,94,3.35671
0.0,19,3.362058
0.0,227,3.426736
0.0,144,3.466435
0.0,277,3.543034
0.0,518,3.687492
0.0,123,3.721756
0.0,62,3.738909
0.0,31,3.747466
0.0,73,3.767758
0.0,32,3.776604
0.0,169,3.823422
0.0,39,3.834263
0.0,16,3.838729
0.0,62,3.855702
0.0,1000,4.131569
1.0,162,4.176295
0.0,133,4.216145
0.0,44,4.228304
0.0,251,4.297928
0.0,534,4.444628
0.0,15,4.449215
0.0,573,4.609252
0.0,145,4.648373
0.0,249,4.718068
0.0,4,4.719256
0.0,488,4.856056
0.0,206,4.912227
0.0,359,5.012114
0.0,219,5.07439
0.0,205,5.130786
0.0,88,5.154784
0.0,582,5.319884
0.0,268,5.394247
1.0,392,5.501559
1.0,4,5.502705
0.0,53,5.517237
0.0,70,5.535894
0.0,24,5.542505
1.0,6,5.544209
1.0,43,5.556074
0.0,144,5.59712
0.0,407,5.70975
1.0,4,5.710974
1.0,194,5.765184
1.0,574,5.924747
0.0,190,5.977688
1.0,4,5.978882
1.0,79,6.000899
0.0,233,6.065401
0.0,11,6.06856
1.0,4,6.069715
1.0,95,6.096646
0.0,21,6.102519
1.0,149,6.144826
1.0,4,6.145997
0.0,101,6.176318
1.0,255,6.246887
1.0,259,6.31834
1.0,4,6.319497
1.0,66,6.337692
1.0,105,6.366329
0.0,84,6.38936
1.0,4,6.390568
1.0,44,6.403577
1.0,138,6.442422
0.0,51,6.457224
1.0,4,6.458397
0.0,50,6.472341
0.0,6,6.474056
1.0,120,6.50673
1.0,6,6.508393
1.0,36,6.518333
0.0,36,6.528465
0.0,44,6.54153
1.0,4,6.542694
0.0,43,6.554538
0.0,25,6.561465
0.0,110,6.591796
1.0,4,6.592963
1.0,11,6.596006
1.0,105,6.625068
1.0,204,6.681772
1.0,4,6.682935
1.0,12,6.686597
0.0,4,6.688237
0.0,89,6.714287
1.0,4,6.71549
1.0,11,6.718533
0.0,179,6.767734
0.0,31,6.776277
1.0,4,6.777425
1.0,15,6.781563
1.0,53,6.796177
1.0,78,6.817632
1.0,4,6.818789
1.0,11,6.821819
0.0,14,6.825724
1.0,149,6.866916
1.0,4,6.868071
1.0,13,6.871648
1.0,134,6.907995
0.0,9,6.910504
1.0,4,6.911654
1.0,11,6.914698
0.0,83,6.937709
1.0,86,6.961723
1.0,4,6.962918
1.0,11,6.966826
1.0,110,6.99929
1.0,375,7.101228
1.0,8,7.103485
1.0,13,7.107039
0.0,133,7.144531
0.0,36,7.154539
1.0,4,7.155703
1.0,11,7.158769
1.0,192,7.212602
1.0,95,7.239402
1.0,4,7.240563
1.0,12,7.243912
