episodes,steps,total reward
24,1000,0.0
36,2000,0.0
39,3000,1.0
44,4000,0.0
56,5000,0.0
62,6000,0.0
69,7000,0.0
80,8000,0.0
89,9000,1.0
95,10000,1.0
102,11000,0.0
113,12000,0.0
122,13000,1.0
130,14000,0.0
136,15000,0.0
143,16000,1.0
149,17000,0.0
155,18000,0.0
159,19000,0.0
163,20000,0.0
173,21000,4.0
179,22000,4.0
187,23000,1.0
194,24000,3.0
206,25000,11.0
222,26000,14.0
239,27000,12.0
268,28000,17.0
297,29000,23.0
325,30000,24.0
360,31000,24.0
397,32000,29.0
436,33000,36.0
478,34000,33.0
523,35000,33.0
566,36000,33.0
610,37000,33.0
658,38000,35.0
699,39000,35.0
749,40000,36.0
797,41000,36.0
841,42000,38.0
886,43000,38.0
928,44000,35.0
971,45000,34.0
1019,46000,37.0
1065,47000,34.0
1107,48000,35.0
1156,49000,34.0
1200,50000,37.0
1246,51000,33.0
1293,52000,37.0
1337,53000,34.0
1382,54000,39.0
1430,55000,36.0
1478,56000,36.0
1523,57000,34.0
1567,58000,38.0
1611,59000,37.0
1654,60000,36.0
1703,61000,32.0
1749,62000,35.0
1794,63000,33.0
1839,64000,36.0
1885,65000,37.0
1931,66000,36.0
1978,67000,39.0
2024,68000,35.0
2071,69000,36.0
2119,70000,36.0
2166,71000,34.0
2213,72000,37.0
2258,73000,35.0
2305,74000,35.0
2348,75000,37.0
2393,76000,36.0
2440,77000,35.0
2486,78000,37.0
2532,79000,36.0
2578,80000,35.0
2623,81000,34.0
2672,82000,36.0
2718,83000,36.0
2765,84000,38.0
2810,85000,36.0
2851,86000,38.0
2902,87000,38.0
2947,88000,39.0
2994,89000,38.0
3043,90000,36.0
3089,91000,35.0
3134,92000,36.0
3178,93000,36.0
3223,94000,37.0
3271,95000,35.0
3318,96000,38.0
3361,97000,38.0
3410,98000,37.0
3459,99000,36.0
3506,100000,38.0
