# {"t_start": 1641116312.9711163, "env_id": "Office-single-v0"} 
r,l,t
0.0,17,0.003628
0.0,21,0.007713
0.0,11,0.009844
0.0,31,0.015711
0.0,23,0.020128
0.0,46,0.028685
0.0,52,0.038213
0.0,24,0.04275
0.0,30,0.048436
0.0,11,0.050529
0.0,9,0.052235
0.0,70,0.065984
0.0,69,0.078947
0.0,48,0.088024
0.0,39,0.095363
0.0,46,0.103941
0.0,18,0.107436
0.0,109,0.127651
0.0,101,0.146811
0.0,89,0.163852
0.0,97,0.182356
0.0,101,0.201013
0.0,112,0.222071
0.0,119,0.244171
0.0,76,0.25842
0.0,151,0.287013
0.0,21,0.290978
0.0,202,0.32911
0.0,240,0.377129
0.0,683,0.504641
0.0,152,0.532977
0.0,353,0.598669
0.0,237,0.643337
0.0,123,0.666168
0.0,146,0.69377
0.0,28,0.699085
0.0,2,0.699501
0.0,15,0.702359
0.0,35,0.708945
0.0,10,0.710898
0.0,11,0.713054
0.0,385,0.785911
0.0,162,0.816144
0.0,6,0.817326
0.0,281,0.870069
0.0,77,0.884581
0.0,525,0.98324
0.0,25,0.988056
0.0,63,0.999959
0.0,10,1.001876
0.0,26,1.006666
0.0,272,1.057163
0.0,129,1.081252
0.0,454,1.166498
0.0,25,1.171221
0.0,64,1.183178
0.0,183,1.217026
0.0,55,1.227418
0.0,209,1.26649
0.0,1000,1.453853
0.0,221,1.495178
0.0,197,1.532093
0.0,531,1.631411
0.0,361,1.698751
0.0,309,1.756955
0.0,104,1.776329
0.0,30,1.781984
0.0,544,1.884119
0.0,79,1.899493
0.0,77,1.914361
0.0,19,1.917965
0.0,317,1.978523
0.0,29,1.984007
0.0,294,2.03976
0.0,333,2.102839
0.0,6,2.104055
0.0,25,2.108815
0.0,323,2.169981
0.0,50,2.179333
0.0,9,2.181079
0.0,24,2.185584
0.0,12,2.187981
0.0,10,2.189912
0.0,37,2.196834
0.0,38,2.203946
0.0,16,2.207016
0.0,119,2.229514
0.0,43,2.237635
0.0,16,2.240679
0.0,23,2.245065
0.0,4,2.24585
0.0,121,2.268829
0.0,6,2.270005
0.0,81,2.285345
1.0,180,2.318789
0.0,32,2.324804
0.0,11,2.326899
0.0,53,2.336879
0.0,230,2.37996
0.0,152,2.408525
0.0,563,2.515388
0.0,461,2.602735
0.0,101,2.621866
0.0,11,2.623988
0.0,217,2.665255
0.0,128,2.689325
0.0,28,2.694666
0.0,250,2.741277
0.0,572,2.849531
0.0,715,2.984203
0.0,116,3.005983
0.0,117,3.028033
0.0,6,3.029224
0.0,613,3.143888
0.0,6,3.145153
0.0,53,3.155212
0.0,169,3.187083
0.0,147,3.214775
0.0,69,3.227634
0.0,100,3.246281
0.0,58,3.257325
0.0,130,3.281577
0.0,177,3.314804
0.0,10,3.316739
1.0,39,3.324198
0.0,20,3.327984
0.0,247,3.374279
0.0,148,3.401864
0.0,127,3.42572
0.0,19,3.429355
0.0,48,3.438464
0.0,212,3.478225
0.0,57,3.489035
0.0,141,3.515448
0.0,278,3.567784
0.0,300,3.623884
0.0,8,3.625584
0.0,475,3.714804
0.0,8,3.716416
0.0,64,3.728333
0.0,27,3.733429
0.0,265,3.78374
0.0,13,3.786261
0.0,200,3.82415
0.0,13,3.826673
1.0,28,3.831994
1.0,58,3.84291
0.0,73,3.856637
0.0,4,3.857431
1.0,27,3.862559
0.0,232,3.906089
1.0,30,3.911798
0.0,4,3.912582
1.0,29,3.918093
1.0,36,3.924874
1.0,37,3.931924
1.0,29,3.937412
0.0,196,3.974004
1.0,25,3.978801
1.0,27,3.983906
1.0,28,3.989197
1.0,27,3.994297
1.0,31,4.000175
1.0,25,4.005053
1.0,25,4.009835
1.0,29,4.015317
1.0,29,4.020797
1.0,27,4.025914
0.0,19,4.029532
1.0,27,4.034644
1.0,30,4.040287
1.0,33,4.04659
0.0,6,4.047762
1.0,25,4.052502
0.0,6,4.053671
1.0,25,4.05841
1.0,30,4.064037
1.0,31,4.069873
1.0,28,4.07534
