episodes,steps,total reward
21,1000,0.0
31,2000,0.0
36,3000,0.0
42,4000,0.0
49,5000,0.0
58,6000,0.0
63,7000,0.0
65,8000,0.0
71,9000,0.0
76,10000,0.0
83,11000,0.0
86,12000,0.0
98,13000,0.0
105,14000,0.0
107,15000,0.0
115,16000,0.0
120,17000,0.0
127,18000,0.0
132,19000,0.0
136,20000,1.0
140,21000,1.0
152,22000,3.0
161,23000,4.0
177,24000,7.0
201,25000,16.0
238,26000,31.0
276,27000,27.0
314,28000,29.0
355,29000,29.0
397,30000,32.0
440,31000,30.0
482,32000,30.0
519,33000,33.0
561,34000,29.0
596,35000,30.0
636,36000,33.0
676,37000,34.0
715,38000,29.0
754,39000,32.0
795,40000,32.0
836,41000,32.0
878,42000,31.0
919,43000,32.0
959,44000,32.0
1002,45000,32.0
1040,46000,33.0
1080,47000,31.0
1121,48000,31.0
1160,49000,31.0
1200,50000,30.0
1242,51000,33.0
1283,52000,31.0
1323,53000,35.0
1365,54000,31.0
1406,55000,28.0
1445,56000,32.0
1486,57000,31.0
1526,58000,32.0
1567,59000,31.0
1607,60000,34.0
1645,61000,31.0
1684,62000,31.0
1725,63000,32.0
1764,64000,31.0
1809,65000,29.0
1849,66000,32.0
1893,67000,31.0
1933,68000,30.0
1976,69000,31.0
2015,70000,31.0
2055,71000,34.0
2093,72000,34.0
2131,73000,33.0
2172,74000,31.0
2215,75000,33.0
2253,76000,32.0
2295,77000,32.0
2337,78000,29.0
2377,79000,33.0
2415,80000,33.0
2456,81000,32.0
2494,82000,32.0
2533,83000,30.0
2575,84000,32.0
2617,85000,32.0
2659,86000,29.0
2702,87000,31.0
2744,88000,31.0
2784,89000,34.0
2825,90000,32.0
2864,91000,31.0
2903,92000,34.0
2943,93000,33.0
2983,94000,32.0
3023,95000,33.0
3063,96000,33.0
3102,97000,30.0
3146,98000,29.0
3186,99000,33.0
3224,100000,33.0
