episodes,steps,total reward
86,10000,17.0
214,20000,64.0
360,30000,80.0
495,40000,84.0
617,50000,71.0
743,60000,79.0
895,70000,91.0
1045,80000,88.0
1179,90000,82.0
1315,100000,85.0
1455,110000,84.0
1594,120000,79.0
1739,130000,89.0
1887,140000,82.0
2023,150000,86.0
2179,160000,90.0
2307,170000,77.0
2459,180000,89.0
2583,190000,76.0
2723,200000,94.0
2879,210000,91.0
3015,220000,82.0
3139,230000,80.0
3275,240000,92.0
3423,250000,91.0
3551,260000,75.0
3703,270000,90.0
3839,280000,81.0
4003,290000,97.0
4131,300000,81.0
4259,310000,74.0
4414,320000,100.0
4555,330000,86.0
4747,340000,107.0
4870,350000,67.0
5000,360000,78.0
5141,370000,80.0
5259,380000,71.0
5363,390000,65.0
5487,400000,75.0
5615,410000,80.0
5770,420000,100.0
5923,430000,87.0
6056,440000,78.0
6207,450000,92.0
6343,460000,81.0
6483,470000,91.0
6609,480000,75.0
6763,490000,92.0
6927,500000,92.0
7071,510000,85.0
7207,520000,75.0
7327,530000,74.0
7459,540000,81.0
7611,550000,93.0
7759,560000,85.0
7911,570000,95.0
8071,580000,88.0
8219,590000,89.0
8383,600000,103.0
8525,610000,89.0
8647,620000,67.0
8751,630000,62.0
8927,640000,117.0
9061,650000,81.0
9199,660000,86.0
9323,670000,72.0
9485,680000,100.0
9615,690000,71.0
9743,700000,80.0
9852,710000,68.0
10043,720000,106.0
10183,730000,86.0
10331,740000,91.0
10439,750000,65.0
10563,760000,79.0
10699,770000,86.0
10819,780000,64.0
10919,790000,63.0
11039,800000,75.0
11187,810000,84.0
11317,820000,90.0
11441,830000,81.0
11587,840000,92.0
11727,850000,81.0
11837,860000,71.0
11983,870000,92.0
12103,880000,76.0
12239,890000,84.0
12363,900000,78.0
12519,910000,95.0
12655,920000,80.0
12759,930000,62.0
12907,940000,89.0
13039,950000,77.0
13191,960000,94.0
13329,970000,82.0
13459,980000,88.0
13588,990000,74.0
13687,1000000,61.0
