# {"t_start": 1641692941.4837744, "env_id": "Office-single-v0"} 
r,l,t
0.0,21,0.005188
0.0,19,0.009893
0.0,11,0.012481
0.0,19,0.01699
0.0,44,0.027146
0.0,17,0.031164
0.0,18,0.035351
0.0,21,0.040761
0.0,45,0.050949
0.0,53,0.062858
0.0,21,0.067723
0.0,19,0.07222
0.0,36,0.080624
0.0,17,0.084582
0.0,33,0.092246
0.0,28,0.098892
0.0,59,0.112417
0.0,52,0.12486
0.0,22,0.129872
0.0,138,0.161266
0.0,2,0.161756
0.0,116,0.188233
0.0,13,0.191262
0.0,62,0.205858
0.0,68,0.221013
0.0,238,0.276289
0.0,101,0.299512
0.0,28,0.305971
0.0,52,0.317776
0.0,101,0.340794
0.0,58,0.353999
0.0,79,0.371936
0.0,122,0.399825
0.0,135,0.431155
0.0,106,0.45557
0.0,56,0.468579
0.0,145,0.502663
0.0,37,0.511438
0.0,231,0.563638
0.0,7,0.565316
0.0,13,0.568365
0.0,5,0.569533
0.0,128,0.598913
0.0,123,0.627325
0.0,112,0.653204
0.0,399,0.746002
0.0,285,0.81237
0.0,384,0.902162
0.0,239,0.958914
0.0,233,1.01246
0.0,292,1.079963
0.0,24,1.085522
0.0,283,1.150615
0.0,67,1.16631
0.0,119,1.19364
0.0,40,1.202963
0.0,241,1.257983
0.0,57,1.270916
0.0,10,1.273338
0.0,56,1.286297
0.0,6,1.287681
0.0,225,1.339776
0.0,482,1.452211
0.0,37,1.460934
0.0,30,1.467879
0.0,176,1.509049
0.0,302,1.579097
0.0,4,1.580078
0.0,503,1.696816
0.0,88,1.717471
1.0,99,1.740185
0.0,174,1.780537
0.0,99,1.803902
0.0,57,1.81849
1.0,73,1.835369
0.0,713,2.002819
0.0,95,2.024999
0.0,21,2.029873
0.0,14,2.033107
0.0,33,2.040833
0.0,190,2.084815
0.0,27,2.091485
1.0,42,2.101398
1.0,51,2.11316
1.0,367,2.198421
0.0,11,2.201006
1.0,42,2.210738
1.0,41,2.220228
0.0,134,2.251447
0.0,4,2.252379
1.0,40,2.261682
