# {"t_start": 1641695614.6993327, "env_id": "Office-v0"} 
r,l,t
0.0,38,0.018224
0.0,12,0.023915
0.0,17,0.03177
0.0,2,0.032666
0.0,25,0.044163
0.0,19,0.052885
0.0,46,0.073802
0.0,25,0.085379
0.0,16,0.092892
0.0,129,0.152499
0.0,101,0.19841
0.0,47,0.219777
0.0,7,0.222986
0.0,10,0.227489
0.0,29,0.240652
0.0,39,0.258324
0.0,61,0.286024
0.0,80,0.32221
0.0,99,0.366777
0.0,65,0.396153
0.0,53,0.420522
0.0,123,0.476767
0.0,2,0.477705
0.0,168,0.554527
0.0,157,0.626843
0.0,17,0.634705
0.0,45,0.655455
0.0,177,0.738115
0.0,101,0.78481
0.0,94,0.828014
0.0,103,0.875348
0.0,192,0.964513
0.0,156,1.037072
0.0,159,1.110086
0.0,101,1.157645
0.0,141,1.223613
0.0,279,1.354309
0.0,264,1.478518
0.0,176,1.562136
0.0,22,1.572497
0.0,8,1.576189
0.0,11,1.581264
0.0,9,1.585459
0.0,223,1.690141
0.0,285,1.824134
0.0,12,1.83
0.0,266,1.957602
0.0,461,2.17439
1.0,54,2.199819
0.0,157,2.274389
0.0,318,2.427517
0.0,11,2.432732
0.0,40,2.451916
0.0,15,2.458915
0.0,68,2.491099
0.0,47,2.512672
1.0,107,2.563329
0.0,214,2.664072
1.0,327,2.820144
0.0,22,2.83039
1.0,70,2.863701
0.0,164,2.941421
1.0,515,3.183524
0.0,6,3.186318
1.0,88,3.228138
0.0,140,3.2942
0.0,101,3.342089
0.0,4,3.344165
1.0,48,3.366815
0.0,115,3.421296
0.0,30,3.435802
0.0,66,3.466598
1.0,48,3.488872
0.0,172,3.569916
0.0,48,3.592818
0.0,185,3.680367
1.0,33,3.696046
0.0,57,3.723334
0.0,83,3.762322
0.0,22,3.772753
1.0,74,3.807581
0.0,115,3.862121
1.0,398,4.050354
0.0,12,4.05604
0.0,10,4.060746
0.0,239,4.173491
0.0,119,4.230209
1.0,88,4.27196
0.0,18,4.280655
0.0,66,4.311794
0.0,77,4.348041
1.0,56,4.374658
1.0,25,4.386355
0.0,83,4.426165
1.0,115,4.481108
0.0,30,4.495407
1.0,17,4.503418
0.0,30,4.517816
0.0,127,4.577319
1.0,53,4.602554
1.0,48,4.62526
1.0,78,4.662115
1.0,214,4.764691
0.0,31,4.77938
1.0,45,4.800632
1.0,113,4.854234
0.0,2,4.855247
0.0,25,4.866995
1.0,11,4.872074
1.0,68,4.90377
1.0,266,5.030585
0.0,19,5.039576
1.0,11,5.04489
0.0,47,5.067111
0.0,18,5.075367
1.0,57,5.102396
1.0,11,5.107631
1.0,191,5.197799
0.0,61,5.226367
0.0,10,5.231204
1.0,15,5.238235
1.0,60,5.266243
0.0,56,5.292551
0.0,8,5.29626
1.0,13,5.302405
0.0,19,5.311316
1.0,103,5.359964
1.0,43,5.380506
1.0,11,5.385792
1.0,105,5.435834
1.0,126,5.495202
1.0,68,5.527313
0.0,7,5.53056
0.0,31,5.545112
0.0,26,5.55703
1.0,52,5.581246
1.0,11,5.586286
1.0,42,5.605773
1.0,228,5.713581
0.0,6,5.716423
1.0,13,5.722604
0.0,70,5.756127
1.0,111,5.80898
1.0,42,5.829063
1.0,13,5.835136
0.0,32,5.850381
0.0,137,5.91543
1.0,44,5.936951
1.0,12,5.94248
1.0,115,5.996633
0.0,35,6.012955
1.0,44,6.033743
1.0,11,6.038915
1.0,52,6.062887
1.0,117,6.118576
0.0,17,6.126517
1.0,11,6.131896
0.0,11,6.137029
1.0,116,6.191931
0.0,23,6.202809
1.0,13,6.208871
0.0,30,6.223274
0.0,21,6.233174
1.0,40,6.252367
1.0,13,6.258399
1.0,84,6.29842
0.0,12,6.30392
0.0,41,6.323246
1.0,19,6.33208
0.0,14,6.338878
1.0,160,6.414155
0.0,6,6.416968
1.0,11,6.422523
1.0,30,6.436942
1.0,147,6.505873
1.0,43,6.526889
1.0,11,6.532195
1.0,217,6.634814
1.0,56,6.661011
0.0,11,6.66625
1.0,13,6.672427
1.0,31,6.686868
0.0,69,6.719498
0.0,15,6.726475
1.0,13,6.732694
1.0,57,6.759325
1.0,56,6.785567
1.0,45,6.807056
0.0,10,6.811728
0.0,79,6.849171
0.0,17,6.857346
1.0,51,6.881754
1.0,12,6.887309
1.0,55,6.913435
1.0,136,6.978088
1.0,43,6.998851
1.0,11,7.004118
1.0,57,7.031048
0.0,62,7.060504
1.0,46,7.08287
1.0,11,7.088035
1.0,46,7.109729
1.0,112,7.162436
1.0,46,7.184502
1.0,11,7.189784
1.0,30,7.203825
1.0,55,7.229845
1.0,46,7.251817
1.0,14,7.258245
1.0,33,7.273883
1.0,79,7.311175
1.0,42,7.331339
1.0,11,7.336619
1.0,42,7.356596
0.0,31,7.371312
1.0,44,7.392263
1.0,15,7.399406
1.0,61,7.428813
1.0,63,7.458791
1.0,43,7.479414
1.0,11,7.484446
1.0,38,7.50271
1.0,49,7.525836
1.0,46,7.548189
1.0,11,7.553586
0.0,13,7.559813
0.0,2,7.560743
1.0,43,7.581537
0.0,11,7.586671
1.0,143,7.654064
1.0,40,7.672579
0.0,40,7.691644
0.0,6,7.694493
1.0,46,7.716318
1.0,78,7.753254
1.0,42,7.773466
1.0,13,7.77978
1.0,42,7.799937
1.0,45,7.82124
0.0,28,7.834678
1.0,11,7.839941
1.0,38,7.858042
0.0,2,7.859111
1.0,40,7.878268
1.0,11,7.883654
1.0,51,7.90775
0.0,28,7.921407
1.0,46,7.943613
1.0,13,7.949712
1.0,23,7.960636
1.0,65,7.991398
0.0,25,8.00338
1.0,11,8.008519
1.0,32,8.023905
0.0,19,8.032965
1.0,50,8.056679
1.0,11,8.061686
0.0,28,8.074789
1.0,29,8.088483
1.0,44,8.109484
1.0,17,8.117338
0.0,15,8.124471
1.0,74,8.159587
1.0,41,8.179328
0.0,2,8.180233
1.0,29,8.19405
1.0,32,8.209174
1.0,44,8.230118
0.0,7,8.233569
1.0,41,8.253049
0.0,4,8.255085
1.0,49,8.278588
1.0,11,8.283742
1.0,26,8.296273
1.0,40,8.315386
0.0,8,8.319144
1.0,13,8.325298
0.0,4,8.327192
1.0,32,8.342473
1.0,48,8.365358
1.0,11,8.370687
0.0,31,8.385361
1.0,31,8.400084
1.0,46,8.421983
1.0,20,8.431459
0.0,36,8.448698
1.0,36,8.465816
1.0,44,8.486816
1.0,12,8.492658
1.0,29,8.506655
1.0,39,8.525627
0.0,48,8.548211
1.0,15,8.555409
1.0,27,8.568124
0.0,24,8.579301
1.0,51,8.603374
0.0,9,8.607597
