# {"t_start": 1643156639.8066268, "env_id": "Office-single-v0"} 
r,l,t
0.0,5,0.001493
0.0,53,0.015073
0.0,26,0.022884
0.0,31,0.030767
0.0,37,0.040244
0.0,23,0.046113
0.0,12,0.049209
0.0,10,0.051796
0.0,46,0.063516
0.0,26,0.070202
0.0,21,0.075647
0.0,17,0.080036
0.0,25,0.0865
0.0,200,0.137086
0.0,16,0.141321
0.0,72,0.160775
0.0,2,0.161328
0.0,7,0.163173
0.0,65,0.180774
0.0,82,0.203181
0.0,103,0.230648
0.0,2,0.231224
0.0,83,0.253035
0.0,30,0.260921
0.0,61,0.276994
0.0,102,0.30392
0.0,106,0.331762
0.0,6,0.333371
0.0,54,0.347442
0.0,18,0.352173
0.0,8,0.354295
0.0,92,0.378505
0.0,27,0.385676
0.0,174,0.431657
0.0,2,0.432243
0.0,184,0.479553
0.0,158,0.520838
0.0,62,0.53715
0.0,12,0.540367
0.0,78,0.560881
0.0,15,0.564863
0.0,74,0.584272
0.0,20,0.589542
0.0,131,0.624003
0.0,90,0.647299
0.0,402,0.752828
0.0,464,0.874079
0.0,927,1.117151
0.0,512,1.251848
0.0,390,1.354391
0.0,41,1.365138
0.0,39,1.375337
0.0,265,1.444918
0.0,60,1.460859
0.0,75,1.480075
0.0,16,1.484181
0.0,70,1.502503
0.0,293,1.579142
0.0,233,1.640115
0.0,146,1.679776
0.0,229,1.739771
0.0,113,1.769151
0.0,39,1.779387
0.0,81,1.800518
0.0,120,1.831845
0.0,201,1.884793
0.0,497,2.015803
0.0,65,2.033003
0.0,136,2.068613
0.0,49,2.081
0.0,46,2.09304
0.0,222,2.150821
0.0,50,2.164038
0.0,34,2.173013
0.0,96,2.198163
0.0,30,2.205971
0.0,30,2.213804
0.0,599,2.371361
0.0,262,2.440994
0.0,258,2.50907
0.0,25,2.515962
0.0,613,2.677956
0.0,70,2.696552
0.0,62,2.712663
0.0,35,2.721606
0.0,37,2.731047
0.0,24,2.737336
0.0,261,2.805557
0.0,23,2.811514
0.0,168,2.855829
0.0,26,2.862654
0.0,49,2.875448
0.0,133,2.910481
0.0,34,2.919395
0.0,9,2.921774
0.0,38,2.931715
0.0,347,3.022425
0.0,87,3.04537
0.0,368,3.141977
0.0,71,3.160769
0.0,38,3.17093
0.0,99,3.197177
0.0,69,3.215024
0.0,64,3.231954
0.0,24,3.238075
0.0,137,3.274042
0.0,427,3.385842
0.0,121,3.417251
0.0,124,3.45056
0.0,69,3.468783
0.0,31,3.476724
0.0,318,3.560257
0.0,506,3.694286
0.0,1000,3.956259
0.0,44,3.968182
0.0,33,3.977255
0.0,236,4.039151
0.0,301,4.117112
0.0,27,4.124264
0.0,274,4.19633
0.0,288,4.27169
0.0,227,4.330901
0.0,20,4.336276
0.0,49,4.349123
0.0,29,4.356568
0.0,42,4.367723
0.0,46,4.379735
0.0,37,4.389219
0.0,184,4.438058
0.0,226,4.497754
0.0,22,4.503643
0.0,65,4.520729
0.0,186,4.569238
0.0,317,4.652579
0.0,259,4.721042
0.0,668,4.896378
0.0,105,4.923565
0.0,362,5.018514
0.0,125,5.051381
0.0,132,5.0857
0.0,274,5.157749
0.0,16,5.162312
0.0,1000,5.426313
0.0,128,5.460464
0.0,48,5.472985
0.0,88,5.495663
0.0,278,5.568438
0.0,904,5.808207
0.0,291,5.885427
0.0,44,5.896852
0.0,44,5.908445
0.0,120,5.940447
0.0,36,5.950286
0.0,93,5.974789
0.0,181,6.02278
0.0,67,6.040106
0.0,6,6.041709
0.0,402,6.14849
0.0,50,6.161997
0.0,730,6.354346
0.0,121,6.386128
0.0,273,6.458166
0.0,411,6.565431
0.0,227,6.624568
0.0,193,6.675396
0.0,294,6.752787
0.0,71,6.771079
0.0,286,6.845756
0.0,307,6.927085
0.0,234,6.98842
0.0,49,7.001301
0.0,102,7.027839
0.0,115,7.057874
0.0,89,7.080849
0.0,27,7.087979
0.0,48,7.100364
0.0,10,7.102928
0.0,20,7.108147
0.0,519,7.244549
0.0,66,7.261844
0.0,12,7.265013
0.0,38,7.274993
0.0,403,7.381097
0.0,51,7.394443
0.0,281,7.468636
0.0,23,7.474602
0.0,375,7.572661
0.0,26,7.579566
0.0,62,7.595482
0.0,18,7.600174
0.0,861,7.825678
0.0,277,7.898993
0.0,64,7.916003
0.0,325,8.001876
0.0,118,8.032763
0.0,102,8.059359
0.0,115,8.089625
0.0,45,8.101449
0.0,200,8.153552
0.0,44,8.165492
0.0,107,8.193676
