episodes,steps,total reward
19,1000,0.0
30,2000,1.0
39,3000,0.0
44,4000,2.0
54,5000,1.0
59,6000,0.0
70,7000,1.0
78,8000,3.0
87,9000,3.0
94,10000,3.0
106,11000,7.0
114,12000,5.0
127,13000,6.0
145,14000,12.0
165,15000,15.0
190,16000,17.0
214,17000,14.0
242,18000,24.0
277,19000,27.0
321,20000,30.0
361,21000,30.0
398,22000,27.0
440,23000,27.0
482,24000,33.0
520,25000,31.0
558,26000,30.0
601,27000,30.0
646,28000,31.0
687,29000,31.0
730,30000,29.0
773,31000,31.0
815,32000,31.0
856,33000,30.0
898,34000,31.0
939,35000,30.0
979,36000,29.0
1024,37000,31.0
1064,38000,27.0
1103,39000,30.0
1145,40000,32.0
1183,41000,31.0
1223,42000,30.0
1264,43000,32.0
1303,44000,29.0
1346,45000,34.0
1386,46000,31.0
1429,47000,31.0
1467,48000,33.0
1510,49000,32.0
1551,50000,31.0
1591,51000,29.0
1630,52000,32.0
1669,53000,35.0
1711,54000,32.0
1754,55000,30.0
1795,56000,29.0
1839,57000,32.0
1880,58000,33.0
1919,59000,31.0
1963,60000,30.0
2003,61000,31.0
2043,62000,33.0
2082,63000,31.0
2122,64000,32.0
2164,65000,27.0
2207,66000,32.0
2247,67000,33.0
2286,68000,34.0
2325,69000,30.0
2367,70000,29.0
2409,71000,30.0
2447,72000,32.0
2485,73000,34.0
2523,74000,34.0
2567,75000,34.0
2613,76000,28.0
2651,77000,29.0
2693,78000,31.0
2735,79000,30.0
2776,80000,32.0
2816,81000,35.0
2863,82000,32.0
2903,83000,30.0
2945,84000,33.0
2986,85000,31.0
3026,86000,33.0
3068,87000,33.0
3111,88000,31.0
3151,89000,32.0
3189,90000,35.0
3227,91000,31.0
3268,92000,31.0
3311,93000,29.0
3347,94000,33.0
3387,95000,33.0
3431,96000,34.0
3475,97000,30.0
3514,98000,32.0
3550,99000,32.0
3589,100000,31.0
