episodes,steps,total reward
73,10000,0.0
129,20000,0.0
186,30000,0.0
243,40000,0.0
299,50000,0.0
343,60000,0.0
395,70000,0.0
457,80000,0.0
516,90000,0.0
562,100000,0.0
620,110000,0.0
667,120000,0.0
726,130000,0.0
777,140000,0.0
825,150000,0.0
874,160000,0.0
922,170000,0.0
974,180000,0.0
1025,190000,0.0
1070,200000,0.0
1121,210000,0.0
1161,220000,0.0
1208,230000,0.0
1258,240000,0.0
1311,250000,0.0
1357,260000,0.0
1404,270000,0.0
1467,280000,0.0
1519,290000,0.0
1559,300000,0.0
1605,310000,0.0
1654,320000,0.0
1699,330000,0.0
1746,340000,0.0
1795,350000,0.0
1841,360000,0.0
1891,370000,0.0
1938,380000,0.0
1975,390000,0.0
2031,400000,0.0
2085,410000,0.0
2138,420000,0.0
2177,430000,0.0
2220,440000,0.0
2268,450000,0.0
2327,460000,0.0
2376,470000,0.0
2427,480000,0.0
2480,490000,0.0
2527,500000,0.0
2576,510000,0.0
2627,520000,0.0
2663,530000,0.0
2709,540000,0.0
2747,550000,0.0
2784,560000,0.0
2830,570000,0.0
2872,580000,0.0
2922,590000,0.0
2979,600000,0.0
3031,610000,0.0
3076,620000,0.0
3128,630000,0.0
3177,640000,0.0
3225,650000,0.0
3276,660000,0.0
3328,670000,0.0
3384,680000,0.0
3422,690000,0.0
3476,700000,0.0
3517,710000,0.0
3579,720000,0.0
3621,730000,0.0
3668,740000,0.0
3711,750000,0.0
3757,760000,0.0
3812,770000,0.0
3867,780000,0.0
3925,790000,0.0
3987,800000,0.0
4031,810000,0.0
4071,820000,0.0
4120,830000,0.0
4163,840000,0.0
4206,850000,0.0
4252,860000,0.0
4302,870000,0.0
4371,880000,0.0
4423,890000,0.0
4473,900000,0.0
4524,910000,0.0
4578,920000,0.0
4629,930000,0.0
4669,940000,0.0
4715,950000,0.0
4763,960000,0.0
4809,970000,0.0
4864,980000,0.0
4915,990000,0.0
4966,1000000,0.0
