# {"t_start": 1643089066.9574852, "env_id": "Office-v0"} 
r,l,t
0.0,47,0.019601
0.0,10,0.023554
0.0,20,0.031345
0.0,4,0.032983
0.0,41,0.048601
0.0,35,0.062299
0.0,16,0.068461
0.0,29,0.079823
0.0,27,0.090383
0.0,24,0.099846
0.0,19,0.107335
0.0,39,0.12284
1.0,150,0.182115
0.0,113,0.227267
0.0,14,0.232817
0.0,23,0.242069
0.0,71,0.270303
0.0,51,0.290504
0.0,58,0.313395
0.0,69,0.34085
0.0,64,0.36581
0.0,115,0.410584
0.0,86,0.444393
0.0,142,0.500758
0.0,17,0.507576
0.0,42,0.52415
0.0,18,0.531351
0.0,28,0.542499
0.0,132,0.594579
0.0,105,0.63589
0.0,38,0.65092
0.0,194,0.727043
0.0,114,0.773296
0.0,58,0.796151
0.0,18,0.803335
0.0,14,0.808928
0.0,134,0.861645
1.0,320,0.987259
0.0,102,1.027428
0.0,86,1.061251
0.0,444,1.236764
0.0,268,1.342499
0.0,382,1.493257
0.0,459,1.674789
0.0,165,1.741301
0.0,2,1.742151
0.0,62,1.767135
0.0,172,1.835139
0.0,4,1.836802
0.0,14,1.842431
0.0,385,1.996946
0.0,411,2.16056
0.0,15,2.16665
0.0,34,2.180205
0.0,7,2.183024
0.0,42,2.199739
1.0,147,2.258393
0.0,34,2.271951
0.0,37,2.286884
0.0,78,2.31816
1.0,100,2.358188
0.0,215,2.443982
0.0,85,2.477661
0.0,53,2.498972
0.0,10,2.503005
0.0,35,2.516511
0.0,202,2.597096
0.0,106,2.639144
1.0,31,2.651607
0.0,313,2.777332
1.0,227,2.867459
0.0,139,2.923022
1.0,24,2.932734
0.0,154,2.993721
0.0,191,3.069671
0.0,209,3.152627
0.0,28,3.163799
0.0,36,3.178226
0.0,54,3.200157
0.0,59,3.223502
1.0,12,3.228335
1.0,202,3.30941
0.0,107,3.352515
0.0,109,3.395668
1.0,17,3.40252
1.0,102,3.443343
0.0,210,3.527085
0.0,66,3.55354
1.0,20,3.561582
0.0,13,3.56683
1.0,102,3.607737
0.0,67,3.634367
1.0,18,3.641528
0.0,111,3.685838
1.0,166,3.75239
0.0,274,3.8616
0.0,10,3.865615
0.0,39,3.881329
1.0,125,3.930869
0.0,125,3.980839
0.0,9,3.984489
0.0,43,4.001913
0.0,4,4.003569
0.0,33,4.017104
1.0,11,4.021541
1.0,187,4.096287
0.0,155,4.158063
0.0,33,4.17138
1.0,15,4.177408
1.0,186,4.250688
1.0,94,4.287762
0.0,56,4.310081
1.0,11,4.314479
1.0,88,4.349348
0.0,25,4.359239
0.0,32,4.371979
0.0,7,4.374786
0.0,56,4.397571
1.0,83,4.430257
0.0,172,4.498591
1.0,11,4.502994
0.0,14,4.508511
0.0,25,4.518503
0.0,65,4.544241
1.0,13,4.549411
1.0,68,4.576401
1.0,107,4.61866
0.0,66,4.644781
1.0,14,4.650376
0.0,18,4.657588
1.0,87,4.692274
0.0,224,4.782374
1.0,13,4.787577
1.0,101,4.827187
0.0,50,4.847007
0.0,677,5.115212
1.0,11,5.119865
0.0,4,5.121482
0.0,72,5.150168
0.0,67,5.176526
1.0,11,5.180906
1.0,150,5.240857
1.0,138,5.29618
0.0,106,5.338556
1.0,11,5.342963
0.0,4,5.344514
0.0,62,5.369128
0.0,1000,5.76492
0.0,9,5.768565
1.0,58,5.79162
0.0,83,5.824889
0.0,118,5.871803
