episodes,steps,total reward
21,1000,0.0
36,2000,0.0
46,3000,0.0
52,4000,0.0
56,5000,0.0
63,6000,0.0
71,7000,0.0
76,8000,2.0
83,9000,2.0
97,10000,5.0
110,11000,10.0
135,12000,10.0
162,13000,18.0
188,14000,17.0
221,15000,17.0
250,16000,17.0
276,17000,19.0
303,18000,17.0
331,19000,22.0
361,20000,20.0
390,21000,19.0
417,22000,20.0
446,23000,19.0
475,24000,21.0
505,25000,18.0
535,26000,20.0
563,27000,18.0
590,28000,20.0
615,29000,20.0
645,30000,18.0
672,31000,19.0
697,32000,21.0
728,33000,17.0
758,34000,19.0
786,35000,21.0
816,36000,19.0
843,37000,19.0
872,38000,19.0
903,39000,20.0
931,40000,20.0
959,41000,19.0
988,42000,18.0
1015,43000,21.0
1042,44000,22.0
1070,45000,21.0
1098,46000,17.0
1127,47000,19.0
1155,48000,20.0
1184,49000,17.0
1213,50000,18.0
1243,51000,18.0
1272,52000,19.0
1303,53000,16.0
1327,54000,21.0
1356,55000,18.0
1388,56000,16.0
1418,57000,18.0
1450,58000,16.0
1483,59000,14.0
1510,60000,22.0
1536,61000,21.0
1565,62000,17.0
1592,63000,21.0
1622,64000,18.0
1650,65000,18.0
1680,66000,19.0
1706,67000,21.0
1733,68000,19.0
1761,69000,20.0
1788,70000,21.0
1816,71000,17.0
1845,72000,21.0
1875,73000,18.0
1904,74000,18.0
1934,75000,19.0
1962,76000,21.0
1989,77000,21.0
2014,78000,21.0
2043,79000,20.0
2071,80000,16.0
2102,81000,17.0
2132,82000,18.0
2163,83000,19.0
2191,84000,20.0
2222,85000,19.0
2248,86000,20.0
2274,87000,21.0
2304,88000,19.0
2331,89000,18.0
2361,90000,21.0
2391,91000,19.0
2421,92000,16.0
2451,93000,15.0
2481,94000,18.0
2508,95000,20.0
2538,96000,19.0
2565,97000,20.0
2595,98000,20.0
2624,99000,21.0
2656,100000,16.0
