episodes,steps,total reward
23,1000,0.0
33,2000,0.0
37,3000,0.0
40,4000,0.0
48,5000,0.0
54,6000,0.0
65,7000,0.0
69,8000,0.0
76,9000,0.0
80,10000,0.0
85,11000,0.0
93,12000,0.0
105,13000,0.0
111,14000,0.0
117,15000,3.0
127,16000,6.0
139,17000,4.0
154,18000,6.0
170,19000,8.0
189,20000,7.0
203,21000,7.0
225,22000,4.0
244,23000,9.0
260,24000,7.0
269,25000,6.0
286,26000,6.0
302,27000,10.0
321,28000,5.0
336,29000,7.0
351,30000,7.0
367,31000,10.0
381,32000,9.0
402,33000,6.0
417,34000,9.0
434,35000,9.0
446,36000,8.0
465,37000,6.0
483,38000,6.0
499,39000,6.0
514,40000,9.0
527,41000,11.0
542,42000,8.0
554,43000,9.0
573,44000,5.0
592,45000,9.0
605,46000,10.0
625,47000,6.0
640,48000,9.0
655,49000,10.0
670,50000,8.0
684,51000,9.0
700,52000,8.0
716,53000,10.0
731,54000,8.0
749,55000,7.0
768,56000,8.0
781,57000,8.0
799,58000,9.0
817,59000,9.0
836,60000,9.0
851,61000,9.0
872,62000,6.0
886,63000,8.0
903,64000,10.0
920,65000,7.0
936,66000,10.0
952,67000,7.0
968,68000,10.0
983,69000,9.0
998,70000,11.0
1017,71000,9.0
1031,72000,10.0
1054,73000,8.0
1071,74000,7.0
1089,75000,9.0
1106,76000,7.0
1120,77000,9.0
1141,78000,8.0
1154,79000,10.0
1171,80000,7.0
1187,81000,6.0
1204,82000,8.0
1226,83000,7.0
1244,84000,7.0
1260,85000,8.0
1279,86000,9.0
1297,87000,7.0
1317,88000,7.0
1335,89000,8.0
1354,90000,9.0
1372,91000,7.0
1388,92000,7.0
1406,93000,6.0
1420,94000,9.0
1435,95000,8.0
1451,96000,9.0
1468,97000,5.0
1485,98000,5.0
1501,99000,8.0
1520,100000,8.0
